https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DFI,Volume USDT
1663459200,2022-09-18 00:00:00,DFI/USDT,0.906,0.906,0.901,0.905,740.8038,669.4294063
1663372800,2022-09-17 00:00:00,DFI/USDT,0.917,0.95,0.9,0.903,377947.7608,348318.2053835
1663286400,2022-09-16 00:00:00,DFI/USDT,0.97,1.064,0.897,0.919,642293.78645263,602954.41947619324
1663200000,2022-09-15 00:00:00,DFI/USDT,0.932,1.086,0.919,0.969,960477.3191,954457.2517912
1663113600,2022-09-14 00:00:00,DFI/USDT,0.901,0.95,0.872,0.933,418272.2407,382506.8463906
1663027200,2022-09-13 00:00:00,DFI/USDT,0.989,1.014,0.895,0.901,543061.48582359,517585.90847331305
1662940800,2022-09-12 00:00:00,DFI/USDT,0.974,1.02,0.963,0.99,727150.6036,718769.7507686
1662854400,2022-09-11 00:00:00,DFI/USDT,1.035,1.04,0.955,0.975,748358.4433,738966.2085041
1662768000,2022-09-10 00:00:00,DFI/USDT,1.067,1.076,1.021,1.035,367502.635,381294.5754777
1662681600,2022-09-09 00:00:00,DFI/USDT,0.982,1.09,0.978,1.067,585219.0754,613419.164721
1662595200,2022-09-08 00:00:00,DFI/USDT,1.009,1.07,0.976,0.982,738021.7221,737220.0235969
1662508800,2022-09-07 00:00:00,DFI/USDT,1.038,1.065,0.938,1.009,936947.3701,934158.6536254
1662422400,2022-09-06 00:00:00,DFI/USDT,1.353,1.458,1.021,1.037,2230061.3408,2698861.9943028
1662336000,2022-09-05 00:00:00,DFI/USDT,1.189,1.403,1.177,1.354,1397092.3415,1803932.7520649
1662249600,2022-09-04 00:00:00,DFI/USDT,1.094,1.223,1.078,1.19,832031.0187,957683.8103692
1662163200,2022-09-03 00:00:00,DFI/USDT,1.005,1.135,1,1.094,985001.0692,1041994.6011193
1662076800,2022-09-02 00:00:00,DFI/USDT,0.955,1.024,0.95,1.005,653036.8399,651670.9395731
1661990400,2022-09-01 00:00:00,DFI/USDT,0.928,0.962,0.906,0.955,506195.2048,473284.8296782
1661904000,2022-08-31 00:00:00,DFI/USDT,0.887,0.943,0.887,0.927,476428.3237,437663.3255999
1661817600,2022-08-30 00:00:00,DFI/USDT,0.902,0.92,0.864,0.887,331800.3422,297776.1232557
1661731200,2022-08-29 00:00:00,DFI/USDT,0.871,0.906,0.86,0.904,299213.9709,262432.1229274
1661644800,2022-08-28 00:00:00,DFI/USDT,0.891,0.897,0.869,0.871,190309.318,168667.5431703
1661558400,2022-08-27 00:00:00,DFI/USDT,0.887,0.899,0.872,0.891,194587.31943668,172138.98641156836
1661472000,2022-08-26 00:00:00,DFI/USDT,0.964,0.964,0.858,0.889,530693.0646,486136.7413874
1661385600,2022-08-25 00:00:00,DFI/USDT,0.929,0.98,0.927,0.961,670580.2023,640696.2666
1661299200,2022-08-24 00:00:00,DFI/USDT,0.89,0.951,0.872,0.929,543513.3544,494186.5732663
1661212800,2022-08-23 00:00:00,DFI/USDT,0.805,0.896,0.785,0.89,768931.0916,644264.8828962
1661126400,2022-08-22 00:00:00,DFI/USDT,0.806,0.807,0.768,0.804,414938.5262,329009.1547912
1661040000,2022-08-21 00:00:00,DFI/USDT,0.782,0.814,0.77,0.804,459709.1826,368049.4588254
1660953600,2022-08-20 00:00:00,DFI/USDT,0.79,0.818,0.771,0.785,494244.17892772,392553.88424199388
1660867200,2022-08-19 00:00:00,DFI/USDT,0.867,0.869,0.788,0.79,590274.0837,481431.0574365
1660780800,2022-08-18 00:00:00,DFI/USDT,0.883,0.898,0.86,0.869,409589.0801,360230.3122665
1660694400,2022-08-17 00:00:00,DFI/USDT,0.908,0.923,0.799,0.88,712520.96289944,627216.6598570352
1660608000,2022-08-16 00:00:00,DFI/USDT,0.91,0.92,0.894,0.906,282076.7217,255694.2512596
1660521600,2022-08-15 00:00:00,DFI/USDT,0.937,0.959,0.903,0.911,398069.8327,366746.4154733
1660435200,2022-08-14 00:00:00,DFI/USDT,0.949,0.977,0.922,0.937,386958.5268,366143.4287384
1660348800,2022-08-13 00:00:00,DFI/USDT,0.964,1.003,0.943,0.95,292098.2974,280894.1878553
1660262400,2022-08-12 00:00:00,DFI/USDT,0.941,0.972,0.917,0.963,437650.995,413858.7384679
1660176000,2022-08-11 00:00:00,DFI/USDT,0.949,0.98,0.86,0.939,769607.7413,733888.7897338
1660089600,2022-08-10 00:00:00,DFI/USDT,0.919,0.964,0.9,0.95,857119.4494,800440.4023926
1660003200,2022-08-09 00:00:00,DFI/USDT,0.984,0.984,0.915,0.924,1221289.9547,1157467.909206
1659916800,2022-08-08 00:00:00,DFI/USDT,0.95,1.008,0.948,0.984,357194.3985,350186.4231406
1659830400,2022-08-07 00:00:00,DFI/USDT,0.972,0.974,0.925,0.951,958413.2692,918237.2034704
1659744000,2022-08-06 00:00:00,DFI/USDT,1.013,1.015,0.967,0.974,447322.9987,442069.1072531
1659657600,2022-08-05 00:00:00,DFI/USDT,0.984,1.024,0.959,1.012,799967.9892,799759.2446335
1659571200,2022-08-04 00:00:00,DFI/USDT,1.048,1.066,0.973,0.984,1106412.1873,1128973.3796763
1659484800,2022-08-03 00:00:00,DFI/USDT,1.091,1.11,1.045,1.049,726469.175,784767.7836945
1659398400,2022-08-02 00:00:00,DFI/USDT,1.125,1.131,1.055,1.091,637254.8074,692390.8586641
1659312000,2022-08-01 00:00:00,DFI/USDT,1.157,1.161,1.109,1.125,387159.6103,438315.7538153
1659225600,2022-07-31 00:00:00,DFI/USDT,1.172,1.192,1.15,1.157,274735.7503,321082.9778995
1659139200,2022-07-30 00:00:00,DFI/USDT,1.188,1.218,1.169,1.173,217333.5404,259766.9723635
1659052800,2022-07-29 00:00:00,DFI/USDT,1.195,1.213,1.157,1.188,215831.9567,256443.8916908
1658966400,2022-07-28 00:00:00,DFI/USDT,1.15,1.217,1.129,1.194,470961.8589,548613.8279665
1658880000,2022-07-27 00:00:00,DFI/USDT,1.056,1.151,1.05,1.15,256517.60497119,278059.29551094616
1658793600,2022-07-26 00:00:00,DFI/USDT,1.08,1.086,1.033,1.056,265740.48598997,279108.84578451895
1658707200,2022-07-25 00:00:00,DFI/USDT,1.148,1.15,1.077,1.08,487913.2964,544323.1573192
1658620800,2022-07-24 00:00:00,DFI/USDT,1.108,1.179,1.1,1.149,311249.0197,355164.7761979
1658534400,2022-07-23 00:00:00,DFI/USDT,1.112,1.144,1.08,1.108,187517.4502,207387.0247126
1658448000,2022-07-22 00:00:00,DFI/USDT,1.126,1.163,1.1,1.112,341734.8555,384994.2742032
1658361600,2022-07-21 00:00:00,DFI/USDT,1.123,1.149,1.091,1.126,406458.0103,454759.6767564
1658275200,2022-07-20 00:00:00,DFI/USDT,1.131,1.176,1.101,1.119,448374.75088182,511656.75301314084
1658188800,2022-07-19 00:00:00,DFI/USDT,1.1,1.173,1.071,1.136,471259.78045499,525774.33089604108
1658102400,2022-07-18 00:00:00,DFI/USDT,1.014,1.114,1.014,1.1,342697.30873483,370265.54832303282
1658016000,2022-07-17 00:00:00,DFI/USDT,1.034,1.05,1.005,1.012,157227.69536637,161018.59634690842
1657929600,2022-07-16 00:00:00,DFI/USDT,1.014,1.083,0.979,1.035,437341.80460736,444442.41537695892
1657843200,2022-07-15 00:00:00,DFI/USDT,0.975,1.119,0.968,1.02,459346.12219004,470952.49325519323
1657756800,2022-07-14 00:00:00,DFI/USDT,0.954,1,0.93,0.974,252623.12933633,244086.82889103663
1657670400,2022-07-13 00:00:00,DFI/USDT,0.928,0.955,0.871,0.949,745222.42322546,680099.92176823957
1657584000,2022-07-12 00:00:00,DFI/USDT,0.97,0.976,0.918,0.928,320116.29996055,303434.97389667918
1657497600,2022-07-11 00:00:00,DFI/USDT,1.005,1.031,0.962,0.969,429381.04984798,432443.32094558311
1657411200,2022-07-10 00:00:00,DFI/USDT,1.037,1.038,0.996,1.005,161750.99028301,163720.85566231193
1657324800,2022-07-09 00:00:00,DFI/USDT,1.048,1.056,1.026,1.036,125792.1272287,130493.49608495468
1657238400,2022-07-08 00:00:00,DFI/USDT,1.036,1.098,1.03,1.048,306146.27183817,322768.30168471075
1657152000,2022-07-07 00:00:00,DFI/USDT,0.969,1.05,0.957,1.035,377966.073739,377830.60855535764
1657065600,2022-07-06 00:00:00,DFI/USDT,0.926,0.987,0.915,0.971,476611.66719098,448222.94087534871
1656979200,2022-07-05 00:00:00,DFI/USDT,0.919,0.948,0.877,0.923,334501.45713041,305067.44584472033
1656892800,2022-07-04 00:00:00,DFI/USDT,0.865,0.926,0.834,0.918,631555.52675432,553178.39561202951
1656806400,2022-07-03 00:00:00,DFI/USDT,0.835,0.873,0.817,0.862,128360.07928502,107977.60756334398
1656720000,2022-07-02 00:00:00,DFI/USDT,0.893,0.897,0.806,0.834,259866.92113896,225035.79783643515
1656633600,2022-07-01 00:00:00,DFI/USDT,0.91,0.958,0.881,0.896,232195.2786254,211137.57366272646
1656547200,2022-06-30 00:00:00,DFI/USDT,0.958,0.965,0.862,0.909,773761.54933114,701364.07661742048
1656460800,2022-06-29 00:00:00,DFI/USDT,0.984,0.988,0.948,0.958,287573.22568655,277553.65187794183
1656374400,2022-06-28 00:00:00,DFI/USDT,0.988,1.036,0.975,0.984,333594.74080622,333307.61321640411
1656288000,2022-06-27 00:00:00,DFI/USDT,1.007,1.035,0.979,0.99,489562.78045065,493395.21092959996
1656201600,2022-06-26 00:00:00,DFI/USDT,1.025,1.055,0.996,1.008,368120.75483032,378250.65285893325
1656115200,2022-06-25 00:00:00,DFI/USDT,1.014,1.037,0.997,1.025,228145.63132762,232362.69323876873
1656028800,2022-06-24 00:00:00,DFI/USDT,1.003,1.032,0.986,1.014,566906.52657726,570972.66474337761
1655942400,2022-06-23 00:00:00,DFI/USDT,0.973,1.015,0.967,1.002,393091.74706395,386305.363461964
1655856000,2022-06-22 00:00:00,DFI/USDT,1.011,1.029,0.96,0.973,350472.04474238,345993.00667045544
1655769600,2022-06-21 00:00:00,DFI/USDT,1.014,1.066,0.994,1.013,555603.84200301,573883.19009469317
1655683200,2022-06-20 00:00:00,DFI/USDT,1.029,1.065,0.966,1.016,531552.0181788,540253.18433416836
1655596800,2022-06-19 00:00:00,DFI/USDT,0.975,1.043,0.915,1.031,649654.40051594,638562.63418768491
1655510400,2022-06-18 00:00:00,DFI/USDT,1.045,1.088,0.901,0.975,759081.91229541,742566.20002927695
1655424000,2022-06-17 00:00:00,DFI/USDT,1.032,1.109,1.017,1.051,556310.95904072,590916.68198182719
1655337600,2022-06-16 00:00:00,DFI/USDT,1.192,1.207,1,1.028,1186811.74552822,1301017.2620122916
