https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CEUR,Volume USDT
1663459200,2022-09-18 00:00:00,CEUR/USDT,0.9976,0.9986,0.9907,0.9907,501.1557,496.57341363
1663372800,2022-09-17 00:00:00,CEUR/USDT,0.995,1.0008,0.9868,0.9907,11236.5465,11178.59523419
1663286400,2022-09-16 00:00:00,CEUR/USDT,0.9873,0.995,0.9851,0.992,8522.1846,8448.64887056
1663200000,2022-09-15 00:00:00,CEUR/USDT,0.9969,0.9978,0.981,0.9922,7032.5277,6963.77636625
1663113600,2022-09-14 00:00:00,CEUR/USDT,0.9984,1.0017,0.9901,0.9974,5739.67,5704.7610335
1663027200,2022-09-13 00:00:00,CEUR/USDT,1.002,1.0091,0.9961,0.9984,3942.2917,3946.05350204
1662940800,2022-09-12 00:00:00,CEUR/USDT,1.0022,1.0095,0.9974,1.0019,23071.9289,23157.55803998
1662854400,2022-09-11 00:00:00,CEUR/USDT,0.9986,1.0052,0.996,0.9961,2643.1709,2636.1606904
1662768000,2022-09-10 00:00:00,CEUR/USDT,0.9965,1.0051,0.9901,1.002,8437.2202,8423.1569859
1662681600,2022-09-09 00:00:00,CEUR/USDT,0.989,1.0087,0.989,1.001,21246.0242,21209.34968666
1662595200,2022-09-08 00:00:00,CEUR/USDT,0.9901,0.9967,0.985,0.99,6554.0768,6481.49958349
1662508800,2022-09-07 00:00:00,CEUR/USDT,0.98,0.9901,0.978,0.9875,16538.3994,16274.74203854
1662422400,2022-09-06 00:00:00,CEUR/USDT,0.9837,0.989,0.98,0.98,10865.5012,10670.24960342
1662336000,2022-09-05 00:00:00,CEUR/USDT,0.9835,0.992,0.981,0.9837,13324.7682,13113.35058895
1662249600,2022-09-04 00:00:00,CEUR/USDT,0.9846,0.9904,0.983,0.9835,10935.7245,10791.29998634
1662163200,2022-09-03 00:00:00,CEUR/USDT,0.988,0.9925,0.983,0.9886,12636.6554,12448.5485586
1662076800,2022-09-02 00:00:00,CEUR/USDT,0.9933,0.9939,0.9833,0.9919,10964.0697,10834.63474421
1661990400,2022-09-01 00:00:00,CEUR/USDT,0.9908,1.007,0.9821,0.9862,25251.7858,25065.74031647
1661904000,2022-08-31 00:00:00,CEUR/USDT,0.9931,1.005,0.9793,0.9911,53643.0366,53752.31390177
1661817600,2022-08-30 00:00:00,CEUR/USDT,0.9949,0.998,0.9831,0.9931,34209.0876,33930.63993521
1661731200,2022-08-29 00:00:00,CEUR/USDT,0.9902,1,0.9768,0.9879,27044.6327,26749.51156047
1661644800,2022-08-28 00:00:00,CEUR/USDT,0.9895,1.0018,0.9828,0.983,34187.5327,33980.58711287
1661558400,2022-08-27 00:00:00,CEUR/USDT,0.9801,0.9923,0.9777,0.989,11457.3805,11290.16746496
1661472000,2022-08-26 00:00:00,CEUR/USDT,1.0025,1.005,0.98,0.9812,49227.6434,48686.13822938
1661385600,2022-08-25 00:00:00,CEUR/USDT,0.9896,1.0108,0.9857,1.0025,104239.7538,104095.96211426
1661299200,2022-08-24 00:00:00,CEUR/USDT,0.992,0.9947,0.9763,0.9896,42065.2753,41370.51546026
1661212800,2022-08-23 00:00:00,CEUR/USDT,0.995,0.9956,0.9634,0.9925,78632.3745,77119.57516806
1661126400,2022-08-22 00:00:00,CEUR/USDT,1,1,0.9878,0.9941,23558.8808,23445.41632009
1661040000,2022-08-21 00:00:00,CEUR/USDT,0.9913,1,0.9913,0.998,11910.9379,11882.14121781
1660953600,2022-08-20 00:00:00,CEUR/USDT,0.9932,1,0.9881,0.9971,10714.4902,10668.69572089
1660867200,2022-08-19 00:00:00,CEUR/USDT,1.0072,1.0087,0.987,0.9922,27201.7434,27111.88667062
1660780800,2022-08-18 00:00:00,CEUR/USDT,1.0063,1.0109,1.0021,1.0021,9303.8876,9356.10145107
1660694400,2022-08-17 00:00:00,CEUR/USDT,1.0117,1.0118,1.0024,1.0104,5034.9836,5063.22522829
1660608000,2022-08-16 00:00:00,CEUR/USDT,1.0048,1.0118,1.003,1.0118,13329.2196,13411.78325081
1660521600,2022-08-15 00:00:00,CEUR/USDT,1.0184,1.019,1.0037,1.0099,8207.3151,8304.53126922
1660435200,2022-08-14 00:00:00,CEUR/USDT,1.0167,1.0216,1.003,1.0181,9366.1516,9481.61394795
1660348800,2022-08-13 00:00:00,CEUR/USDT,1.0118,1.0217,1.003,1.0158,32116.8039,32603.36554924
1660262400,2022-08-12 00:00:00,CEUR/USDT,1.0166,1.02,1.0094,1.0162,29370.8328,29898.59460675
1660176000,2022-08-11 00:00:00,CEUR/USDT,1.0139,1.0219,1.0024,1.02,70080.1115,71461.18428847
1660089600,2022-08-10 00:00:00,CEUR/USDT,1.0099,1.0219,1.0024,1.0158,95141.9689,96638.33640528
1660003200,2022-08-09 00:00:00,CEUR/USDT,1.0067,1.012,1.002,1.01,104444.5387,105344.74886612
1659916800,2022-08-08 00:00:00,CEUR/USDT,1.0046,1.0145,0.9931,1.01,30361.7157,30586.31121073
1659830400,2022-08-07 00:00:00,CEUR/USDT,1.0088,1.015,1.0009,1.0054,11126.9425,11234.02002312
1659744000,2022-08-06 00:00:00,CEUR/USDT,1.0088,1.015,1.0019,1.0087,13911.3418,14047.97240637
1659657600,2022-08-05 00:00:00,CEUR/USDT,1.0125,1.0159,1,1.0134,15682.1989,15837.86096615
1659571200,2022-08-04 00:00:00,CEUR/USDT,1.0028,1.0123,1.0015,1.0062,13868.9544,13963.99813748
1659484800,2022-08-03 00:00:00,CEUR/USDT,1.0085,1.0183,0.9961,1.0057,22555.6118,22713.46446996
1659398400,2022-08-02 00:00:00,CEUR/USDT,1.0142,1.0219,0.9968,1.0088,13090.2804,13256.86007142
1659312000,2022-08-01 00:00:00,CEUR/USDT,1.0169,1.0219,1.0113,1.0152,26642.5365,27118.14821354
1659225600,2022-07-31 00:00:00,CEUR/USDT,1.0118,1.0199,0.9871,1.0169,12001.1888,12147.56479898
1659139200,2022-07-30 00:00:00,CEUR/USDT,1.0109,1.0195,0.9852,1.0121,12762.3235,12895.91213402
1659052800,2022-07-29 00:00:00,CEUR/USDT,1.0101,1.0154,0.985,1.0093,10292.3101,10385.28094462
1658966400,2022-07-28 00:00:00,CEUR/USDT,1.0071,1.0182,1.001,1.0095,15895.5559,16033.23327646
1658880000,2022-07-27 00:00:00,CEUR/USDT,1.0087,1.0139,0.9828,1.0113,10825.6559,10878.34874291
1658793600,2022-07-26 00:00:00,CEUR/USDT,1.0142,1.0183,0.9875,1.0087,23226.8354,23397.53062621
1658707200,2022-07-25 00:00:00,CEUR/USDT,1.0149,1.015,1.0042,1.0072,40192.451,40653.34675312
1658620800,2022-07-24 00:00:00,CEUR/USDT,1.0114,1.0199,1.0075,1.015,21291.6291,21629.88997653
1658534400,2022-07-23 00:00:00,CEUR/USDT,1.0073,1.0185,1.005,1.0123,10112.1594,10207.35516654
1658448000,2022-07-22 00:00:00,CEUR/USDT,1.016,1.0193,1.0014,1.01,25564.48340697,25781.316553521733
1658361600,2022-07-21 00:00:00,CEUR/USDT,1.0022,1.0179,1.001,1.016,17727.7236,17901.31873351
1658275200,2022-07-20 00:00:00,CEUR/USDT,1.0187,1.0188,0.9959,1.0023,12432.27655743,12478.289859709081
1658188800,2022-07-19 00:00:00,CEUR/USDT,1.0066,1.0189,1.0062,1.0125,28158.98414671,28616.068283167516
1658102400,2022-07-18 00:00:00,CEUR/USDT,1.0035,1.0154,1.0004,1.0062,24375.13056957,24548.068154837537
1658016000,2022-07-17 00:00:00,CEUR/USDT,1.0038,1.0068,0.9973,1.0068,8552.72408234,8581.189998491783
1657929600,2022-07-16 00:00:00,CEUR/USDT,0.9969,1.0039,0.9886,1.0039,18981.83567041,18960.710985902909
1657843200,2022-07-15 00:00:00,CEUR/USDT,0.9783,1.003,0.9783,1,35206.46077056,34888.976641392342
1657756800,2022-07-14 00:00:00,CEUR/USDT,0.9897,0.9897,0.9709,0.971,6223.65302058,6084.976503993665
1657670400,2022-07-13 00:00:00,CEUR/USDT,0.9909,0.9957,0.94,0.9897,40360.14580326,39328.652648014589
1657584000,2022-07-12 00:00:00,CEUR/USDT,0.9986,1,0.9865,0.991,23133.59616002,22981.206038192711
1657497600,2022-07-11 00:00:00,CEUR/USDT,1.0056,1.013,0.9887,0.9913,35203.58251079,35164.729914878533
1657411200,2022-07-10 00:00:00,CEUR/USDT,1.0086,1.0179,1.0039,1.0064,15911.83113364,16112.505308810124
1657324800,2022-07-09 00:00:00,CEUR/USDT,1.0098,1.0215,1.0061,1.0088,19140.71274209,19420.113197111007
1657238400,2022-07-08 00:00:00,CEUR/USDT,1.0148,1.0168,1.0052,1.0119,20098.16503317,20299.446668065909
1657152000,2022-07-07 00:00:00,CEUR/USDT,1.016,1.0267,1.009,1.0146,14731.76395003,15003.912116147989
1657065600,2022-07-06 00:00:00,CEUR/USDT,1.0201,1.052,1.0088,1.0112,65850.35666634,67454.286389839364
1656979200,2022-07-05 00:00:00,CEUR/USDT,1.0343,1.041,1.02,1.0201,29510.99039532,30422.64706480839
1656892800,2022-07-04 00:00:00,CEUR/USDT,1.0329,1.0393,1.0231,1.0338,55095.40099647,57000.066760333027
1656806400,2022-07-03 00:00:00,CEUR/USDT,1.0331,1.0393,1.0231,1.0355,15357.77952647,15863.289971604667
1656720000,2022-07-02 00:00:00,CEUR/USDT,1.0346,1.0479,1.023,1.0332,64112.72872688,66473.656123260013
1656633600,2022-07-01 00:00:00,CEUR/USDT,1.042,1.051,1.0303,1.0336,50507.28077888,52425.86044120638
1656547200,2022-06-30 00:00:00,CEUR/USDT,1.0379,1.042,1.0289,1.042,42122.28436919,43620.73806166517
1656460800,2022-06-29 00:00:00,CEUR/USDT,1.0432,1.051,1.028,1.0379,66283.00367752,69134.027533399783
1656374400,2022-06-28 00:00:00,CEUR/USDT,1.04,1.051,1.039,1.044,38243.69340022,40024.788847063855
1656288000,2022-06-27 00:00:00,CEUR/USDT,1.0438,1.051,1.0397,1.0399,58084.5026669,60762.777432344045
1656201600,2022-06-26 00:00:00,CEUR/USDT,1.048,1.0487,1.0402,1.0438,10272.44193635,10760.59359892196
1656115200,2022-06-25 00:00:00,CEUR/USDT,1.0499,1.0499,1.038,1.0441,31143.2471017,32531.11859987191
1656028800,2022-06-24 00:00:00,CEUR/USDT,1.0518,1.0518,1.0427,1.0498,13149.34025331,13756.946625691864
1655942400,2022-06-23 00:00:00,CEUR/USDT,1.0498,1.0519,1.0494,1.0496,6603.32445808,6939.751689514028
1655856000,2022-06-22 00:00:00,CEUR/USDT,1.0474,1.0519,1.0416,1.0518,20381.18204043,21384.664424415231
1655769600,2022-06-21 00:00:00,CEUR/USDT,1.0506,1.052,1.0378,1.0474,17302.01871496,18107.413247590427
1655683200,2022-06-20 00:00:00,CEUR/USDT,1.0351,1.0505,1.0301,1.0463,31919.18273318,33297.284460289481
1655596800,2022-06-19 00:00:00,CEUR/USDT,1.04,1.0452,1.025,1.0398,47240.92257612,48884.538890915076
1655510400,2022-06-18 00:00:00,CEUR/USDT,1.0351,1.0452,1.0227,1.0363,111352.34303853,115017.321480613116
1655424000,2022-06-17 00:00:00,CEUR/USDT,1.0496,1.0505,1.0261,1.04,49008.15274575,50837.267112745396
1655337600,2022-06-16 00:00:00,CEUR/USDT,1.0389,1.0519,1.0289,1.045,48560.80491569,50644.659826183157
1655251200,2022-06-15 00:00:00,CEUR/USDT,1.0299,1.04,1.02,1.0346,116225.44532193,120119.203007675075
1655164800,2022-06-14 00:00:00,CEUR/USDT,1.0297,1.035,1.016,1.0336,123575.89252301,126914.394278387453
1655078400,2022-06-13 00:00:00,CEUR/USDT,1.0405,1.047,0.9219,1.0331,492242.26548218,500373.492845262188
1654992000,2022-06-12 00:00:00,CEUR/USDT,1.0406,1.0492,1.032,1.0442,81292.56715256,84579.600307257643
1654905600,2022-06-11 00:00:00,CEUR/USDT,1.0393,1.0491,1.0351,1.0406,56399.8525243,58685.719466321995
1654819200,2022-06-10 00:00:00,CEUR/USDT,1.0543,1.0558,1.0318,1.0393,81717.43464682,85631.940216514378
1654732800,2022-06-09 00:00:00,CEUR/USDT,1.0611,1.0664,1.0528,1.0545,31563.63807866,33463.938180271065
1654646400,2022-06-08 00:00:00,CEUR/USDT,1.056,1.0673,1.0518,1.0611,46425.57192854,49266.989186420757
1654560000,2022-06-07 00:00:00,CEUR/USDT,1.0561,1.0736,1.0318,1.056,581829.59296215,615126.066862967262
1654473600,2022-06-06 00:00:00,CEUR/USDT,1.061,1.071,1.0505,1.0608,81310.131167,86227.887075810244
1654387200,2022-06-05 00:00:00,CEUR/USDT,1.0646,1.07,1.0527,1.0622,33537.50543357,35568.238288714564
1654300800,2022-06-04 00:00:00,CEUR/USDT,1.0642,1.0709,1.052,1.0651,23654.60995257,25150.76758895922
1654214400,2022-06-03 00:00:00,CEUR/USDT,1.0669,1.0713,1.0601,1.064,13499.02323455,14369.764455164182
1654128000,2022-06-02 00:00:00,CEUR/USDT,1.057,1.072,1.042,1.067,130287.66130864,137655.005348251717
1654041600,2022-06-01 00:00:00,CEUR/USDT,1.0692,1.0736,1.05,1.0561,20466.51418715,21671.222876634606
1653955200,2022-05-31 00:00:00,CEUR/USDT,1.0744,1.079,1.0601,1.0673,29960.12702094,32042.797807246169
1653868800,2022-05-30 00:00:00,CEUR/USDT,1.0669,1.0753,1.044,1.075,55246.07088065,58891.953001208717
1653782400,2022-05-29 00:00:00,CEUR/USDT,1.064,1.0709,1.0557,1.0642,39623.64616661,42191.108004209984
1653696000,2022-05-28 00:00:00,CEUR/USDT,1.064,1.08,1.0565,1.0691,103572.58126637,110579.176212299985
1653609600,2022-05-27 00:00:00,CEUR/USDT,1.0686,1.0748,1.0565,1.064,76835.41697768,81945.52820752565
1653523200,2022-05-26 00:00:00,CEUR/USDT,1.0628,1.0738,1.0565,1.0665,77912.01000958,82905.948092311039
1653436800,2022-05-25 00:00:00,CEUR/USDT,1.075,1.075,1.0559,1.0585,65796.04898491,70361.515622143924
1653350400,2022-05-24 00:00:00,CEUR/USDT,1.0599,1.075,1.0577,1.0744,110934.29811628,118401.376546076248
1653264000,2022-05-23 00:00:00,CEUR/USDT,1.0539,1.06,1.0505,1.0599,63562.16178419,67237.849176625663
1653177600,2022-05-22 00:00:00,CEUR/USDT,1.0494,1.0561,1.045,1.0561,29416.60820922,30945.854502611689
1653091200,2022-05-21 00:00:00,CEUR/USDT,1.052,1.0522,1.043,1.0515,40447.66256586,42428.665119027967
1653004800,2022-05-20 00:00:00,CEUR/USDT,1.0562,1.0578,1.0444,1.0519,40616.33118738,42655.473574707071
1652918400,2022-05-19 00:00:00,CEUR/USDT,1.0387,1.0578,1.0349,1.0576,50370.15768574,52730.815332340147
1652832000,2022-05-18 00:00:00,CEUR/USDT,1.0522,1.0541,1.0364,1.0409,71718.27935941,74813.158252420151
1652745600,2022-05-17 00:00:00,CEUR/USDT,1.0357,1.0521,1.0217,1.0511,125294.99020059,130142.050542704245
1652659200,2022-05-16 00:00:00,CEUR/USDT,1.0364,1.038,1.025,1.0353,66509.60013392,68689.742387676586
1652572800,2022-05-15 00:00:00,CEUR/USDT,1.038,1.042,1.0285,1.039,65289.04788407,67672.690100273548
1652486400,2022-05-14 00:00:00,CEUR/USDT,1.0337,1.0414,1.0217,1.0379,48032.24613265,49691.001142383551
