https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCH,Volume BTC
1650585600000,2022-04-22 00:00:00,BTC/XCH,39400,39487,37459,37459,1445.16409951,0.03857989
1650499200000,2022-04-21 00:00:00,BTC/XCH,41569,42004,38991,39614,3850.14883468,0.09719162
1650412800000,2022-04-20 00:00:00,BTC/XCH,40000,40000,40000,40000,1496.256,0.0374064
1650326400000,2022-04-19 00:00:00,BTC/XCH,39202,40303,38762,38764,2671.2993410400004,0.06891186
1650240000000,2022-04-18 00:00:00,BTC/XCH,36219,38239,36219,38239,2021.60645074,0.05286766
1650153600000,2022-04-17 00:00:00,BTC/XCH,38450,39370,36913,36913,3585.15445372,0.09712444
1650067200000,2022-04-16 00:00:00,BTC/XCH,37788,39450,37509,38255,3263.87184165,0.08531883
1649980800000,2022-04-15 00:00:00,BTC/XCH,37420,39028,37362,38988,4991.47222968,0.12802586
1649894400000,2022-04-14 00:00:00,BTC/XCH,39000,39000,37139,37139,1751.64013716,0.04716444
1649808000000,2022-04-13 00:00:00,BTC/XCH,38029,38787,36472,36472,2764.13191216,0.07578778
1649721600000,2022-04-12 00:00:00,BTC/XCH,37994,38150,37994,38087,1497.6177843899998,0.03932097
1649635200000,2022-04-11 00:00:00,BTC/XCH,39156,39617,37430,37430,2218.1979951,0.05926257
1649548800000,2022-04-10 00:00:00,BTC/XCH,40369,40636,39904,39945,3076.89025065,0.07702816999999999
1649462400000,2022-04-09 00:00:00,BTC/XCH,39396,40370,39396,40370,1511.0943144,0.03743112
1649376000000,2022-04-08 00:00:00,BTC/XCH,41295,41295,40001,40001,1506.4048591800001,0.03765918
1649289600000,2022-04-07 00:00:00,BTC/XCH,40672,40714,40600,40714,2887.0785967999996,0.0709112
1649203200000,2022-04-06 00:00:00,BTC/XCH,41595,43822,40137,40137,3178.1752956600003,0.07918318
1649116800000,2022-04-05 00:00:00,BTC/XCH,44766,44770,42295,43460,2725.0337006000004,0.06270211
1649030400000,2022-04-04 00:00:00,BTC/XCH,42114,45073,41562,45073,11541.732681149999,0.25606755
1648944000000,2022-04-03 00:00:00,BTC/XCH,41982,44974,41980,44538,2314.6020027,0.05196915
1648857600000,2022-04-02 00:00:00,BTC/XCH,43599,44965,42023,42237,6111.53508888,0.14469624
