https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ONE
1663549200000,2022-09-19 01:00:00,ONE/BTC,9.9e-07,9.9e-07,9.7e-07,9.7e-07,0.0009322581818173,961.09090909
1663545600000,2022-09-19 00:00:00,ONE/BTC,9.7e-07,9.8e-07,9.6e-07,9.8e-07,0.00098,1000.0
1663542000000,2022-09-18 23:00:00,ONE/BTC,9.7e-07,9.7e-07,9.7e-07,9.7e-07,0.00010282000000000001,106.0
1663538400000,2022-09-18 22:00:00,ONE/BTC,9.7e-07,9.7e-07,9.6e-07,9.6e-07,0.0001002399999936,104.41666666
1663534800000,2022-09-18 21:00:00,ONE/BTC,1e-06,1e-06,9.5e-07,9.8e-07,0.0288442620774658,29432.92048721
1663531200000,2022-09-18 20:00:00,ONE/BTC,1.03e-06,1.03e-06,1.01e-06,1.01e-06,0.0031018520588028,3071.14065228
1663527600000,2022-09-18 19:00:00,ONE/BTC,1.01e-06,1.03e-06,1.01e-06,1.03e-06,0.00104236,1012.0
1663524000000,2022-09-18 18:00:00,ONE/BTC,1.03e-06,1.04e-06,1.01e-06,1.02e-06,0.00098022,961.0
1663520400000,2022-09-18 17:00:00,ONE/BTC,1.02e-06,1.04e-06,1.02e-06,1.03e-06,0.0788962833333299,76598.33333333
1663516800000,2022-09-18 16:00:00,ONE/BTC,1.03e-06,1.03e-06,1.03e-06,1.03e-06,0.0132858899999927,12898.92233009
1663498800000,2022-09-18 11:00:00,ONE/BTC,1.04e-06,1.04e-06,1.04e-06,1.04e-06,0.00029999999999839996,288.46153846
1663495200000,2022-09-18 10:00:00,ONE/BTC,1.04e-06,1.05e-06,1.04e-06,1.04e-06,0.00054392,523.0
1663491600000,2022-09-18 09:00:00,ONE/BTC,1.05e-06,1.05e-06,1.04e-06,1.04e-06,0.00016744,161.0
1663488000000,2022-09-18 08:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,0.0134671824,12825.888
1663484400000,2022-09-18 07:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,8.19e-05,78.0
1663480800000,2022-09-18 06:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,0.0010899,1038.0
1663477200000,2022-09-18 05:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,0.0012652499999999999,1205.0
1663470000000,2022-09-18 03:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,0.0006299999999999999,600.0
1663466400000,2022-09-18 02:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,0.00085785,817.0
1663462800000,2022-09-18 01:00:00,ONE/BTC,1.05e-06,1.05e-06,1.05e-06,1.05e-06,0.00038954999999999995,371.0
