https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HEGIC,Volume USDT
1663459200,2022-09-18 00:00:00,HEGIC/USDT,0.008221,0.00833,0.008186,0.008186,9432.7427,78.0883187197
1663372800,2022-09-17 00:00:00,HEGIC/USDT,0.008255,0.00833,0.008,0.008149,249570.4088,2034.2305968318
1663286400,2022-09-16 00:00:00,HEGIC/USDT,0.008673,0.008673,0.008232,0.008344,533913.3794,4512.5944927537
1663200000,2022-09-15 00:00:00,HEGIC/USDT,0.008913,0.009014,0.008681,0.008681,972014.3994,8569.5232435106
1663113600,2022-09-14 00:00:00,HEGIC/USDT,0.009025,0.009109,0.0088,0.008834,837300.0797,7465.7808619742
1663027200,2022-09-13 00:00:00,HEGIC/USDT,0.010165,0.010273,0.009,0.00903,3497925.1335,33162.0644997818
1662940800,2022-09-12 00:00:00,HEGIC/USDT,0.010745,0.0121,0.009705,0.010253,14763914.61694673,157679.11646205146
1662854400,2022-09-11 00:00:00,HEGIC/USDT,0.008583,0.01173,0.008555,0.010792,21241083.35653009,219933.049198405408
1662768000,2022-09-10 00:00:00,HEGIC/USDT,0.008594,0.00871,0.0083,0.008583,522183.9299,4463.7820119624
1662681600,2022-09-09 00:00:00,HEGIC/USDT,0.008534,0.0089,0.008301,0.0087,1539268.9662,13309.3115404468
1662595200,2022-09-08 00:00:00,HEGIC/USDT,0.007925,0.008769,0.007876,0.008534,2158147.1298,18188.557523276
1662508800,2022-09-07 00:00:00,HEGIC/USDT,0.007774,0.0082,0.007602,0.007927,554458.0238,4375.7885668456
1662422400,2022-09-06 00:00:00,HEGIC/USDT,0.008114,0.008333,0.007774,0.007775,195268.8167,1580.1659251103
1662336000,2022-09-05 00:00:00,HEGIC/USDT,0.007607,0.008167,0.007582,0.008004,573180.8445,4506.6062041404
1662249600,2022-09-04 00:00:00,HEGIC/USDT,0.007707,0.007804,0.007511,0.007607,412418.3244,3170.5567604436
1662163200,2022-09-03 00:00:00,HEGIC/USDT,0.008023,0.008053,0.007706,0.007707,92979.6387,726.9439238949
1662076800,2022-09-02 00:00:00,HEGIC/USDT,0.007614,0.008418,0.007493,0.008025,623306.1999,5019.3966987799
1661990400,2022-09-01 00:00:00,HEGIC/USDT,0.007945,0.00809,0.007403,0.007614,677576.1632,5166.7945864062
1661904000,2022-08-31 00:00:00,HEGIC/USDT,0.007934,0.008199,0.007834,0.008038,1292881.4458,10291.6484303004
1661817600,2022-08-30 00:00:00,HEGIC/USDT,0.007944,0.008161,0.007767,0.007836,384080.148,3069.8431516944
1661731200,2022-08-29 00:00:00,HEGIC/USDT,0.007703,0.00802,0.0075,0.007953,367062.9421,2797.4115025906
1661644800,2022-08-28 00:00:00,HEGIC/USDT,0.00792,0.008899,0.007703,0.007703,3134585.3436,25626.4575372008
1661558400,2022-08-27 00:00:00,HEGIC/USDT,0.008031,0.008105,0.007901,0.007925,78189.3728,626.8745310249
1661472000,2022-08-26 00:00:00,HEGIC/USDT,0.008501,0.008565,0.008031,0.008031,452418.3556,3733.9705671202
1661385600,2022-08-25 00:00:00,HEGIC/USDT,0.008494,0.00864,0.00837,0.008564,297838.6212,2541.57442867
