https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XCH,Volume USDT
1663462800,2022-09-18 01:00:00,XCH/USDT,35.263,35.263,35.201,35.201,1.4956,52.6685913
1663459200,2022-09-18 00:00:00,XCH/USDT,35.334,35.335,35.263,35.263,15.9829,564.5406129
1663455600,2022-09-17 23:00:00,XCH/USDT,35.35,35.35,35.334,35.335,22.4101,792.1802392
1663452000,2022-09-17 22:00:00,XCH/USDT,35.27,35.451,35.27,35.35,312.7831,11059.6431684
1663448400,2022-09-17 21:00:00,XCH/USDT,35.19,35.26,35.19,35.26,6.8607,241.7101317
1663444800,2022-09-17 20:00:00,XCH/USDT,35.026,35.292,35.012,35.111,47.5758,1674.0093278
1663441200,2022-09-17 19:00:00,XCH/USDT,34.909,35.064,34.878,34.945,21.991,768.8808786
1663437600,2022-09-17 18:00:00,XCH/USDT,34.964,35.057,34.839,34.936,127.2498,4452.8813857
1663434000,2022-09-17 17:00:00,XCH/USDT,35.106,35.125,34.957,34.957,51.6017,1807.6628809
1663430400,2022-09-17 16:00:00,XCH/USDT,34.977,35.107,34.976,35.107,60.9805,2135.4574963
1663426800,2022-09-17 15:00:00,XCH/USDT,34.941,35.034,34.88,34.977,210.1386,7350.3106188
1663423200,2022-09-17 14:00:00,XCH/USDT,34.72,34.944,34.518,34.806,91.2829,3179.4158042
1663419600,2022-09-17 13:00:00,XCH/USDT,34.676,34.734,34.534,34.693,4.3244,149.5691752
1663416000,2022-09-17 12:00:00,XCH/USDT,34.538,34.695,34.502,34.549,17.3296,599.2720911
1663412400,2022-09-17 11:00:00,XCH/USDT,34.228,34.723,34.228,34.503,145.2649,5015.7794264
1663408800,2022-09-17 10:00:00,XCH/USDT,34.225,34.404,34.225,34.387,25.573,878.934089
1663405200,2022-09-17 09:00:00,XCH/USDT,34.487,34.519,34.225,34.225,276.3953,9492.2681633
1663401600,2022-09-17 08:00:00,XCH/USDT,34.358,34.496,34.265,34.408,94.3787,3252.4566225
1663398000,2022-09-17 07:00:00,XCH/USDT,34.259,34.3,34.214,34.214,38.3114,1313.1236668
1663394400,2022-09-17 06:00:00,XCH/USDT,34.201,34.263,34.201,34.203,4.9373,168.9506027
1663390800,2022-09-17 05:00:00,XCH/USDT,34.499,34.499,34.2,34.263,34.7031,1192.1587769
1663387200,2022-09-17 04:00:00,XCH/USDT,34.425,34.663,34.408,34.498,39.3804,1356.8676488
