https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SWASH,Volume USDT
1663459200,2022-09-18 00:00:00,SWASH/USDT,0.02495,0.025,0.02494,0.02498,17415.1906,434.844302488
1663372800,2022-09-17 00:00:00,SWASH/USDT,0.02498,0.02524,0.02459,0.02496,1403177.0042,34983.85713979
1663286400,2022-09-16 00:00:00,SWASH/USDT,0.0251,0.02539,0.02371,0.02497,1410928.9448,35260.927379561
1663200000,2022-09-15 00:00:00,SWASH/USDT,0.02524,0.02529,0.02485,0.02509,652971.3968,16408.7484776
1663113600,2022-09-14 00:00:00,SWASH/USDT,0.02538,0.02568,0.02453,0.02525,1611096.7858,40722.942260473
1663027200,2022-09-13 00:00:00,SWASH/USDT,0.0256,0.02581,0.02531,0.02539,770845.0466,19618.795197596
1662940800,2022-09-12 00:00:00,SWASH/USDT,0.02545,0.02804,0.0253,0.0256,3057272.8943,80197.192421527
1662854400,2022-09-11 00:00:00,SWASH/USDT,0.02549,0.02562,0.02531,0.02544,1419296.3941,36081.033224056
1662768000,2022-09-10 00:00:00,SWASH/USDT,0.02552,0.02567,0.02542,0.02553,1541611.007,39333.365386389
1662681600,2022-09-09 00:00:00,SWASH/USDT,0.02556,0.02581,0.02528,0.02551,2508180.3191,64033.273950419
1662595200,2022-09-08 00:00:00,SWASH/USDT,0.02495,0.027,0.024,0.02552,3221025.5734,82393.493519065
1662508800,2022-09-07 00:00:00,SWASH/USDT,0.02494,0.02567,0.02433,0.0249,1867413.823,46679.588260361
1662422400,2022-09-06 00:00:00,SWASH/USDT,0.02502,0.02514,0.02462,0.02488,1619049.6792,40470.88000138
1662336000,2022-09-05 00:00:00,SWASH/USDT,0.02492,0.02511,0.0249,0.02498,1588734.2991,39706.574982782
1662249600,2022-09-04 00:00:00,SWASH/USDT,0.02495,0.02535,0.02487,0.02499,1578245.7376,39558.488075404
1662163200,2022-09-03 00:00:00,SWASH/USDT,0.0251,0.02537,0.02437,0.02493,1903679.9834,47482.139883486
1662076800,2022-09-02 00:00:00,SWASH/USDT,0.025,0.02744,0.02457,0.02509,2242676.1383,56207.419804696
1661990400,2022-09-01 00:00:00,SWASH/USDT,0.025,0.02537,0.02344,0.02498,2969072.5876,72971.230782204
1661904000,2022-08-31 00:00:00,SWASH/USDT,0.02559,0.0258,0.0248,0.02501,1403718.2937,35414.387582393
1661817600,2022-08-30 00:00:00,SWASH/USDT,0.02544,0.02601,0.02543,0.02558,1712396.8054,43697.133174318
1661731200,2022-08-29 00:00:00,SWASH/USDT,0.02658,0.02705,0.02528,0.02543,2638216.3815,67861.387342652
1661644800,2022-08-28 00:00:00,SWASH/USDT,0.02505,0.0282,0.0246,0.02667,2699944.2085,70014.017587602
