https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCH,Volume EUR
1663545600,2022-09-19 00:00:00,BCH/EUR,111.49,111.68,111.40,111.40,53.86700000,6000.7838
1663459200,2022-09-18 00:00:00,BCH/EUR,121.23,121.57,110.57,111.72,2121.86062626,237054.2691657672
1663372800,2022-09-17 00:00:00,BCH/EUR,119.18,123.06,119.01,122.28,1442.20240533,176352.51012375238
1663286400,2022-09-16 00:00:00,BCH/EUR,117.81,120.44,116.52,119.31,1792.45187154,213857.4327934374
1663200000,2022-09-15 00:00:00,BCH/EUR,120.26,122.91,116.47,118.04,2051.87709830,242203.572683332
1663113600,2022-09-14 00:00:00,BCH/EUR,118.17,120.80,116.57,120.54,999.30778350,120456.56022309001
1663027200,2022-09-13 00:00:00,BCH/EUR,126.95,131.56,116.67,117.57,3254.43115153,382623.4704853821
1662940800,2022-09-12 00:00:00,BCH/EUR,128.88,131.21,121.16,127.11,2717.78106490,345457.151159439
1662854400,2022-09-11 00:00:00,BCH/EUR,131.90,132.20,127.08,129.36,1795.43219873,232257.10922771282
1662768000,2022-09-10 00:00:00,BCH/EUR,132.11,134.22,129.85,132.09,2131.14754541,281503.2792732069
1662681600,2022-09-09 00:00:00,BCH/EUR,126.52,137.83,125.72,131.67,4684.89300300,616859.86170501
1662595200,2022-09-08 00:00:00,BCH/EUR,118.78,130.76,116.01,126.99,4329.05748978,549747.0106271622
1662508800,2022-09-07 00:00:00,BCH/EUR,113.45,119.31,111.59,118.57,1649.96535530,195636.392177921
1662422400,2022-09-06 00:00:00,BCH/EUR,125.76,128.16,113.10,113.29,1764.79466844,199933.5879875676
1662336000,2022-09-05 00:00:00,BCH/EUR,119.41,126.93,117.97,126.59,2644.87350120,334814.53651690803
1662249600,2022-09-04 00:00:00,BCH/EUR,118.09,118.76,116.41,118.73,738.07361301,87631.48007267731
1662163200,2022-09-03 00:00:00,BCH/EUR,117.31,119.85,116.42,118.22,436.62674258,51618.0135078076
1662076800,2022-09-02 00:00:00,BCH/EUR,116.80,120.10,115.35,116.77,1574.89519778,183900.5122447706
1661990400,2022-09-01 00:00:00,BCH/EUR,114.85,117.84,112.93,117.32,461.06596695,54092.259242574
1661904000,2022-08-31 00:00:00,BCH/EUR,115.36,117.36,113.84,114.60,453.45627380,51966.08897748
1661817600,2022-08-30 00:00:00,BCH/EUR,119.28,120.45,112.03,114.15,2158.25938846,246365.309192709
1661731200,2022-08-29 00:00:00,BCH/EUR,112.00,119.52,112.00,119.52,1184.68383733,141593.4122376816
1661644800,2022-08-28 00:00:00,BCH/EUR,116.14,121.18,112.71,112.76,1135.38552120,128026.07137051201
1661558400,2022-08-27 00:00:00,BCH/EUR,116.51,118.47,113.75,115.81,818.45600220,94785.38961478199
1661472000,2022-08-26 00:00:00,BCH/EUR,129.51,130.78,115.57,115.57,2101.08435670,242822.319103819
1661385600,2022-08-25 00:00:00,BCH/EUR,130.88,132.33,129.38,130.90,1136.56361123,148776.176710007
1661299200,2022-08-24 00:00:00,BCH/EUR,135.11,139.50,131.18,131.18,782.78571362,102685.82991267162
1661212800,2022-08-23 00:00:00,BCH/EUR,123.40,135.99,121.20,133.89,3036.13303790,406507.852444431
1661126400,2022-08-22 00:00:00,BCH/EUR,120.45,123.88,113.73,123.34,1174.50474925,144863.415772495
1661040000,2022-08-21 00:00:00,BCH/EUR,114.68,120.07,114.02,119.07,1350.67233197,160824.5545676679
