https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SCLP,Volume USDT
1663459200,2022-09-18 00:00:00,SCLP/USDT,0.2075,0.2075,0.2067,0.2068,803.4282,166.14270943
1663372800,2022-09-17 00:00:00,SCLP/USDT,0.2033,0.2099,0.2025,0.2089,472705.1305,97353.58041777
1663286400,2022-09-16 00:00:00,SCLP/USDT,0.2047,0.2082,0.2,0.2031,74061.9731,15096.811906
1663200000,2022-09-15 00:00:00,SCLP/USDT,0.213,0.2179,0.1947,0.2049,203512.2172,42041.36050813
1663113600,2022-09-14 00:00:00,SCLP/USDT,0.2077,0.2153,0.2001,0.2118,138037.0216,28690.16338573
1663027200,2022-09-13 00:00:00,SCLP/USDT,0.2155,0.2188,0.2001,0.2064,564121.0306,118549.15872107
1662940800,2022-09-12 00:00:00,SCLP/USDT,0.2337,0.2499,0.2103,0.2155,562408.1079,132348.49304094
1662854400,2022-09-11 00:00:00,SCLP/USDT,0.2036,0.2433,0.2005,0.2337,456527.12786041,101488.844058675185
1662768000,2022-09-10 00:00:00,SCLP/USDT,0.2025,0.2082,0.1978,0.2019,108741.0875,22002.63803106
1662681600,2022-09-09 00:00:00,SCLP/USDT,0.1929,0.2199,0.1811,0.2036,639499.7241,129861.1261397
1662595200,2022-09-08 00:00:00,SCLP/USDT,0.1957,0.1981,0.1835,0.1929,309233.6904,59191.57893379
1662508800,2022-09-07 00:00:00,SCLP/USDT,0.1918,0.1979,0.1837,0.1957,201715.23679433,38111.697092751566
1662422400,2022-09-06 00:00:00,SCLP/USDT,0.1965,0.2001,0.1879,0.1919,263859.2219638,51092.12671732802
1662336000,2022-09-05 00:00:00,SCLP/USDT,0.1992,0.2002,0.195,0.1955,92290.7077,18125.47552512
1662249600,2022-09-04 00:00:00,SCLP/USDT,0.1984,0.204,0.1953,0.2002,82345.8303,16391.67020636
1662163200,2022-09-03 00:00:00,SCLP/USDT,0.2049,0.2053,0.1957,0.1984,67365.4232,13451.2267011
1662076800,2022-09-02 00:00:00,SCLP/USDT,0.2012,0.2075,0.1953,0.2052,135158.2365,27364.81797545
1661990400,2022-09-01 00:00:00,SCLP/USDT,0.2017,0.2025,0.195,0.2011,140305.40235011,27830.314038106835
1661904000,2022-08-31 00:00:00,SCLP/USDT,0.2084,0.2102,0.2001,0.2017,43855.46673623,8957.686494312366
1661817600,2022-08-30 00:00:00,SCLP/USDT,0.2129,0.2151,0.2019,0.2073,123496.62907396,25842.101593357311
1661731200,2022-08-29 00:00:00,SCLP/USDT,0.2047,0.2132,0.2,0.2116,152281.53152446,31199.233006757963
1661644800,2022-08-28 00:00:00,SCLP/USDT,0.2054,0.2149,0.2038,0.2062,94709.86680214,19658.231752595029
1661558400,2022-08-27 00:00:00,SCLP/USDT,0.2097,0.2131,0.205,0.2054,153029.76776698,31645.852234306805
1661472000,2022-08-26 00:00:00,SCLP/USDT,0.229,0.2296,0.208,0.2098,161984.3301239,35447.274265234214
1661385600,2022-08-25 00:00:00,SCLP/USDT,0.2199,0.2299,0.2161,0.2289,243798.3092681,54618.947173079266
1661299200,2022-08-24 00:00:00,SCLP/USDT,0.2284,0.2379,0.214,0.2199,587149.98407092,130534.025643494548
1661212800,2022-08-23 00:00:00,SCLP/USDT,0.2316,0.2356,0.2281,0.2295,136560.77260495,31588.728676445667
1661126400,2022-08-22 00:00:00,SCLP/USDT,0.2437,0.2437,0.227,0.2316,238835.43479818,56042.129640330983
1661040000,2022-08-21 00:00:00,SCLP/USDT,0.2371,0.2447,0.2351,0.2447,107370.60795926,25599.355828965704
1660953600,2022-08-20 00:00:00,SCLP/USDT,0.2331,0.2427,0.2309,0.2388,239689.7983892,57239.298064361688
1660867200,2022-08-19 00:00:00,SCLP/USDT,0.2466,0.2482,0.2272,0.2312,456810.3725514,106908.316508196898
1660780800,2022-08-18 00:00:00,SCLP/USDT,0.2357,0.2506,0.235,0.2466,284883.98467053,69461.983847685494
1660694400,2022-08-17 00:00:00,SCLP/USDT,0.2404,0.2665,0.2253,0.2358,452866.78787249,109381.146242820774
1660608000,2022-08-16 00:00:00,SCLP/USDT,0.256,0.257,0.2346,0.2417,278076.46234263,68343.655458102295
1660521600,2022-08-15 00:00:00,SCLP/USDT,0.2472,0.2681,0.2469,0.2557,397145.50277095,101956.947654848341
1660435200,2022-08-14 00:00:00,SCLP/USDT,0.263,0.2726,0.2469,0.2472,427333.55730475,109989.901929900731
1660348800,2022-08-13 00:00:00,SCLP/USDT,0.2683,0.282,0.2567,0.2615,412765.37779747,110213.876468805324
1660262400,2022-08-12 00:00:00,SCLP/USDT,0.2784,0.288,0.23,0.2684,1322717.78036676,343327.111686422318
1660176000,2022-08-11 00:00:00,SCLP/USDT,0.2795,0.3123,0.2731,0.2784,1005589.77833011,296695.20620472047
1660089600,2022-08-10 00:00:00,SCLP/USDT,0.2741,0.2859,0.2558,0.2816,539626.02257489,148266.689480216586
1660003200,2022-08-09 00:00:00,SCLP/USDT,0.2831,0.2858,0.251,0.2743,607977.13278135,162182.036436412797
1659916800,2022-08-08 00:00:00,SCLP/USDT,0.2569,0.291,0.25,0.2815,8848459.99093129,2261601.125220602962
1659830400,2022-08-07 00:00:00,SCLP/USDT,0.2437,0.262,0.2352,0.2568,6780812.94036588,1643861.301406126175
1659744000,2022-08-06 00:00:00,SCLP/USDT,0.2402,0.2597,0.2366,0.2436,4110537.46263533,1012261.07838593568
1659657600,2022-08-05 00:00:00,SCLP/USDT,0.228,0.255,0.2223,0.2401,2385492.77768808,569498.452204189588
1659571200,2022-08-04 00:00:00,SCLP/USDT,0.2366,0.2504,0.2236,0.2279,2222449.04717138,520740.051247223574
1659484800,2022-08-03 00:00:00,SCLP/USDT,0.2323,0.2517,0.2297,0.2365,1652169.50315105,400262.127167327801
1659398400,2022-08-02 00:00:00,SCLP/USDT,0.2194,0.2425,0.2101,0.231,1531346.75817016,338027.406726950284
1659312000,2022-08-01 00:00:00,SCLP/USDT,0.2315,0.27,0.215,0.2186,1408093.99515257,329104.469573752326
1659225600,2022-07-31 00:00:00,SCLP/USDT,0.2366,0.2525,0.22,0.2315,286633.02942003,68461.35212915979
1659139200,2022-07-30 00:00:00,SCLP/USDT,0.2418,0.2536,0.2253,0.2356,391903.77446625,93800.259084034081
1659052800,2022-07-29 00:00:00,SCLP/USDT,0.2257,0.25,0.222,0.2418,595388.45609446,141337.66745933501
1658966400,2022-07-28 00:00:00,SCLP/USDT,0.2153,0.234,0.2101,0.2258,604588.51793374,133970.662837877342
1658880000,2022-07-27 00:00:00,SCLP/USDT,0.2029,0.2199,0.2002,0.2155,305292.10089088,63841.166175913737
1658793600,2022-07-26 00:00:00,SCLP/USDT,0.2071,0.2084,0.1915,0.2014,343569.63004161,68966.221162383871
1658707200,2022-07-25 00:00:00,SCLP/USDT,0.2226,0.2226,0.2044,0.2078,438119.51606962,93824.993147728085
1658620800,2022-07-24 00:00:00,SCLP/USDT,0.2228,0.2299,0.2176,0.2225,146186.74501747,32861.62791852749
1658534400,2022-07-23 00:00:00,SCLP/USDT,0.2274,0.2402,0.2152,0.2211,376800.63621661,84042.508381262109
1658448000,2022-07-22 00:00:00,SCLP/USDT,0.2369,0.25,0.2165,0.2272,526837.64955997,125890.323257061247
1658361600,2022-07-21 00:00:00,SCLP/USDT,0.2209,0.2439,0.215,0.2369,754268.79922466,172785.860901507115
1658275200,2022-07-20 00:00:00,SCLP/USDT,0.2136,0.2479,0.2077,0.2195,1088313.81278285,245159.417954138207
1658188800,2022-07-19 00:00:00,SCLP/USDT,0.2064,0.2222,0.191,0.2136,852975.31866252,175585.848059206086
1658102400,2022-07-18 00:00:00,SCLP/USDT,0.213,0.2399,0.1949,0.2069,807837.92319194,174070.735535002336
1658016000,2022-07-17 00:00:00,SCLP/USDT,0.2185,0.2249,0.2101,0.2121,487000.471197,106858.44480192024
1657929600,2022-07-16 00:00:00,SCLP/USDT,0.1952,0.28,0.1888,0.2197,1228874.41037108,283762.525752238452
1657843200,2022-07-15 00:00:00,SCLP/USDT,0.2026,0.2035,0.1846,0.196,393320.97807558,76706.314945259661
1657756800,2022-07-14 00:00:00,SCLP/USDT,0.2012,0.2027,0.1861,0.2027,230451.09794017,44900.196874492653
1657670400,2022-07-13 00:00:00,SCLP/USDT,0.1926,0.2025,0.18,0.2014,604736.06247413,116215.517427499959
1657584000,2022-07-12 00:00:00,SCLP/USDT,0.1952,0.2047,0.1845,0.1931,673858.23445866,129707.25615753673
1657497600,2022-07-11 00:00:00,SCLP/USDT,0.2058,0.2086,0.1935,0.1965,502145.16259853,102051.777971579536
1657411200,2022-07-10 00:00:00,SCLP/USDT,0.2144,0.2164,0.2011,0.2058,202033.67997703,41796.646146379726
1657324800,2022-07-09 00:00:00,SCLP/USDT,0.2186,0.2218,0.211,0.2143,141467.56207734,30467.791096877255
1657238400,2022-07-08 00:00:00,SCLP/USDT,0.2272,0.2341,0.2116,0.2203,594307.62375249,131514.864558548158
1657152000,2022-07-07 00:00:00,SCLP/USDT,0.2205,0.2272,0.2112,0.2272,410985.93261728,89878.126782386923
1657065600,2022-07-06 00:00:00,SCLP/USDT,0.2209,0.225,0.212,0.2205,292632.3825842,63529.745614419865
1656979200,2022-07-05 00:00:00,SCLP/USDT,0.2277,0.2389,0.209,0.2227,347555.30606399,75790.157304894184
1656892800,2022-07-04 00:00:00,SCLP/USDT,0.219,0.2338,0.2104,0.2294,324324.34328727,71130.274931701987
1656806400,2022-07-03 00:00:00,SCLP/USDT,0.2231,0.2249,0.206,0.2209,264812.1217795,57014.45614449062
1656720000,2022-07-02 00:00:00,SCLP/USDT,0.2112,0.23,0.208,0.2232,552478.02953712,120897.99382288493
1656633600,2022-07-01 00:00:00,SCLP/USDT,0.2365,0.2505,0.2025,0.2122,1450596.14374678,327149.099242520109
1656547200,2022-06-30 00:00:00,SCLP/USDT,0.2377,0.24,0.2164,0.2364,392082.13339106,89223.194658729294
1656460800,2022-06-29 00:00:00,SCLP/USDT,0.2604,0.2659,0.2243,0.2379,546265.64722371,132165.865411688507
1656374400,2022-06-28 00:00:00,SCLP/USDT,0.2723,0.2883,0.26,0.2616,330351.7302771,90657.661060342803
