https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RNDR,Volume BTC
1663459200,2022-09-18 00:00:00,RNDR/BTC,0.00002403,0.00002405,0.00002383,0.00002397,118.9436,0.002857551627
1663372800,2022-09-17 00:00:00,RNDR/BTC,0.00002336,0.00002609,0.00002294,0.00002395,78267.1011,1.9243084176
1663286400,2022-09-16 00:00:00,RNDR/BTC,0.00002544,0.00002544,0.00002108,0.0000233,51455.5781,1.154232096436
1663200000,2022-09-15 00:00:00,RNDR/BTC,0.0000254,0.00002583,0.00002449,0.00002542,8352.8061,0.210333653036
1663113600,2022-09-14 00:00:00,RNDR/BTC,0.00002517,0.00002624,0.00002507,0.00002547,11290.2657,0.289844217077
1663027200,2022-09-13 00:00:00,RNDR/BTC,0.00002559,0.00002572,0.00002409,0.00002525,9877.406,0.247936006615
1662940800,2022-09-12 00:00:00,RNDR/BTC,0.00002601,0.00002662,0.00002479,0.00002534,22834.745,0.583612161626
1662854400,2022-09-11 00:00:00,RNDR/BTC,0.00002703,0.00002793,0.00002552,0.0000259,25214.6925,0.676149098021
1662768000,2022-09-10 00:00:00,RNDR/BTC,0.00002633,0.00003006,0.00002624,0.00002694,47507.1008,1.311041486831
1662681600,2022-09-09 00:00:00,RNDR/BTC,0.00002879,0.00002944,0.00002545,0.00002647,37529.2365,0.999902348132
1662595200,2022-09-08 00:00:00,RNDR/BTC,0.00002641,0.0000352,0.0000256,0.0000285,97991.2385,2.843064237238
1662508800,2022-09-07 00:00:00,RNDR/BTC,0.00002507,0.00002757,0.00002459,0.00002622,24851.8375,0.657486404506
1662422400,2022-09-06 00:00:00,RNDR/BTC,0.00002514,0.00002542,0.00002475,0.00002505,2811.4291,0.070829425675
1662336000,2022-09-05 00:00:00,RNDR/BTC,0.00002582,0.00002593,0.00002421,0.00002529,13880.5915,0.345516114025
1662249600,2022-09-04 00:00:00,RNDR/BTC,0.00002561,0.00002622,0.00002528,0.00002599,7999.0823,0.206037997474
