https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UBX,Volume USDT
1663459200,2022-09-18 00:00:00,UBX/USDT,0.0000503,0.0000503,0.0000501,0.0000503,69703422.8694,3500.11006520923
1663372800,2022-09-17 00:00:00,UBX/USDT,0.0000501,0.0000523,0.000049,0.0000502,1447499712.7536,72537.85870998141
1663286400,2022-09-16 00:00:00,UBX/USDT,0.0000466,0.0000512,0.0000465,0.0000501,3110222031.6559,148704.5355993052
1663200000,2022-09-15 00:00:00,UBX/USDT,0.0000504,0.0000511,0.0000458,0.0000466,3390777610.8599,165086.54314702821
1663113600,2022-09-14 00:00:00,UBX/USDT,0.0000527,0.0000539,0.0000501,0.0000504,3557329162.413,184323.76193735526
1663027200,2022-09-13 00:00:00,UBX/USDT,0.0000539,0.0000559,0.0000508,0.0000528,4323039224.4888,229123.07816399436
1662940800,2022-09-12 00:00:00,UBX/USDT,0.0000551,0.0000578,0.0000534,0.0000539,4171832848.3419,228264.82246933319
1662854400,2022-09-11 00:00:00,UBX/USDT,0.0000533,0.0000566,0.0000521,0.0000551,3913834462.0338,211288.59985220157
1662768000,2022-09-10 00:00:00,UBX/USDT,0.0000541,0.0000561,0.0000527,0.0000533,3654983154.0114,196891.24712152478
1662681600,2022-09-09 00:00:00,UBX/USDT,0.0000548,0.0000576,0.000052,0.0000541,5022146533.6277,273288.62766754266
1662595200,2022-09-08 00:00:00,UBX/USDT,0.0000569,0.0000622,0.0000537,0.0000548,5957889047.7535,343826.61787631162
1662508800,2022-09-07 00:00:00,UBX/USDT,0.0000496,0.0000605,0.0000481,0.0000568,4178835566.998,219333.71524297458
1662422400,2022-09-06 00:00:00,UBX/USDT,0.0000518,0.0000536,0.0000478,0.0000496,5288078261.9285,269812.97982046816
1662336000,2022-09-05 00:00:00,UBX/USDT,0.0000497,0.0000524,0.0000486,0.0000517,4087078662.846,204754.4786822771
1662249600,2022-09-04 00:00:00,UBX/USDT,0.0000498,0.0000514,0.0000487,0.0000497,3282212808.9926,164448.1679043982
1662163200,2022-09-03 00:00:00,UBX/USDT,0.0000504,0.0000509,0.0000484,0.0000498,3214605003.8789,158592.39928716411
1662076800,2022-09-02 00:00:00,UBX/USDT,0.0000486,0.000051,0.000048,0.0000504,3359790709.0656,165922.39780416087
1661990400,2022-09-01 00:00:00,UBX/USDT,0.0000498,0.0000508,0.0000478,0.0000485,3164900715.0188,156139.64922141818
1661904000,2022-08-31 00:00:00,UBX/USDT,0.0000511,0.000053,0.000048,0.0000498,4333277842.2981,216957.22888833436
1661817600,2022-08-30 00:00:00,UBX/USDT,0.0000526,0.0000544,0.0000498,0.000051,3957731717.5146,205043.45793788853
1661731200,2022-08-29 00:00:00,UBX/USDT,0.0000517,0.0000536,0.0000501,0.0000526,3078017006.3156,160809.14112316349
1661644800,2022-08-28 00:00:00,UBX/USDT,0.0000537,0.0000537,0.0000501,0.0000518,2372442026.276,124312.69582920303
1661558400,2022-08-27 00:00:00,UBX/USDT,0.0000496,0.0000547,0.0000493,0.0000537,2433062003.1652,125469.98670091468
1661472000,2022-08-26 00:00:00,UBX/USDT,0.0000564,0.0000583,0.0000492,0.0000494,2750159490.462,150974.21794374302
1661385600,2022-08-25 00:00:00,UBX/USDT,0.000056,0.0000617,0.0000554,0.0000564,2584864292.0648,152681.34250714276
1661299200,2022-08-24 00:00:00,UBX/USDT,0.0000557,0.0000587,0.000055,0.000056,2975227456.365,170276.24578912955
1661212800,2022-08-23 00:00:00,UBX/USDT,0.0000566,0.0000586,0.0000548,0.0000556,2186159607.2149,123839.49376645245
1661126400,2022-08-22 00:00:00,UBX/USDT,0.0000562,0.0000573,0.0000536,0.0000564,2196480139.5445,121270.55104242861
1661040000,2022-08-21 00:00:00,UBX/USDT,0.0000553,0.0000584,0.000054,0.0000562,1884308567.4716,106095.57309440509
1660953600,2022-08-20 00:00:00,UBX/USDT,0.0000548,0.000059,0.0000539,0.0000553,2863040479.7799,159761.43590708144
1660867200,2022-08-19 00:00:00,UBX/USDT,0.0000592,0.0000592,0.0000527,0.0000547,5374257932.1648,301002.79968051034
1660780800,2022-08-18 00:00:00,UBX/USDT,0.0000647,0.000065,0.0000579,0.0000592,3425435157.8997,207872.86051340449
1660694400,2022-08-17 00:00:00,UBX/USDT,0.0000696,0.0000701,0.0000601,0.0000647,5345632431.0046,347240.14608715139
1660608000,2022-08-16 00:00:00,UBX/USDT,0.0000607,0.000094,0.00006,0.0000696,12195200060.8937,922898.19126316827
1660521600,2022-08-15 00:00:00,UBX/USDT,0.0000602,0.0000619,0.000058,0.0000607,2170675927.186,129265.34887483908
1660435200,2022-08-14 00:00:00,UBX/USDT,0.0000601,0.000061,0.0000581,0.0000601,2285053082.2473,135371.31784749287
1660348800,2022-08-13 00:00:00,UBX/USDT,0.0000595,0.0000626,0.0000589,0.0000601,2810836282.5101,171150.44011808449
1660262400,2022-08-12 00:00:00,UBX/USDT,0.0000583,0.000061,0.000057,0.0000595,3436717658.6278,200809.3498912734
1660176000,2022-08-11 00:00:00,UBX/USDT,0.0000591,0.000066,0.0000575,0.0000583,4455386473.7997,265320.23011530698
1660089600,2022-08-10 00:00:00,UBX/USDT,0.0000577,0.0000603,0.0000572,0.000059,3184043767.1522,186629.97452788217
1660003200,2022-08-09 00:00:00,UBX/USDT,0.0000604,0.0000614,0.0000576,0.0000577,2529581213.0837,149594.45192044601
1659916800,2022-08-08 00:00:00,UBX/USDT,0.0000578,0.0000619,0.0000573,0.0000605,3040486439.5916,181999.25184008184
1659830400,2022-08-07 00:00:00,UBX/USDT,0.000058,0.00006,0.0000575,0.0000578,2538689656.4885,149021.67928707551
1659744000,2022-08-06 00:00:00,UBX/USDT,0.000059,0.0000598,0.0000572,0.000058,2031957066.9469,118525.19634249537
1659657600,2022-08-05 00:00:00,UBX/USDT,0.0000568,0.000061,0.0000559,0.0000589,2865332423.5933,167904.23601056004
1659571200,2022-08-04 00:00:00,UBX/USDT,0.0000571,0.0000598,0.0000559,0.0000567,2395321835.7144,138564.25826271949
1659484800,2022-08-03 00:00:00,UBX/USDT,0.0000545,0.0000615,0.0000538,0.0000571,3077184961.6654,175776.87152297232
1659398400,2022-08-02 00:00:00,UBX/USDT,0.0000572,0.0000579,0.0000544,0.0000544,3291719647.3517,184878.31367406508
1659312000,2022-08-01 00:00:00,UBX/USDT,0.0000592,0.0000614,0.0000553,0.0000572,2908111619.4534,170412.97145590243
1659225600,2022-07-31 00:00:00,UBX/USDT,0.0000605,0.0000627,0.0000582,0.0000593,2289385953.6414,137154.58201378864
1659139200,2022-07-30 00:00:00,UBX/USDT,0.0000605,0.0000638,0.0000597,0.0000607,2316640010.8523,142378.40720202611
1659052800,2022-07-29 00:00:00,UBX/USDT,0.0000597,0.0000615,0.0000584,0.0000605,2877059481.6289,172114.36516934181
1658966400,2022-07-28 00:00:00,UBX/USDT,0.0000581,0.0000629,0.0000561,0.0000598,2705586992.4598,159796.5519640196
1658880000,2022-07-27 00:00:00,UBX/USDT,0.0000531,0.0000622,0.000051,0.000058,3111963854.6463,172702.64676170797
1658793600,2022-07-26 00:00:00,UBX/USDT,0.0000538,0.0000553,0.0000511,0.0000532,2983876000.63807863,156939.72386913614876
1658707200,2022-07-25 00:00:00,UBX/USDT,0.0000566,0.0000571,0.0000533,0.0000537,2965064471.3326,162542.88659682049
1658620800,2022-07-24 00:00:00,UBX/USDT,0.0000565,0.0000588,0.000056,0.0000565,2200891024.0879,126545.25291231414
1658534400,2022-07-23 00:00:00,UBX/USDT,0.0000592,0.0000602,0.000055,0.0000565,1953641810.6963,111836.26208963991
1658448000,2022-07-22 00:00:00,UBX/USDT,0.000059,0.0000631,0.000058,0.0000592,2178124185.011894,132000.2896725160342
1658361600,2022-07-21 00:00:00,UBX/USDT,0.0000579,0.0000601,0.0000538,0.0000591,2285968746.6518,129503.57439937222
1658275200,2022-07-20 00:00:00,UBX/USDT,0.0000599,0.000064,0.000057,0.0000577,1992042568.15142562,121110.205835533395872
1658188800,2022-07-19 00:00:00,UBX/USDT,0.0000575,0.0000639,0.0000552,0.0000599,2916074620.6326211,173187.20742141035098
1658102400,2022-07-18 00:00:00,UBX/USDT,0.0000535,0.0000619,0.0000529,0.0000576,3943625681.81070408,224889.562814279674757
1658016000,2022-07-17 00:00:00,UBX/USDT,0.0000535,0.0000574,0.0000515,0.0000535,2737761560.64279589,149146.933313574726702
1657929600,2022-07-16 00:00:00,UBX/USDT,0.0000539,0.0000556,0.0000505,0.0000535,2374366101.12510386,125294.674746689676575
1657843200,2022-07-15 00:00:00,UBX/USDT,0.0000533,0.0000559,0.0000524,0.0000539,2543314048.30403986,136864.885157630476793
1657756800,2022-07-14 00:00:00,UBX/USDT,0.0000521,0.0000568,0.0000516,0.0000532,2930713007.21553053,156439.296607586899694
1657670400,2022-07-13 00:00:00,UBX/USDT,0.0000504,0.000053,0.000049,0.0000521,3381721057.08913253,171683.829985182685771
1657584000,2022-07-12 00:00:00,UBX/USDT,0.000052,0.0000545,0.00005,0.0000504,2720581372.53096872,139985.624624883591732
1657497600,2022-07-11 00:00:00,UBX/USDT,0.0000532,0.000055,0.0000499,0.000052,3175530778.97718274,166225.10094299605519
1657411200,2022-07-10 00:00:00,UBX/USDT,0.0000538,0.0000549,0.000052,0.0000533,2821044538.64838449,149925.243026380122694
1657324800,2022-07-09 00:00:00,UBX/USDT,0.000056,0.000056,0.000053,0.0000537,849130546.28560807,46041.402486826331937
1657238400,2022-07-08 00:00:00,UBX/USDT,0.0000542,0.0000595,0.0000534,0.0000561,2023954302.06934593,114511.931427669109499
1657152000,2022-07-07 00:00:00,UBX/USDT,0.0000539,0.0000561,0.0000515,0.0000542,1784162999.31457799,95465.795891093669338
1657065600,2022-07-06 00:00:00,UBX/USDT,0.0000517,0.0000549,0.0000511,0.0000542,2123125928.03437033,113019.611678576371931
1656979200,2022-07-05 00:00:00,UBX/USDT,0.0000536,0.0000568,0.0000504,0.0000517,2017732366.56672401,107215.827750349370775
1656892800,2022-07-04 00:00:00,UBX/USDT,0.0000509,0.0000546,0.0000504,0.0000535,1129498220.97877969,59204.511297597427667
1656806400,2022-07-03 00:00:00,UBX/USDT,0.000053,0.0000536,0.0000497,0.000051,876168765.53791056,45011.212892546917765
1656720000,2022-07-02 00:00:00,UBX/USDT,0.0000547,0.0000552,0.000052,0.0000531,833095317.87541528,44615.885729816835652
1656633600,2022-07-01 00:00:00,UBX/USDT,0.0000552,0.000061,0.000054,0.0000549,1446765469.456438,81946.917448858231446
1656547200,2022-06-30 00:00:00,UBX/USDT,0.0000551,0.0000567,0.0000503,0.0000553,1832786785.30729528,97962.924736702008522
1656460800,2022-06-29 00:00:00,UBX/USDT,0.0000593,0.0000607,0.0000526,0.000055,1468486197.27287966,83485.923441184701799
1656374400,2022-06-28 00:00:00,UBX/USDT,0.0000628,0.0000631,0.000059,0.0000592,1220741108.61180354,74540.103397005979643
1656288000,2022-06-27 00:00:00,UBX/USDT,0.0000656,0.0000656,0.0000567,0.0000628,1372320832.49553244,84400.072364191773271
1656201600,2022-06-26 00:00:00,UBX/USDT,0.0000647,0.00007,0.0000632,0.0000656,1383871036.67024235,92750.563862527458776
1656115200,2022-06-25 00:00:00,UBX/USDT,0.0000638,0.000068,0.000062,0.0000647,1171318488.30229934,75796.086078819143691
