https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BCD,Volume BTC
1663459200,2022-09-18 00:00:00,BCD/BTC,0.00000848,0.00000851,0.00000848,0.00000851,25.7281,0.000218493041
1663372800,2022-09-17 00:00:00,BCD/BTC,0.00000839,0.00000869,0.00000827,0.00000843,19919.2922,0.167981570075
1663286400,2022-09-16 00:00:00,BCD/BTC,0.00000872,0.00000874,0.00000835,0.00000835,8451.3188,0.071941166561
1663200000,2022-09-15 00:00:00,BCD/BTC,0.00000871,0.00000883,0.00000861,0.00000868,11810.0596,0.102626679525
1663113600,2022-09-14 00:00:00,BCD/BTC,0.0000087,0.00000882,0.00000819,0.00000871,49002.1279,0.417913820117
1663027200,2022-09-13 00:00:00,BCD/BTC,0.00000825,0.00000899,0.00000818,0.00000869,40617.7319,0.348832903162
1662940800,2022-09-12 00:00:00,BCD/BTC,0.0000083,0.00000932,0.0000082,0.00000824,96435.5663,0.8235654774
1662854400,2022-09-11 00:00:00,BCD/BTC,0.00000855,0.00000949,0.00000828,0.00000831,102084.8249,0.887145471754
1662768000,2022-09-10 00:00:00,BCD/BTC,0.00000879,0.00000895,0.00000851,0.00000851,20637.0796,0.180001783845
1662681600,2022-09-09 00:00:00,BCD/BTC,0.00000952,0.00000953,0.00000849,0.0000088,127387.2105,1.138059063229
1662595200,2022-09-08 00:00:00,BCD/BTC,0.00000888,0.00001098,0.00000825,0.00000956,206852.319,1.913227063531
1662508800,2022-09-07 00:00:00,BCD/BTC,0.00000869,0.00000913,0.0000085,0.00000883,30207.8532,0.26342342276
1662422400,2022-09-06 00:00:00,BCD/BTC,0.00000877,0.00000882,0.00000852,0.0000087,29424.8364,0.255382848162
1662336000,2022-09-05 00:00:00,BCD/BTC,0.00000838,0.00000959,0.00000822,0.00000882,77344.7914,0.675971383785
1662249600,2022-09-04 00:00:00,BCD/BTC,0.00000831,0.0000087,0.00000822,0.00000848,21299.3996,0.180228529828
1662163200,2022-09-03 00:00:00,BCD/BTC,0.00000816,0.00000864,0.00000793,0.00000831,16394.5649,0.135854223418
1662076800,2022-09-02 00:00:00,BCD/BTC,0.00000834,0.00000838,0.00000798,0.00000816,25082.9892,0.205086392233
1661990400,2022-09-01 00:00:00,BCD/BTC,0.00000769,0.00001015,0.00000766,0.00000834,115893.7224,0.928789140012
1661904000,2022-08-31 00:00:00,BCD/BTC,0.00000777,0.00000812,0.00000751,0.00000769,61763.3658,0.477069612882
1661817600,2022-08-30 00:00:00,BCD/BTC,0.00000793,0.00000808,0.00000778,0.00000782,15014.9989,0.118089231251
1661731200,2022-08-29 00:00:00,BCD/BTC,0.00000794,0.00000806,0.00000781,0.00000788,22770.7533,0.180617741
1661644800,2022-08-28 00:00:00,BCD/BTC,0.00000768,0.00000799,0.00000759,0.00000797,19669.9165,0.152842660495
1661558400,2022-08-27 00:00:00,BCD/BTC,0.00000761,0.00000771,0.00000752,0.00000765,18811.0133,0.143045663158
