https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FLOW,Volume USDT
1663459200,2022-09-18 00:00:00,FLOW/USDT,1.841,1.841,1.819,1.826,6978.13299237,12743.39650424096
1663372800,2022-09-17 00:00:00,FLOW/USDT,1.78,1.849,1.776,1.842,151653.90919763,273912.59458308245
1663286400,2022-09-16 00:00:00,FLOW/USDT,1.757,1.792,1.724,1.782,397634.68320618,697009.43759118678
1663200000,2022-09-15 00:00:00,FLOW/USDT,1.869,1.869,1.74,1.756,774613.19316362,1398620.70244662095
1663113600,2022-09-14 00:00:00,FLOW/USDT,1.863,1.883,1.795,1.869,622021.41953897,1146632.3037290936
1663027200,2022-09-13 00:00:00,FLOW/USDT,2.104,2.104,1.845,1.863,1004873.5190786,2011568.92718037716
1662940800,2022-09-12 00:00:00,FLOW/USDT,2.114,2.302,2.054,2.103,1555399.83601301,3324197.42049783869
1662854400,2022-09-11 00:00:00,FLOW/USDT,2.108,2.148,2.057,2.116,806698.75768511,1696702.15685580803
1662768000,2022-09-10 00:00:00,FLOW/USDT,2.11,2.194,2.062,2.109,1272048.2515382,2685418.4189156222
1662681600,2022-09-09 00:00:00,FLOW/USDT,1.956,2.217,1.944,2.111,2038859.76186563,4237350.24590318419
1662595200,2022-09-08 00:00:00,FLOW/USDT,1.859,2.032,1.849,1.955,1199801.57240478,2319169.62018517284
1662508800,2022-09-07 00:00:00,FLOW/USDT,1.772,1.884,1.733,1.859,683925.45175499,1233321.71685536149
1662422400,2022-09-06 00:00:00,FLOW/USDT,1.92,1.974,1.75,1.772,773215.02763649,1447365.85292446212
1662336000,2022-09-05 00:00:00,FLOW/USDT,1.95,1.967,1.849,1.92,473674.13525528,902489.87255328991
1662249600,2022-09-04 00:00:00,FLOW/USDT,1.952,1.984,1.915,1.949,418107.26754438,816475.5536093587
1662163200,2022-09-03 00:00:00,FLOW/USDT,1.967,1.969,1.886,1.952,361857.82703538,699303.8099695385
1662076800,2022-09-02 00:00:00,FLOW/USDT,2.046,2.061,1.932,1.968,757095.86287877,1518635.21177477306
1661990400,2022-09-01 00:00:00,FLOW/USDT,2.071,2.092,1.958,2.045,854186.09197902,1730343.29502731381
1661904000,2022-08-31 00:00:00,FLOW/USDT,2.013,2.163,1.977,2.069,1509251.98576515,3115006.13852816218
1661817600,2022-08-30 00:00:00,FLOW/USDT,1.916,2.085,1.871,2.012,1958547.91773863,3854579.6980764491
1661731200,2022-08-29 00:00:00,FLOW/USDT,1.696,2.062,1.672,1.917,1390582.34129768,2620980.33015264379
1661644800,2022-08-28 00:00:00,FLOW/USDT,1.825,1.844,1.676,1.695,456151.30569732,814745.84997424975
1661558400,2022-08-27 00:00:00,FLOW/USDT,1.851,1.909,1.794,1.826,431033.13620994,801728.51234669276
1661472000,2022-08-26 00:00:00,FLOW/USDT,2.137,2.138,1.821,1.851,773249.6212198,1533781.64028861244
1661385600,2022-08-25 00:00:00,FLOW/USDT,2.145,2.219,2.125,2.14,352244.47353751,762272.00201535726
1661299200,2022-08-24 00:00:00,FLOW/USDT,2.146,2.237,2.066,2.143,536363.65813974,1156876.58708391879
1661212800,2022-08-23 00:00:00,FLOW/USDT,2.13,2.169,2.033,2.145,483106.05730466,1018701.29631998642
1661126400,2022-08-22 00:00:00,FLOW/USDT,2.164,2.179,2.024,2.13,570305.35825422,1183972.6773870029
1661040000,2022-08-21 00:00:00,FLOW/USDT,2.127,2.202,2.088,2.163,562941.81698993,1204707.41370501282
1660953600,2022-08-20 00:00:00,FLOW/USDT,2.117,2.27,2.037,2.124,987631.27271702,2150249.72157649003
1660867200,2022-08-19 00:00:00,FLOW/USDT,2.528,2.586,2.092,2.119,1640644.92255652,3816988.87682270512
1660780800,2022-08-18 00:00:00,FLOW/USDT,2.567,2.81,2.433,2.531,1570192.09268597,4167582.78835406294
1660694400,2022-08-17 00:00:00,FLOW/USDT,2.682,2.749,2.532,2.568,528659.51802707,1389522.52196329327
1660608000,2022-08-16 00:00:00,FLOW/USDT,2.704,2.761,2.636,2.687,263555.09374271,708870.75665500312
1660521600,2022-08-15 00:00:00,FLOW/USDT,2.833,2.943,2.668,2.709,920338.69052464,2567250.28154949776
1660435200,2022-08-14 00:00:00,FLOW/USDT,2.919,2.937,2.788,2.833,431288.5880113,1239176.01253270267
1660348800,2022-08-13 00:00:00,FLOW/USDT,2.94,3.044,2.905,2.923,491921.35594543,1458874.56413854092
1660262400,2022-08-12 00:00:00,FLOW/USDT,2.974,2.976,2.846,2.94,521612.74522367,1521177.79564699564
1660176000,2022-08-11 00:00:00,FLOW/USDT,3.063,3.248,2.937,2.974,1041058.39918019,3179214.78735937648
1660089600,2022-08-10 00:00:00,FLOW/USDT,2.993,3.136,2.778,3.063,1467043.97653832,4324567.89039693968
1660003200,2022-08-09 00:00:00,FLOW/USDT,3.023,3.143,2.798,2.996,1309632.70617155,3880682.67339455597
1659916800,2022-08-08 00:00:00,FLOW/USDT,2.622,3.141,2.61,3.021,1936957.38869343,5722446.34811255847
1659830400,2022-08-07 00:00:00,FLOW/USDT,2.572,2.763,2.505,2.624,1229449.68712689,3257352.96281966249
1659744000,2022-08-06 00:00:00,FLOW/USDT,2.735,2.888,2.564,2.573,1577327.73008898,4245424.96801860481
1659657600,2022-08-05 00:00:00,FLOW/USDT,2.598,3,2.503,2.732,3509078.05121226,9587889.58676083825
1659571200,2022-08-04 00:00:00,FLOW/USDT,1.842,2.817,1.84,2.602,3076209.20773178,7492563.61375579156
1659484800,2022-08-03 00:00:00,FLOW/USDT,1.876,1.944,1.814,1.84,167728.65294492,316086.9226371307
1659398400,2022-08-02 00:00:00,FLOW/USDT,2.022,2.071,1.809,1.873,549890.02436434,1036151.21032236709
1659312000,2022-08-01 00:00:00,FLOW/USDT,1.924,2.134,1.909,2.023,553765.4960102,1113849.52011079434
1659225600,2022-07-31 00:00:00,FLOW/USDT,1.924,2.092,1.904,1.925,640884.35441095,1277184.8297392529
1659139200,2022-07-30 00:00:00,FLOW/USDT,1.86,2.053,1.86,1.922,755889.39534487,1474012.56856265366
1659052800,2022-07-29 00:00:00,FLOW/USDT,1.879,1.965,1.818,1.86,551546.49324235,1042730.41604593589
1658966400,2022-07-28 00:00:00,FLOW/USDT,1.776,2.004,1.735,1.877,538560.50543904,1010856.19173082655
1658880000,2022-07-27 00:00:00,FLOW/USDT,1.595,1.78,1.551,1.773,488584.7146608,811535.04027516951
1658793600,2022-07-26 00:00:00,FLOW/USDT,1.624,1.628,1.524,1.596,202420.95089044,318752.19303697748
1658707200,2022-07-25 00:00:00,FLOW/USDT,1.833,1.853,1.623,1.625,478751.16297017,816786.41188115981
1658620800,2022-07-24 00:00:00,FLOW/USDT,1.852,1.94,1.82,1.831,421578.25984064,787781.50278607613
1658534400,2022-07-23 00:00:00,FLOW/USDT,1.841,1.909,1.755,1.849,464212.76107935,852209.14719397595
1658448000,2022-07-22 00:00:00,FLOW/USDT,1.875,2.008,1.815,1.836,878172.02231896,1682291.07800051612
1658361600,2022-07-21 00:00:00,FLOW/USDT,1.865,1.893,1.748,1.876,508496.66916098,926850.30101452451
1658275200,2022-07-20 00:00:00,FLOW/USDT,1.92,2.119,1.796,1.862,1797166.28411537,3596519.18843830516
1658188800,2022-07-19 00:00:00,FLOW/USDT,1.684,1.97,1.658,1.92,2877711.94684546,5217493.69272737082
1658102400,2022-07-18 00:00:00,FLOW/USDT,1.573,1.721,1.568,1.688,836593.41250016,1386220.5096471772
1658016000,2022-07-17 00:00:00,FLOW/USDT,1.602,1.627,1.559,1.573,677287.99170174,1075771.19590657071
1657929600,2022-07-16 00:00:00,FLOW/USDT,1.547,1.611,1.511,1.603,624377.67928139,974997.34612092333
1657843200,2022-07-15 00:00:00,FLOW/USDT,1.56,1.601,1.531,1.546,662959.68606315,1034422.81067542636
1657756800,2022-07-14 00:00:00,FLOW/USDT,1.516,1.562,1.443,1.558,758567.85443899,1131034.82565660728
1657670400,2022-07-13 00:00:00,FLOW/USDT,1.43,1.52,1.373,1.518,746494.76859054,1082176.63944670371
1657584000,2022-07-12 00:00:00,FLOW/USDT,1.507,1.521,1.425,1.433,432859.58029832,639755.10572557049
