https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ONG
1663545600000,2022-09-19 00:00:00,ONG/BTC,1.822e-05,1.822e-05,1.71e-05,1.71e-05,0.048563999999999996,2840.0
1663459200000,2022-09-18 00:00:00,ONG/BTC,1.779e-05,1.779e-05,1.711e-05,1.722e-05,0.888036503764116,51570.0640978
1663372800000,2022-09-17 00:00:00,ONG/BTC,1.819e-05,1.819e-05,1.763e-05,1.777e-05,0.9149773000000001,51490
1663286400000,2022-09-16 00:00:00,ONG/BTC,1.765e-05,1.822e-05,1.675e-05,1.788e-05,0.9357218486251201,52333.436724
1663200000000,2022-09-15 00:00:00,ONG/BTC,1.74e-05,1.837e-05,1.68e-05,1.769e-05,0.9588420851748788,54202.49209581
1663113600000,2022-09-14 00:00:00,ONG/BTC,1.695e-05,1.747e-05,1.692e-05,1.726e-05,0.6870185370864885,39804.08673734
1663027200000,2022-09-13 00:00:00,ONG/BTC,1.665e-05,1.812e-05,1.624e-05,1.7e-05,0.75752950557805,44560.55915165
1662940800000,2022-09-12 00:00:00,ONG/BTC,1.706e-05,1.823e-05,1.653e-05,1.671e-05,0.8553110723503917,51185.58182827
1662854400000,2022-09-11 00:00:00,ONG/BTC,1.724e-05,1.735e-05,1.7e-05,1.714e-05,0.8341663491498773,48667.81500291
1662768000000,2022-09-10 00:00:00,ONG/BTC,1.731e-05,1.916e-05,1.716e-05,1.73e-05,0.91817072974472,53073.4525864
1662681600000,2022-09-09 00:00:00,ONG/BTC,1.816e-05,1.926e-05,1.697e-05,1.724e-05,0.8385969045888041,48642.5118671
1662595200000,2022-09-08 00:00:00,ONG/BTC,1.779e-05,2.008e-05,1.777e-05,1.825e-05,0.9846190646526825,53951.72957001
1662508800000,2022-09-07 00:00:00,ONG/BTC,1.794e-05,1.794e-05,1.745e-05,1.785e-05,0.828869633569005,46435.2735893
1662422400000,2022-09-06 00:00:00,ONG/BTC,1.784e-05,1.812e-05,1.757e-05,1.801e-05,0.8731167558304382,48479.55334983
1662336000000,2022-09-05 00:00:00,ONG/BTC,1.787e-05,1.79e-05,1.749e-05,1.788e-05,0.8779130705369904,49100.28358708
1662249600000,2022-09-04 00:00:00,ONG/BTC,1.787e-05,1.819e-05,1.78e-05,1.785e-05,0.9224312630299409,51676.82145826
1662163200000,2022-09-03 00:00:00,ONG/BTC,1.783e-05,1.794e-05,1.772e-05,1.787e-05,0.9033502802170807,50551.21881461
1662076800000,2022-09-02 00:00:00,ONG/BTC,1.795e-05,1.795e-05,1.748e-05,1.784e-05,0.8752482399999999,49061
