https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PLAY,Volume BTC
1663459200,2022-09-18 00:00:00,PLAY/BTC,0.0000003608,0.0000003641,0.000000359,0.0000003611,56306.82,0.02030003873253
1663372800,2022-09-17 00:00:00,PLAY/BTC,0.0000003792,0.0000004346,0.000000355,0.0000003612,3071232.1364,1.15934947305891
1663286400,2022-09-16 00:00:00,PLAY/BTC,0.0000003146,0.0000004364,0.0000002816,0.0000003815,2747564.6852,0.90451001528361
1663200000,2022-09-15 00:00:00,PLAY/BTC,0.0000003094,0.0000003818,0.0000002966,0.0000003176,2102816.3047,0.67370029901061
1663113600,2022-09-14 00:00:00,PLAY/BTC,0.0000002282,0.0000003649,0.0000002227,0.0000003161,3677246.8415,1.08008989960097
1663027200,2022-09-13 00:00:00,PLAY/BTC,0.0000002321,0.0000002602,0.0000002097,0.0000002314,3449590.1774,0.82111960184829
1662940800,2022-09-12 00:00:00,PLAY/BTC,0.0000001933,0.0000002592,0.00000019,0.0000002346,2936147.7828,0.65846344432079
1662854400,2022-09-11 00:00:00,PLAY/BTC,0.0000002236,0.0000002279,0.0000001908,0.0000001937,2765864.7646,0.58130503954046
1662768000,2022-09-10 00:00:00,PLAY/BTC,0.0000002198,0.0000002331,0.0000002174,0.0000002258,2469708.9502,0.56143899034357
1662681600,2022-09-09 00:00:00,PLAY/BTC,0.0000002463,0.0000002545,0.0000002198,0.0000002212,1553091.6174,0.37440285481534
1662595200,2022-09-08 00:00:00,PLAY/BTC,0.0000002623,0.0000003022,0.0000002406,0.0000002476,3412824.4496,0.89792587214375
1662508800,2022-09-07 00:00:00,PLAY/BTC,0.0000002821,0.0000002846,0.0000002339,0.0000002643,2807673.0541,0.72525855509494
1662422400,2022-09-06 00:00:00,PLAY/BTC,0.0000002816,0.0000003034,0.0000002624,0.0000002846,3674261.4,1.02721518593835
1662336000,2022-09-05 00:00:00,PLAY/BTC,0.0000003017,0.0000003072,0.0000002723,0.0000002819,2561325.6609,0.74495560737946
1662249600,2022-09-04 00:00:00,PLAY/BTC,0.0000003101,0.0000003157,0.0000003017,0.0000003032,1792357.5425,0.55323013508715
1662163200,2022-09-03 00:00:00,PLAY/BTC,0.0000003182,0.0000003206,0.0000002707,0.0000003107,1824145.3543,0.53857669603872
1662076800,2022-09-02 00:00:00,PLAY/BTC,0.0000002243,0.0000005,0.0000002095,0.0000003197,2333590.6203,0.64955552506501
1661990400,2022-09-01 00:00:00,PLAY/BTC,0.0000002066,0.0000002324,0.0000001675,0.0000002243,4114547.9155,0.78069940596358
1661904000,2022-08-31 00:00:00,PLAY/BTC,0.0000002385,0.0000002402,0.0000002053,0.0000002065,2606194.9043,0.57391360022749
1661817600,2022-08-30 00:00:00,PLAY/BTC,0.0000001948,0.00000035,0.0000001933,0.0000002388,4765595.4916,1.10152666698211
1661731200,2022-08-29 00:00:00,PLAY/BTC,0.0000001934,0.0000002199,0.0000001873,0.0000001965,3805192.8822,0.76204448197935
1661644800,2022-08-28 00:00:00,PLAY/BTC,0.0000001763,0.0000001984,0.0000001703,0.000000195,3142833.2345,0.56984655741367
