https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AOA,Volume BTC
1663459200,2022-09-18 00:00:00,AOA/BTC,0.0000000133,0.0000000134,0.0000000133,0.0000000133,14790.6562,0.00019749181035
1663372800,2022-09-17 00:00:00,AOA/BTC,0.0000000131,0.0000000135,0.0000000127,0.0000000132,2894920.3927,0.03760166996849
1663286400,2022-09-16 00:00:00,AOA/BTC,0.0000000131,0.0000000134,0.0000000128,0.0000000131,1583355.2847,0.02081093007763
1663200000,2022-09-15 00:00:00,AOA/BTC,0.0000000131,0.0000000135,0.000000013,0.0000000133,2066501.2531,0.02747559385085
1663113600,2022-09-14 00:00:00,AOA/BTC,0.0000000128,0.0000000135,0.0000000124,0.0000000131,5932800.8689,0.07820106566347
1663027200,2022-09-13 00:00:00,AOA/BTC,0.0000000121,0.0000000131,0.0000000117,0.0000000128,6470295.3541,0.07992983801287
1662940800,2022-09-12 00:00:00,AOA/BTC,0.0000000122,0.0000000124,0.0000000118,0.000000012,2799607.1927,0.03399423367615
1662854400,2022-09-11 00:00:00,AOA/BTC,0.0000000126,0.0000000126,0.0000000121,0.0000000122,14256438.6529,0.17535280722923
1662768000,2022-09-10 00:00:00,AOA/BTC,0.0000000132,0.0000000135,0.0000000122,0.0000000127,11008751.4701,0.13895903212028
1662681600,2022-09-09 00:00:00,AOA/BTC,0.0000000136,0.0000000139,0.000000013,0.0000000131,18774071.3322,0.2513109357452
1662595200,2022-09-08 00:00:00,AOA/BTC,0.0000000139,0.0000000142,0.0000000132,0.0000000137,17756551.9995,0.24301200896135
1662508800,2022-09-07 00:00:00,AOA/BTC,0.0000000147,0.0000000147,0.0000000136,0.0000000138,3738010.1481,0.05240208854413
1662422400,2022-09-06 00:00:00,AOA/BTC,0.0000000145,0.0000000163,0.0000000142,0.0000000146,12763868.1167,0.19335957196197
1662336000,2022-09-05 00:00:00,AOA/BTC,0.0000000142,0.0000000151,0.0000000142,0.0000000147,1241982.8429,0.01825647773968
1662249600,2022-09-04 00:00:00,AOA/BTC,0.0000000142,0.0000000148,0.000000014,0.0000000143,4291638.3358,0.06105628207803
1662163200,2022-09-03 00:00:00,AOA/BTC,0.0000000145,0.0000000152,0.0000000141,0.0000000144,4444057.2172,0.0647622057894
1662076800,2022-09-02 00:00:00,AOA/BTC,0.0000000151,0.0000000151,0.0000000144,0.0000000145,4979505.3498,0.07349218043314
1661990400,2022-09-01 00:00:00,AOA/BTC,0.0000000157,0.0000000158,0.000000015,0.000000015,2256971.4406,0.03472987456094
1661904000,2022-08-31 00:00:00,AOA/BTC,0.0000000157,0.0000000159,0.0000000153,0.0000000157,1454060.5457,0.02267492153241
1661817600,2022-08-30 00:00:00,AOA/BTC,0.0000000158,0.0000000163,0.0000000155,0.0000000158,4219548.0614,0.06694475188337
1661731200,2022-08-29 00:00:00,AOA/BTC,0.0000000166,0.000000017,0.0000000156,0.0000000158,5088123.2001,0.08232123850849
1661644800,2022-08-28 00:00:00,AOA/BTC,0.000000016,0.0000000167,0.0000000156,0.0000000167,3817896.9097,0.06129312578072
1661558400,2022-08-27 00:00:00,AOA/BTC,0.0000000163,0.0000000164,0.0000000159,0.0000000161,2880907.6129,0.04648367876481
1661472000,2022-08-26 00:00:00,AOA/BTC,0.0000000157,0.0000000163,0.0000000152,0.0000000163,3611111.6261,0.0568510270365
1661385600,2022-08-25 00:00:00,AOA/BTC,0.0000000157,0.0000000158,0.0000000152,0.0000000157,2285426.6144,0.03537059999193
1661299200,2022-08-24 00:00:00,AOA/BTC,0.0000000159,0.0000000159,0.0000000152,0.0000000156,1646267.3254,0.02553183263841
1661212800,2022-08-23 00:00:00,AOA/BTC,0.0000000159,0.0000000166,0.0000000157,0.0000000158,3019333.5719,0.04862428679246
1661126400,2022-08-22 00:00:00,AOA/BTC,0.0000000154,0.0000000159,0.0000000154,0.0000000158,1187732.8004,0.01856850937508
1661040000,2022-08-21 00:00:00,AOA/BTC,0.0000000158,0.0000000158,0.0000000153,0.0000000153,2443864.1198,0.03765825769727
1660953600,2022-08-20 00:00:00,AOA/BTC,0.0000000158,0.000000016,0.0000000154,0.0000000156,8395253.9032,0.13216983497796
1660867200,2022-08-19 00:00:00,AOA/BTC,0.0000000154,0.0000000165,0.0000000154,0.0000000159,5670880.1996,0.0908067296514
1660780800,2022-08-18 00:00:00,AOA/BTC,0.0000000162,0.0000000165,0.0000000152,0.0000000154,8422026.3943,0.13443045332107
1660694400,2022-08-17 00:00:00,AOA/BTC,0.0000000158,0.0000000168,0.0000000157,0.0000000163,6335251.8695,0.10307576588067
1660608000,2022-08-16 00:00:00,AOA/BTC,0.0000000156,0.0000000164,0.0000000152,0.0000000156,7616213.3262,0.12071273126607
1660521600,2022-08-15 00:00:00,AOA/BTC,0.0000000155,0.0000000157,0.0000000149,0.0000000155,11408241.34,0.17471458973527
