https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume STORJ,Volume USDT
1663459200,2022-09-18 00:00:00,STORJ/USDT,0.5096,0.5096,0.5049,0.5052,291.11217603,147.280170350664
1663372800,2022-09-17 00:00:00,STORJ/USDT,0.4994,0.5101,0.4979,0.5081,9561.79392291,4813.127892816798
1663286400,2022-09-16 00:00:00,STORJ/USDT,0.4863,0.5088,0.4728,0.4983,47680.4082927,23560.539952620787
1663200000,2022-09-15 00:00:00,STORJ/USDT,0.5144,0.5157,0.4835,0.485,127203.77864977,63948.023827983962
1663113600,2022-09-14 00:00:00,STORJ/USDT,0.5082,0.5201,0.5007,0.5148,155580.87200287,79406.344681988984
1663027200,2022-09-13 00:00:00,STORJ/USDT,0.5665,0.5725,0.507,0.5094,97605.97392524,52973.346101951587
1662940800,2022-09-12 00:00:00,STORJ/USDT,0.5536,0.5855,0.5454,0.566,70836.29532233,40304.39169306484
1662854400,2022-09-11 00:00:00,STORJ/USDT,0.5588,0.5725,0.5412,0.5536,83289.12119017,46475.129317416302
1662768000,2022-09-10 00:00:00,STORJ/USDT,0.5587,0.569,0.5468,0.5555,47428.06643245,26352.758883489064
1662681600,2022-09-09 00:00:00,STORJ/USDT,0.5304,0.5659,0.528,0.5593,88696.02563053,48882.411750659097
1662595200,2022-09-08 00:00:00,STORJ/USDT,0.5165,0.5377,0.5048,0.53,38123.93847437,19917.144850871968
1662508800,2022-09-07 00:00:00,STORJ/USDT,0.5015,0.5224,0.484,0.5152,60198.6030904,30177.387499481464
1662422400,2022-09-06 00:00:00,STORJ/USDT,0.5542,0.5634,0.5016,0.5016,60137.01292221,32362.496121310151
1662336000,2022-09-05 00:00:00,STORJ/USDT,0.5553,0.5584,0.5378,0.5539,34232.13681824,18752.909886776803
1662249600,2022-09-04 00:00:00,STORJ/USDT,0.5431,0.5668,0.5385,0.5538,51832.07936784,28645.357575617325
1662163200,2022-09-03 00:00:00,STORJ/USDT,0.5392,0.5476,0.5313,0.5426,15489.95213068,8368.799810303147
1662076800,2022-09-02 00:00:00,STORJ/USDT,0.5488,0.556,0.5346,0.5394,49916.56099478,27422.612732834258
1661990400,2022-09-01 00:00:00,STORJ/USDT,0.5509,0.5541,0.5279,0.5494,49980.43919943,27148.279760947483
1661904000,2022-08-31 00:00:00,STORJ/USDT,0.5383,0.5605,0.5382,0.5508,66349.62376846,36637.415710253082
1661817600,2022-08-30 00:00:00,STORJ/USDT,0.5526,0.5649,0.5255,0.5364,45806.15861228,24945.428975080774
1661731200,2022-08-29 00:00:00,STORJ/USDT,0.5273,0.5534,0.5178,0.5534,40446.52564792,21759.093227586073
1661644800,2022-08-28 00:00:00,STORJ/USDT,0.5452,0.5577,0.5236,0.5236,46888.69442969,25556.5052991712
1661558400,2022-08-27 00:00:00,STORJ/USDT,0.5561,0.559,0.5339,0.5438,77409.23457413,41994.647765312993
1661472000,2022-08-26 00:00:00,STORJ/USDT,0.6091,0.6365,0.5539,0.5568,243677.09691845,146426.279861300471
1661385600,2022-08-25 00:00:00,STORJ/USDT,0.5876,0.6469,0.5857,0.6096,315306.72285003,194055.941240966288
1661299200,2022-08-24 00:00:00,STORJ/USDT,0.5784,0.6173,0.5603,0.5873,195269.38990724,116300.423466589869
1661212800,2022-08-23 00:00:00,STORJ/USDT,0.5705,0.5794,0.5504,0.5768,71015.63943006,40292.042842591596
1661126400,2022-08-22 00:00:00,STORJ/USDT,0.5841,0.5923,0.5486,0.5707,128912.77325307,72743.64267646979
1661040000,2022-08-21 00:00:00,STORJ/USDT,0.5682,0.59,0.5657,0.5831,61668.97270392,35740.610759347799
1660953600,2022-08-20 00:00:00,STORJ/USDT,0.5684,0.5848,0.5492,0.5706,98446.92719891,56143.978378774246
1660867200,2022-08-19 00:00:00,STORJ/USDT,0.6383,0.641,0.5568,0.568,216200.22064022,126559.933528573347
1660780800,2022-08-18 00:00:00,STORJ/USDT,0.6575,0.6713,0.6066,0.6378,108548.81952817,69864.660244779819
1660694400,2022-08-17 00:00:00,STORJ/USDT,0.6932,0.7127,0.6527,0.6578,96393.12672651,65174.803865127499
1660608000,2022-08-16 00:00:00,STORJ/USDT,0.7143,0.7205,0.689,0.6937,63002.7895211,44110.676066353963
1660521600,2022-08-15 00:00:00,STORJ/USDT,0.7091,0.7288,0.6933,0.7154,140074.32230221,100323.069029741063
1660435200,2022-08-14 00:00:00,STORJ/USDT,0.7219,0.7531,0.698,0.7087,135105.84594461,97911.358569249506
1660348800,2022-08-13 00:00:00,STORJ/USDT,0.7259,0.7457,0.7128,0.7227,136090.17915488,98712.321041573682
1660262400,2022-08-12 00:00:00,STORJ/USDT,0.7236,0.7273,0.698,0.7273,188703.74906926,135175.454603225426
1660176000,2022-08-11 00:00:00,STORJ/USDT,0.72,0.7715,0.7074,0.7236,241571.94296063,178172.497272651083
1660089600,2022-08-10 00:00:00,STORJ/USDT,0.6623,0.7564,0.6496,0.72,247720.076465,176416.58527769097
1660003200,2022-08-09 00:00:00,STORJ/USDT,0.7008,0.7099,0.6471,0.6628,184977.04261357,125609.41839778152
1659916800,2022-08-08 00:00:00,STORJ/USDT,0.6902,0.7163,0.6867,0.7017,159032.14076991,112108.134468040148
1659830400,2022-08-07 00:00:00,STORJ/USDT,0.6922,0.7012,0.6788,0.6902,61937.49652886,42749.858362680754
1659744000,2022-08-06 00:00:00,STORJ/USDT,0.6971,0.7061,0.6883,0.6917,90172.48413729,62855.480126320301
1659657600,2022-08-05 00:00:00,STORJ/USDT,0.6642,0.6977,0.6642,0.6967,158041.91082056,108035.240520895265
1659571200,2022-08-04 00:00:00,STORJ/USDT,0.6545,0.6754,0.6489,0.6653,62174.54351776,41162.416374221598
1659484800,2022-08-03 00:00:00,STORJ/USDT,0.6595,0.6805,0.6374,0.6539,162115.21304787,107505.625649669083
1659398400,2022-08-02 00:00:00,STORJ/USDT,0.711,0.7206,0.6475,0.657,234659.42735744,157120.449707567857
