https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USDT,Volume ETH
1663549200000,2022-09-19 01:00:00,ETH/USDT,1344.6867,1351.4513,1343.7366,1351.4513,14238.258431106113,10.53553201
1663545600000,2022-09-19 00:00:00,ETH/USDT,1333.3308,1352.6569,1332.0598,1345.1996,68175.00717894534,50.68021666
1663542000000,2022-09-18 23:00:00,ETH/USDT,1339.6315,1354.0,1331.1485,1334.1388,76945.04362439433,57.67394189
1663538400000,2022-09-18 22:00:00,ETH/USDT,1334.8848,1341.0057,1328.8353,1339.8924,49751.27759685006,37.13080065
1663534800000,2022-09-18 21:00:00,ETH/USDT,1371.9109,1371.9109,1328.824,1336.6989,106297.71218133219,79.52255529
1663531200000,2022-09-18 20:00:00,ETH/USDT,1380.2259,1381.269,1368.3109,1371.3903,68623.59459708484,50.03943414
1663527600000,2022-09-18 19:00:00,ETH/USDT,1373.5399,1386.194,1369.7174,1381.1623,65883.20690447751,47.70127805
1663524000000,2022-09-18 18:00:00,ETH/USDT,1376.3772,1386.0,1368.0,1374.4161,106243.16908569662,77.30058538
1663520400000,2022-09-18 17:00:00,ETH/USDT,1394.9359,1395.6,1372.1018,1376.1,129252.938727726,93.92699566
1663516800000,2022-09-18 16:00:00,ETH/USDT,1417.5133,1423.6674,1387.0001,1394.9359,255499.52675460116,183.16219889
1663513200000,2022-09-18 15:00:00,ETH/USDT,1418.8475,1425.3053,1414.1105,1417.3091,57203.10703796982,40.36036108
1663509600000,2022-09-18 14:00:00,ETH/USDT,1435.0667,1435.0784,1411.8603,1420.5347,110350.95430522866,77.68268829
1663506000000,2022-09-18 13:00:00,ETH/USDT,1438.6616,1438.6616,1432.45,1435.65,51231.233906721,35.68504434
1663502400000,2022-09-18 12:00:00,ETH/USDT,1434.3219,1439.588,1427.6328,1438.0996,57384.35476810916,39.90290712
1663498800000,2022-09-18 11:00:00,ETH/USDT,1432.2764,1434.9486,1431.1755,1434.0695,46677.43991720367,32.54893847
1663495200000,2022-09-18 10:00:00,ETH/USDT,1424.1754,1443.1722,1420.0,1431.4341,73100.59894915819,51.06808546
1663491600000,2022-09-18 09:00:00,ETH/USDT,1455.7081,1458.3093,1424.6451,1424.6451,81265.81496172863,57.04284875
