https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ENS,Volume USDT
1663459200,2022-09-18 00:00:00,ENS/USDT,14.572,14.572,14.19,14.308,1511.44852707,21685.30792852523
1663372800,2022-09-17 00:00:00,ENS/USDT,14.51,14.799,13.842,14.51,20560.9024294,293575.32227072196
1663286400,2022-09-16 00:00:00,ENS/USDT,14.152,15.199,13.956,14.52,32213.41144435,471592.9485906513
1663200000,2022-09-15 00:00:00,ENS/USDT,14.654,14.779,13.751,14.204,25808.94240907,368814.78804654673
1663113600,2022-09-14 00:00:00,ENS/USDT,14.504,15.287,14.057,14.663,21357.4782774,312864.83460935372
1663027200,2022-09-13 00:00:00,ENS/USDT,15.034,15.034,13.852,14.525,31780.89023859,462983.54964961747
1662940800,2022-09-12 00:00:00,ENS/USDT,15.673,15.984,14.554,15.058,31279.37484517,479055.51537992583
1662854400,2022-09-11 00:00:00,ENS/USDT,15.615,16.257,15.136,15.714,30172.6272584,469493.10065809015
1662768000,2022-09-10 00:00:00,ENS/USDT,15.494,16.225,15.045,15.563,39916.17702659,619516.25797950486
1662681600,2022-09-09 00:00:00,ENS/USDT,15.689,16.477,15.235,15.462,54085.96433474,854388.69983203637
1662595200,2022-09-08 00:00:00,ENS/USDT,14.833,15.971,14.438,15.691,40873.93286122,621782.14372454429
1662508800,2022-09-07 00:00:00,ENS/USDT,14.174,15.204,13.172,14.817,46430.34306696,645436.44151532422
1662422400,2022-09-06 00:00:00,ENS/USDT,14.538,15.393,13.942,14.183,57316.4995727,835134.26914642265
1662336000,2022-09-05 00:00:00,ENS/USDT,13.702,14.928,13.119,14.511,25055.60051018,349624.35240949199
1662249600,2022-09-04 00:00:00,ENS/USDT,13.981,14.015,13.41,13.703,18231.22685895,248737.6657309982
1662163200,2022-09-03 00:00:00,ENS/USDT,13.752,14.187,13.536,14.022,15724.72064794,217899.219059236
1662076800,2022-09-02 00:00:00,ENS/USDT,13.446,14.077,13.045,13.765,22922.19127658,311257.60414241917
1661990400,2022-09-01 00:00:00,ENS/USDT,12.486,13.536,12.401,13.444,50042.442182,649661.31130804524
1661904000,2022-08-31 00:00:00,ENS/USDT,12.207,12.8,12.207,12.484,20172.02498926,253015.82404895952
1661817600,2022-08-30 00:00:00,ENS/USDT,12.573,12.773,11.763,12.176,20712.6965806,255242.81849328249
1661731200,2022-08-29 00:00:00,ENS/USDT,11.314,12.711,11.177,12.587,17354.61230063,206915.85810389362
1661644800,2022-08-28 00:00:00,ENS/USDT,11.923,12.145,11.24,11.286,22511.35309528,265852.04684247318
1661558400,2022-08-27 00:00:00,ENS/USDT,12.23,12.358,11.66,11.908,18885.41055909,227775.02916936914
1661472000,2022-08-26 00:00:00,ENS/USDT,13.579,13.608,12,12.233,31168.57434557,401112.92757430709
1661385600,2022-08-25 00:00:00,ENS/USDT,13.83,14.2,13.342,13.601,41091.42650105,564832.20586366943
1661299200,2022-08-24 00:00:00,ENS/USDT,13.6,14.495,13.084,13.832,31413.23315445,432631.50311080968
1661212800,2022-08-23 00:00:00,ENS/USDT,13.678,13.888,12.778,13.603,33540.82961068,449424.90504500807
1661126400,2022-08-22 00:00:00,ENS/USDT,13.187,13.769,12.412,13.678,23314.28078879,303468.18196663705
1661040000,2022-08-21 00:00:00,ENS/USDT,12.673,13.527,12.549,13.18,28073.68210756,365256.58854505335
1660953600,2022-08-20 00:00:00,ENS/USDT,12.848,13.479,12.148,12.66,33618.05658385,432123.29826497967
1660867200,2022-08-19 00:00:00,ENS/USDT,14.074,14.177,12.145,12.823,40719.13045716,527941.30078043131
1660780800,2022-08-18 00:00:00,ENS/USDT,15.75,16.251,13.493,14.131,64173.89796954,950542.90851629153
1660694400,2022-08-17 00:00:00,ENS/USDT,14.99,16.045,14.569,15.734,42797.62045911,659072.29794984523
1660608000,2022-08-16 00:00:00,ENS/USDT,15.039,15.465,14.517,15,28936.04584706,436091.8022327542
1660521600,2022-08-15 00:00:00,ENS/USDT,14.484,15.165,14.076,15.122,33799.0769571,491922.6423838649
1660435200,2022-08-14 00:00:00,ENS/USDT,15.39,15.961,14.261,14.522,26828.65135777,405092.2536982816
1660348800,2022-08-13 00:00:00,ENS/USDT,16.033,16.199,15.295,15.388,21717.63766843,341884.15467582787
1660262400,2022-08-12 00:00:00,ENS/USDT,15.578,16.041,15.247,16.01,19494.40528734,306334.05911369059
1660176000,2022-08-11 00:00:00,ENS/USDT,16.139,16.813,15.413,15.58,27593.64405013,446935.68977840053
1660089600,2022-08-10 00:00:00,ENS/USDT,15.56,16.807,14.843,16.154,41416.65376336,650293.9799789011
1660003200,2022-08-09 00:00:00,ENS/USDT,16.733,16.778,15.32,15.565,41413.74440857,661539.51519654274
1659916800,2022-08-08 00:00:00,ENS/USDT,16.875,17.452,16.377,16.709,25025.55780646,425849.82590850589
1659830400,2022-08-07 00:00:00,ENS/USDT,16.924,17.223,16.462,16.838,22867.89566735,387140.22878393971
1659744000,2022-08-06 00:00:00,ENS/USDT,17.2,18.2,16.76,16.93,50942.63042507,885406.49495565668
1659657600,2022-08-05 00:00:00,ENS/USDT,15.854,17.825,15.521,17.235,75906.34247769,1290025.60877631553
1659571200,2022-08-04 00:00:00,ENS/USDT,16.467,17.32,15.425,15.882,51314.98848639,836077.81931110624
1659484800,2022-08-03 00:00:00,ENS/USDT,14.981,16.75,14.426,16.456,99812.42084904,1573366.70102917254
1659398400,2022-08-02 00:00:00,ENS/USDT,14.155,15.361,13.262,14.983,60426.2970733,861804.6618337423
1659312000,2022-08-01 00:00:00,ENS/USDT,14.314,15.225,13.686,14.165,57645.68874111,827149.19424765912
1659225600,2022-07-31 00:00:00,ENS/USDT,14.748,15.331,14.147,14.319,62236.32684965,922334.13887922948
1659139200,2022-07-30 00:00:00,ENS/USDT,14.62,15.986,14.372,14.741,89125.73364678,1340661.18335600352
1659052800,2022-07-29 00:00:00,ENS/USDT,15.118,15.983,14.3,14.629,101493.96414732,1526815.43114245438
1658966400,2022-07-28 00:00:00,ENS/USDT,15.467,16.513,14.137,15.114,134941.69771083,2046715.04212195309
1658880000,2022-07-27 00:00:00,ENS/USDT,12.798,15.765,12.547,15.472,125030.97739224,1757949.72525287654
1658793600,2022-07-26 00:00:00,ENS/USDT,12.471,12.82,11.484,12.78,56333.05404741,675347.07595662988
1658707200,2022-07-25 00:00:00,ENS/USDT,13.144,13.423,12.251,12.519,119396.281666,1548488.47379349942
1658620800,2022-07-24 00:00:00,ENS/USDT,12.683,13.579,12.471,13.154,65812.88360413,853555.41802903122
1658534400,2022-07-23 00:00:00,ENS/USDT,12.207,12.964,11.908,12.684,43560.42106904,546027.52503603874
1658448000,2022-07-22 00:00:00,ENS/USDT,12.982,13.447,12.025,12.174,52254.05998934,668552.35024445399
1658361600,2022-07-21 00:00:00,ENS/USDT,11.323,13.531,11.036,12.979,136195.76699228,1706940.20325139427
1658275200,2022-07-20 00:00:00,ENS/USDT,10.972,11.888,10.555,11.318,66048.70272168,747299.72204521277
1658188800,2022-07-19 00:00:00,ENS/USDT,11.382,11.448,10.503,10.964,62252.68278,683137.85817610219
1658102400,2022-07-18 00:00:00,ENS/USDT,9.388,11.782,9.319,11.39,76983.00324803,839561.04015132989
1658016000,2022-07-17 00:00:00,ENS/USDT,9.695,9.873,9.288,9.35,21526.13404851,206308.67190255091
1657929600,2022-07-16 00:00:00,ENS/USDT,9.203,9.872,9.023,9.693,18705.96393576,177054.43763614724
1657843200,2022-07-15 00:00:00,ENS/USDT,9.22,9.45,9.042,9.175,21826.67416123,202654.94811497423
1657756800,2022-07-14 00:00:00,ENS/USDT,8.883,9.349,8.441,9.206,21098.40973907,187496.8068793275
1657670400,2022-07-13 00:00:00,ENS/USDT,8.31,8.906,8.106,8.877,28774.32091263,245504.24280485157
1657584000,2022-07-12 00:00:00,ENS/USDT,8.54,8.707,8.265,8.301,26058.99181518,221600.20318562902
1657497600,2022-07-11 00:00:00,ENS/USDT,9.39,9.39,8.452,8.548,32860.08576462,294850.79078855065
1657411200,2022-07-10 00:00:00,ENS/USDT,10.093,10.108,9.289,9.391,22368.06154144,215226.01210626478
