https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CRV,Volume USDT
1663459200,2022-09-18 00:00:00,CRV/USDT,1.084,1.087,1.065,1.072,34573.46380837,37262.70911360325
1663372800,2022-09-17 00:00:00,CRV/USDT,1.059,1.088,1.045,1.083,426346.89320931,454163.54353090416
1663286400,2022-09-16 00:00:00,CRV/USDT,1.054,1.075,1.021,1.059,536295.29132266,562396.32262573875
1663200000,2022-09-15 00:00:00,CRV/USDT,1.07,1.092,1.018,1.053,1137094.42447782,1194185.6249574867
1663113600,2022-09-14 00:00:00,CRV/USDT,1.052,1.129,1.028,1.07,899052.09603775,969662.6989031672
1663027200,2022-09-13 00:00:00,CRV/USDT,1.142,1.153,1.041,1.052,1326321.65525504,1442317.62693037515
1662940800,2022-09-12 00:00:00,CRV/USDT,1.182,1.205,1.121,1.142,1006924.22781381,1174760.55270446361
1662854400,2022-09-11 00:00:00,CRV/USDT,1.244,1.255,1.154,1.183,1278735.56188876,1550070.16970859376
1662768000,2022-09-10 00:00:00,CRV/USDT,1.206,1.276,1.166,1.243,1629176.7643112,1981846.22772316626
1662681600,2022-09-09 00:00:00,CRV/USDT,1.129,1.249,1.127,1.205,2060696.78747079,2457224.32653992654
1662595200,2022-09-08 00:00:00,CRV/USDT,1.168,1.176,1.105,1.128,1263629.93408306,1434766.06898377951
1662508800,2022-09-07 00:00:00,CRV/USDT,1.038,1.188,1.014,1.167,1226629.61918323,1339706.11134664929
1662422400,2022-09-06 00:00:00,CRV/USDT,1.153,1.199,1.018,1.037,1681373.659458,1909695.78802971304
1662336000,2022-09-05 00:00:00,CRV/USDT,1.093,1.16,1.061,1.151,743626.43169686,815589.79681458384
1662249600,2022-09-04 00:00:00,CRV/USDT,1.074,1.104,1.045,1.092,663647.90326532,716208.84352924206
1662163200,2022-09-03 00:00:00,CRV/USDT,1.095,1.111,1.058,1.072,490900.72877431,530496.94053431737
1662076800,2022-09-02 00:00:00,CRV/USDT,1.155,1.184,1.079,1.095,816387.44570814,927071.14795341445
1661990400,2022-09-01 00:00:00,CRV/USDT,1.148,1.165,1.063,1.154,954136.10056787,1056912.80890155067
1661904000,2022-08-31 00:00:00,CRV/USDT,1.064,1.187,1.064,1.145,801609.69948354,922479.8064402416
1661817600,2022-08-30 00:00:00,CRV/USDT,1.081,1.12,1.022,1.063,799095.36533701,862422.09331395065
1661731200,2022-08-29 00:00:00,CRV/USDT,0.993,1.086,0.975,1.08,560123.49115453,582385.71213110649
1661644800,2022-08-28 00:00:00,CRV/USDT,1.048,1.065,0.989,0.993,535613.4184977,553306.69690412756
1661558400,2022-08-27 00:00:00,CRV/USDT,1.053,1.066,1.02,1.047,628214.65832988,656470.03703978875
1661472000,2022-08-26 00:00:00,CRV/USDT,1.178,1.216,1.043,1.054,1298654.18639836,1477100.91606252126
1661385600,2022-08-25 00:00:00,CRV/USDT,1.178,1.238,1.164,1.181,855369.87908625,1027054.61667798967
1661299200,2022-08-24 00:00:00,CRV/USDT,1.185,1.224,1.136,1.178,1466291.03244413,1731783.39449613754
1661212800,2022-08-23 00:00:00,CRV/USDT,1.102,1.2,1.066,1.185,1853753.15666041,2109170.53016168632
1661126400,2022-08-22 00:00:00,CRV/USDT,1.026,1.105,0.976,1.1,2159083.04357157,2224488.1776704821
1661040000,2022-08-21 00:00:00,CRV/USDT,1.002,1.051,0.988,1.026,862781.90541127,882314.41748141969
1660953600,2022-08-20 00:00:00,CRV/USDT,1.05,1.093,0.968,1,1272447.13571357,1314557.30670545653
1660867200,2022-08-19 00:00:00,CRV/USDT,1.114,1.115,1.01,1.05,1670210.93132237,1768236.5202159559
1660780800,2022-08-18 00:00:00,CRV/USDT,1.183,1.221,1.089,1.114,799763.16460759,938690.35199796677
1660694400,2022-08-17 00:00:00,CRV/USDT,1.284,1.334,1.168,1.181,981222.5803592,1218943.68929576021
