https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GHST,Volume BTC
1663459200,2022-09-18 00:00:00,GHST/BTC,0.00006045,0.00006045,0.00005983,0.00006007,1.4807,0.000088782541
1663372800,2022-09-17 00:00:00,GHST/BTC,0.00006172,0.00006196,0.00005948,0.00005969,42.108,0.002550627471
1663286400,2022-09-16 00:00:00,GHST/BTC,0.00006006,0.00006227,0.00005913,0.00006052,381.9851,0.023180940321
1663200000,2022-09-15 00:00:00,GHST/BTC,0.0000591,0.00006086,0.00005863,0.00006023,174.8695,0.010453592107
1663113600,2022-09-14 00:00:00,GHST/BTC,0.00005937,0.00006087,0.00005868,0.00005933,339.5907,0.020183528001
1663027200,2022-09-13 00:00:00,GHST/BTC,0.00005451,0.00006044,0.00005341,0.00005935,844.137,0.048997909602
1662940800,2022-09-12 00:00:00,GHST/BTC,0.00005681,0.00005681,0.00005414,0.00005495,1053.1626,0.057972962838
1662854400,2022-09-11 00:00:00,GHST/BTC,0.00005708,0.00005804,0.00005625,0.00005692,387.4729,0.022206354859
1662768000,2022-09-10 00:00:00,GHST/BTC,0.00005749,0.00006009,0.00005576,0.00005704,663.9624,0.037910508231
1662681600,2022-09-09 00:00:00,GHST/BTC,0.00006392,0.00006438,0.00005721,0.00005799,1138.885,0.0668228131
1662595200,2022-09-08 00:00:00,GHST/BTC,0.00006492,0.00006496,0.00006162,0.00006387,151.1025,0.009684156874
1662508800,2022-09-07 00:00:00,GHST/BTC,0.00006516,0.00006673,0.00006328,0.00006388,184.6701,0.012075138798
1662422400,2022-09-06 00:00:00,GHST/BTC,0.00006331,0.0000669,0.00006098,0.0000649,425.452,0.027031932164
1662336000,2022-09-05 00:00:00,GHST/BTC,0.00006302,0.00006465,0.00006245,0.00006305,36.0592,0.002287915787
1662249600,2022-09-04 00:00:00,GHST/BTC,0.00006456,0.0000647,0.00006256,0.00006256,64.9917,0.00408919929
1662163200,2022-09-03 00:00:00,GHST/BTC,0.0000635,0.00006486,0.00006256,0.00006308,234.9188,0.014902770414
1662076800,2022-09-02 00:00:00,GHST/BTC,0.00006303,0.00006423,0.00006138,0.0000631,31.8626,0.002007146797
1661990400,2022-09-01 00:00:00,GHST/BTC,0.00006227,0.00006494,0.00006108,0.00006238,270.7483,0.016898661053
1661904000,2022-08-31 00:00:00,GHST/BTC,0.00006354,0.00006563,0.0000603,0.0000626,76.1468,0.004745573558
1661817600,2022-08-30 00:00:00,GHST/BTC,0.00006335,0.00006557,0.00006198,0.00006386,272.6435,0.017166574844
1661731200,2022-08-29 00:00:00,GHST/BTC,0.00006348,0.00006556,0.00006197,0.00006284,74.0036,0.004714113191
1661644800,2022-08-28 00:00:00,GHST/BTC,0.00006509,0.00006511,0.00006186,0.00006407,86.1554,0.005549064554
1661558400,2022-08-27 00:00:00,GHST/BTC,0.00006194,0.00006593,0.00006194,0.00006334,106.0246,0.006750099577
1661472000,2022-08-26 00:00:00,GHST/BTC,0.00006045,0.000063,0.00005907,0.00006244,746.5539,0.04645974693
1661385600,2022-08-25 00:00:00,GHST/BTC,0.00006104,0.0000616,0.0000586,0.00005986,328.5876,0.019773584591
1661299200,2022-08-24 00:00:00,GHST/BTC,0.00006259,0.00006259,0.00006021,0.00006093,35.0818,0.002150504185
1661212800,2022-08-23 00:00:00,GHST/BTC,0.00006295,0.000063,0.00005883,0.00005922,268.3762,0.016197071524
1661126400,2022-08-22 00:00:00,GHST/BTC,0.00006075,0.00006298,0.00005934,0.00006167,640.6796,0.039740016523
1661040000,2022-08-21 00:00:00,GHST/BTC,0.00006239,0.00006346,0.00005987,0.00006126,128.8497,0.007936377337
1660953600,2022-08-20 00:00:00,GHST/BTC,0.0000629,0.00006416,0.00006016,0.00006239,481.2329,0.029796872913
1660867200,2022-08-19 00:00:00,GHST/BTC,0.00005621,0.00006619,0.00005556,0.00006351,6433.7613,0.399678737619
1660780800,2022-08-18 00:00:00,GHST/BTC,0.00005594,0.00005677,0.00005479,0.0000566,136.2822,0.007618836996
1660694400,2022-08-17 00:00:00,GHST/BTC,0.00005523,0.0000565,0.00005412,0.00005605,2794.6287,0.155490961994
1660608000,2022-08-16 00:00:00,GHST/BTC,0.00005541,0.00005651,0.00005451,0.00005565,1891.5033,0.104388100868
