https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUNA,Volume USDT
1663459200,2022-09-18 00:00:00,LUNA/USDT,3.0765,3.0825,2.9433,3.0421,527993.51083914,1586424.710485283827
1663372800,2022-09-17 00:00:00,LUNA/USDT,3.0743,3.26,2.9044,3.0765,10263459.13627777,31707207.008798040444
1663286400,2022-09-16 00:00:00,LUNA/USDT,2.7266,3.489,2.6387,3.0743,13628850.03472705,40280036.044102718051
1663200000,2022-09-15 00:00:00,LUNA/USDT,3.0276,3.1786,2.6221,2.7254,12398987.37271556,35899551.718317659399
1663113600,2022-09-14 00:00:00,LUNA/USDT,4.1556,4.5201,2.1299,3.027,31959282.26632575,99827830.412971689352
1663027200,2022-09-13 00:00:00,LUNA/USDT,4.0221,4.6926,3.825,4.1561,17458128.89596139,74709027.599819853209
1662940800,2022-09-12 00:00:00,LUNA/USDT,5.7298,5.884,3.8,4.0221,24116063.56276992,112460402.420788111697
1662854400,2022-09-11 00:00:00,LUNA/USDT,6.42,7,5.26,5.7297,22117781.77558827,132831894.957993064874
1662768000,2022-09-10 00:00:00,LUNA/USDT,5.1048,7.2,4.7425,6.4166,34200711.73622843,205684432.797392744721
1662681600,2022-09-09 00:00:00,LUNA/USDT,1.9122,7.8,1.9111,5.1095,47615704.42139911,243467639.29457767261
1662595200,2022-09-08 00:00:00,LUNA/USDT,1.8834,2.08,1.8806,1.9091,3881896.80689527,7667251.484880541102
1662508800,2022-09-07 00:00:00,LUNA/USDT,1.8467,1.9776,1.7665,1.8843,2864562.45223095,5388122.082667782696
1662422400,2022-09-06 00:00:00,LUNA/USDT,2.0036,2.1593,1.7799,1.8492,5697785.51441528,11220896.485141459078
1662336000,2022-09-05 00:00:00,LUNA/USDT,1.8129,2.0122,1.7727,2.0034,4062801.60765272,7686238.262801126485
1662249600,2022-09-04 00:00:00,LUNA/USDT,1.8603,1.8727,1.7612,1.8133,1077858.5225698,1952498.567761276885
1662163200,2022-09-03 00:00:00,LUNA/USDT,1.8571,1.9176,1.7829,1.8602,1672138.56570566,3105234.525866997926
1662076800,2022-09-02 00:00:00,LUNA/USDT,1.9912,2.075,1.8256,1.8589,3183850.81300259,6149004.726205756221
1661990400,2022-09-01 00:00:00,LUNA/USDT,1.7829,2.2088,1.7609,1.9916,8182395.0104298,16335804.025917202335
1661904000,2022-08-31 00:00:00,LUNA/USDT,1.73,1.8461,1.6451,1.7841,3206657.80584125,5613479.981539698405
1661817600,2022-08-30 00:00:00,LUNA/USDT,1.6391,1.792,1.5712,1.731,1888579.95873812,3160663.42132195023
1661731200,2022-08-29 00:00:00,LUNA/USDT,1.5498,1.6487,1.5,1.6392,903603.64806953,1442685.352134149882
1661644800,2022-08-28 00:00:00,LUNA/USDT,1.6117,1.6346,1.506,1.5502,657663.15712325,1047089.878132261824
1661558400,2022-08-27 00:00:00,LUNA/USDT,1.6147,1.6487,1.5718,1.6148,962635.54673518,1552907.41738239418
1661472000,2022-08-26 00:00:00,LUNA/USDT,1.8148,1.8539,1.5703,1.6146,2014115.55481612,3490664.254053002683
1661385600,2022-08-25 00:00:00,LUNA/USDT,1.7157,1.8472,1.7139,1.8136,1992575.3246782,3537607.480764754579
1661299200,2022-08-24 00:00:00,LUNA/USDT,1.8021,1.8119,1.7158,1.7159,1133268.1514046,1987605.272765400954
1661212800,2022-08-23 00:00:00,LUNA/USDT,1.6683,1.8333,1.623,1.8023,2280785.82793212,3980908.573037429768
1661126400,2022-08-22 00:00:00,LUNA/USDT,1.6732,1.7484,1.5913,1.6703,1526402.65452268,2528414.749436300777
1661040000,2022-08-21 00:00:00,LUNA/USDT,1.6157,1.694,1.6129,1.672,1576157.54119112,2616174.186135629345
1660953600,2022-08-20 00:00:00,LUNA/USDT,1.5922,1.68,1.5622,1.6159,1490728.83939532,2435732.071266157488
1660867200,2022-08-19 00:00:00,LUNA/USDT,1.7679,1.786,1.5095,1.5907,3497005.83358348,5812584.024645449078
