https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume UNI
1663549200000,2022-09-19 01:00:00,UNI/BTC,0.00028543,0.00028736,0.00028389,0.000286,0.0104962,36.7
1663545600000,2022-09-19 00:00:00,UNI/BTC,0.00028496,0.00028753,0.00028385,0.00028661,0.03923690900000001,136.9
1663542000000,2022-09-18 23:00:00,UNI/BTC,0.00028651,0.00028787,0.00028355,0.00028355,0.040802845,143.9
1663538400000,2022-09-18 22:00:00,UNI/BTC,0.00028722,0.00028812,0.00028324,0.00028693,0.040084121,139.7
1663534800000,2022-09-18 21:00:00,UNI/BTC,0.00028929,0.00029277,0.00028115,0.0002878,0.047476673710098,164.96411991
1663531200000,2022-09-18 20:00:00,UNI/BTC,0.00029151,0.00029203,0.0002887,0.000289,0.03757,130.0
1663527600000,2022-09-18 19:00:00,UNI/BTC,0.00029222,0.00029399,0.00029154,0.00029154,0.04241907,145.5
1663524000000,2022-09-18 18:00:00,UNI/BTC,0.00029314,0.00029362,0.00029189,0.00029275,0.038320975,130.9
1663520400000,2022-09-18 17:00:00,UNI/BTC,0.00029345,0.00029426,0.00029234,0.00029296,0.041043696,140.1
1663516800000,2022-09-18 16:00:00,UNI/BTC,0.00029482,0.00029519,0.00029235,0.0002945,0.0417601,141.8
1663513200000,2022-09-18 15:00:00,UNI/BTC,0.00029512,0.00029573,0.00029421,0.00029477,0.043124851000000006,146.3
1663509600000,2022-09-18 14:00:00,UNI/BTC,0.00029517,0.00029578,0.0002941,0.00029537,0.04067244899999999,137.7
1663506000000,2022-09-18 13:00:00,UNI/BTC,0.00029578,0.00029615,0.00029514,0.00029539,0.042358926,143.4
1663502400000,2022-09-18 12:00:00,UNI/BTC,0.00029517,0.000296,0.00029434,0.00029576,0.048179304,162.9
1663498800000,2022-09-18 11:00:00,UNI/BTC,0.0002952,0.00029597,0.00029508,0.00029514,0.04087689,138.5
1663495200000,2022-09-18 10:00:00,UNI/BTC,0.00029649,0.00029775,0.00029457,0.00029546,0.041630314,140.9
1663491600000,2022-09-18 09:00:00,UNI/BTC,0.00030066,0.00030155,0.00029617,0.00029684,0.0383582530507964,129.22198171
1663488000000,2022-09-18 08:00:00,UNI/BTC,0.00029858,0.00030085,0.00029825,0.00030055,0.047216405,157.1
