https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RIF,Volume BTC
1663459200,2022-09-18 00:00:00,RIF/BTC,0.000002951,0.000002951,0.000002951,0.000002951,1.0594,0.0000031262894
1663372800,2022-09-17 00:00:00,RIF/BTC,0.000002892,0.000002994,0.00000288,0.000002953,93594.0922,0.2728888882053
1663286400,2022-09-16 00:00:00,RIF/BTC,0.000002961,0.000002963,0.000002863,0.0000029,278629.1966,0.8125717918459
1663200000,2022-09-15 00:00:00,RIF/BTC,0.000002942,0.000003,0.00000289,0.00000295,478495.3722,1.4166570782115
1663113600,2022-09-14 00:00:00,RIF/BTC,0.000002936,0.000003094,0.00000291,0.000002969,2309930.3135,6.9148147271742
1663027200,2022-09-13 00:00:00,RIF/BTC,0.00000295,0.00000296,0.00000283,0.000002939,134181.0406,0.3889552574393
1662940800,2022-09-12 00:00:00,RIF/BTC,0.000003031,0.000003059,0.000002949,0.00000295,275784.7009,0.8353938159162
1662854400,2022-09-11 00:00:00,RIF/BTC,0.000003081,0.00000311,0.000003016,0.000003044,115037.0018,0.3515387941608
1662768000,2022-09-10 00:00:00,RIF/BTC,0.000003009,0.000003086,0.00000297,0.000003086,239904.2771,0.7294656082651
1662681600,2022-09-09 00:00:00,RIF/BTC,0.000003201,0.000003209,0.000002995,0.000002995,132630.351,0.4074424246339
1662595200,2022-09-08 00:00:00,RIF/BTC,0.000003144,0.00000324,0.00000312,0.000003209,181108.0011,0.5738802745677
1662508800,2022-09-07 00:00:00,RIF/BTC,0.000003211,0.00000322,0.00000306,0.000003144,216851.2928,0.6848205689335
1662422400,2022-09-06 00:00:00,RIF/BTC,0.000003148,0.00000327,0.000003122,0.000003211,197440.6877,0.6350034546852
1662336000,2022-09-05 00:00:00,RIF/BTC,0.00000312,0.000003174,0.00000311,0.000003141,42638.1487,0.1342883965298
1662249600,2022-09-04 00:00:00,RIF/BTC,0.000003075,0.00000321,0.00000306,0.00000312,198421.7011,0.6175581110929
1662163200,2022-09-03 00:00:00,RIF/BTC,0.00000309,0.000003109,0.00000304,0.00000306,152920.3037,0.4711716920148
1662076800,2022-09-02 00:00:00,RIF/BTC,0.000003059,0.00000312,0.000003049,0.000003107,160670.5203,0.494567834975
