https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XEM,Volume BTC
1659225600,2022-07-31 00:00:00,XEM/BTC,2.1e-06,2.21e-06,2.1e-06,2.14e-06,0.08979879,41728.13898801
1659139200,2022-07-30 00:00:00,XEM/BTC,2.11e-06,2.16e-06,2.07e-06,2.1e-06,0.76975713,363902.61572638
1659052800,2022-07-29 00:00:00,XEM/BTC,2.07e-06,2.14e-06,2.06e-06,2.1e-06,0.18694494,89010.38214387
1658966400,2022-07-28 00:00:00,XEM/BTC,2.1e-06,2.15e-06,2.07e-06,2.07e-06,0.16560393,78544.81475257
1658880000,2022-07-27 00:00:00,XEM/BTC,2.11e-06,2.22e-06,2.09e-06,2.11e-06,0.35172166,164526.96176041
1658793600,2022-07-26 00:00:00,XEM/BTC,2.11e-06,2.14e-06,2.06e-06,2.11e-06,0.26746907,128113.55009066
1658707200,2022-07-25 00:00:00,XEM/BTC,2.16e-06,2.2e-06,2.11e-06,2.12e-06,0.10316507,48024.71153072
1658620800,2022-07-24 00:00:00,XEM/BTC,2.23e-06,2.23e-06,2.15e-06,2.16e-06,0.09862862,45094.64789318
1658534400,2022-07-23 00:00:00,XEM/BTC,2.1e-06,2.33e-06,2.1e-06,2.26e-06,0.49760675,220960.2603017
1658448000,2022-07-22 00:00:00,XEM/BTC,2.13e-06,2.13e-06,2.07e-06,2.09e-06,0.0572288,27202.25845499
1658361600,2022-07-21 00:00:00,XEM/BTC,2.08e-06,2.17e-06,2.04e-06,2.12e-06,0.24061241,114744.01851477
1658275200,2022-07-20 00:00:00,XEM/BTC,2.24e-06,2.32e-06,2.08e-06,2.08e-06,0.48272898,223405.14280364
1658188800,2022-07-19 00:00:00,XEM/BTC,2.01e-06,2.72e-06,1.98e-06,2.24e-06,2.19635942,935688.32097569
1658102400,2022-07-18 00:00:00,XEM/BTC,1.96e-06,2.03e-06,1.91e-06,1.99e-06,0.27672333,140561.68418471
1658016000,2022-07-17 00:00:00,XEM/BTC,1.95e-06,1.96e-06,1.92e-06,1.95e-06,0.0316687,16349.61817063
1657929600,2022-07-16 00:00:00,XEM/BTC,1.96e-06,2.01e-06,1.96e-06,1.97e-06,0.16589175,84330.79452075
1657843200,2022-07-15 00:00:00,XEM/BTC,1.92e-06,2.06e-06,1.92e-06,1.95e-06,0.1958478,98153.86209844
1657756800,2022-07-14 00:00:00,XEM/BTC,1.91e-06,1.93e-06,1.9e-06,1.91e-06,0.05651468,29637.96809136
1657670400,2022-07-13 00:00:00,XEM/BTC,1.95e-06,1.96e-06,1.9e-06,1.92e-06,0.02538258,13189.56434447
1657584000,2022-07-12 00:00:00,XEM/BTC,1.91e-06,1.97e-06,1.91e-06,1.97e-06,0.39357531,203336.94020888
1657497600,2022-07-11 00:00:00,XEM/BTC,1.95e-06,1.98e-06,1.9e-06,1.92e-06,0.16605376,85336.02420538
1657411200,2022-07-10 00:00:00,XEM/BTC,1.95e-06,1.97e-06,1.93e-06,1.95e-06,0.04566361,23483.41287626
1657324800,2022-07-09 00:00:00,XEM/BTC,1.93e-06,1.99e-06,1.93e-06,1.95e-06,0.11233609,57518.95071568
1657238400,2022-07-08 00:00:00,XEM/BTC,1.93e-06,1.99e-06,1.91e-06,1.93e-06,0.1324602,68570.42080143
1657152000,2022-07-07 00:00:00,XEM/BTC,1.98e-06,1.99e-06,1.92e-06,1.93e-06,0.0774259,39800.0933661
1657065600,2022-07-06 00:00:00,XEM/BTC,2e-06,2.02e-06,1.98e-06,1.99e-06,0.15971062,79730.82284571
1656979200,2022-07-05 00:00:00,XEM/BTC,2.08e-06,2.08e-06,1.97e-06,1.99e-06,0.25047381,123878.82022352
1656892800,2022-07-04 00:00:00,XEM/BTC,2.23e-06,2.23e-06,2.07e-06,2.07e-06,0.30825877,144660.41020643
1656806400,2022-07-03 00:00:00,XEM/BTC,2.49e-06,2.49e-06,2.24e-06,2.24e-06,0.64874897,278166.49735165
1656720000,2022-07-02 00:00:00,XEM/BTC,1.99e-06,3.25e-06,1.98e-06,2.49e-06,2.31213684,899854.0678808
1656633600,2022-07-01 00:00:00,XEM/BTC,1.94e-06,1.99e-06,1.89e-06,1.98e-06,0.13385187,69083.15973162
1656547200,2022-06-30 00:00:00,XEM/BTC,1.94e-06,1.97e-06,1.9e-06,1.95e-06,0.1740367,89998.85010654
1656460800,2022-06-29 00:00:00,XEM/BTC,1.99e-06,2e-06,1.95e-06,1.95e-06,0.13733905,69836.80517516
1656374400,2022-06-28 00:00:00,XEM/BTC,2.03e-06,2.05e-06,1.99e-06,1.99e-06,0.08723672,43081.32773792
1656288000,2022-06-27 00:00:00,XEM/BTC,1.96e-06,2.04e-06,1.96e-06,2.04e-06,0.17149035,86028.69495685
1656201600,2022-06-26 00:00:00,XEM/BTC,2.01e-06,2.07e-06,1.96e-06,1.96e-06,0.08795258,43545.75466974
1656115200,2022-06-25 00:00:00,XEM/BTC,2.03e-06,2.15e-06,1.97e-06,2.01e-06,0.18345093,88980.9317231
1656028800,2022-06-24 00:00:00,XEM/BTC,2e-06,2.06e-06,1.97e-06,2.03e-06,0.1678878,83907.89296869
1655942400,2022-06-23 00:00:00,XEM/BTC,2.03e-06,2.05e-06,1.97e-06,2e-06,0.0961277,48109.49826149
1655856000,2022-06-22 00:00:00,XEM/BTC,2.01e-06,2.03e-06,1.97e-06,2.03e-06,0.18591073,92755.08542939
1655769600,2022-06-21 00:00:00,XEM/BTC,1.99e-06,2.06e-06,1.98e-06,2e-06,0.05930671,29290.22227062
1655683200,2022-06-20 00:00:00,XEM/BTC,1.95e-06,2.11e-06,1.93e-06,2.01e-06,0.33479682,165272.81911963
1655596800,2022-06-19 00:00:00,XEM/BTC,1.98e-06,2.03e-06,1.86e-06,1.95e-06,0.37804684,193462.82270107
1655510400,2022-06-18 00:00:00,XEM/BTC,1.95e-06,2.05e-06,1.92e-06,1.98e-06,0.2800341,142346.72385286
1655424000,2022-06-17 00:00:00,XEM/BTC,1.89e-06,1.96e-06,1.88e-06,1.96e-06,0.25171187,131755.42434977
1655337600,2022-06-16 00:00:00,XEM/BTC,1.85e-06,1.88e-06,1.84e-06,1.88e-06,0.2567582,138292.0779413
1655251200,2022-06-15 00:00:00,XEM/BTC,1.8e-06,1.89e-06,1.77e-06,1.85e-06,0.31634492,175519.97679381
1655164800,2022-06-14 00:00:00,XEM/BTC,1.73e-06,1.81e-06,1.7e-06,1.8e-06,0.52107725,296641.10119249
1655078400,2022-06-13 00:00:00,XEM/BTC,1.58e-06,1.74e-06,1.56e-06,1.72e-06,0.45371858,275214.0053919
1654992000,2022-06-12 00:00:00,XEM/BTC,1.57e-06,1.61e-06,1.51e-06,1.58e-06,0.20368044,130955.43859179
1654905600,2022-06-11 00:00:00,XEM/BTC,1.6e-06,1.64e-06,1.55e-06,1.58e-06,0.10162067,63772.84297243
1654819200,2022-06-10 00:00:00,XEM/BTC,1.66e-06,1.68e-06,1.6e-06,1.6e-06,0.1445215,88869.73759845
1654732800,2022-06-09 00:00:00,XEM/BTC,1.66e-06,1.71e-06,1.65e-06,1.66e-06,0.14473382,86826.64665224
1654646400,2022-06-08 00:00:00,XEM/BTC,1.69e-06,1.7e-06,1.66e-06,1.66e-06,0.14740463,88258.98172898
1654560000,2022-06-07 00:00:00,XEM/BTC,1.69e-06,1.75e-06,1.66e-06,1.68e-06,0.3068427,180849.20310455
1654473600,2022-06-06 00:00:00,XEM/BTC,1.72e-06,1.73e-06,1.68e-06,1.7e-06,0.05986919,35191.8449353
1654387200,2022-06-05 00:00:00,XEM/BTC,1.7e-06,1.73e-06,1.67e-06,1.71e-06,0.0436741,25571.63885981
1654300800,2022-06-04 00:00:00,XEM/BTC,1.68e-06,1.77e-06,1.65e-06,1.69e-06,0.1277146,74437.50672475
1654214400,2022-06-03 00:00:00,XEM/BTC,1.69e-06,1.73e-06,1.64e-06,1.67e-06,0.07201861,43098.34867693
1654128000,2022-06-02 00:00:00,XEM/BTC,1.69e-06,1.75e-06,1.67e-06,1.69e-06,0.08930059,52962.78807061
1654041600,2022-06-01 00:00:00,XEM/BTC,1.69e-06,1.77e-06,1.67e-06,1.69e-06,0.20737603,121189.41301553
1653955200,2022-05-31 00:00:00,XEM/BTC,1.68e-06,1.68e-06,1.63e-06,1.68e-06,0.04114385,24627.17160591
1653868800,2022-05-30 00:00:00,XEM/BTC,1.67e-06,1.69e-06,1.65e-06,1.67e-06,0.11167723,66732.08397663
1653782400,2022-05-29 00:00:00,XEM/BTC,1.65e-06,1.68e-06,1.63e-06,1.67e-06,0.10679141,64974.51399029
1653696000,2022-05-28 00:00:00,XEM/BTC,1.64e-06,1.7e-06,1.62e-06,1.65e-06,0.10693659,64084.70666161
1653609600,2022-05-27 00:00:00,XEM/BTC,1.67e-06,1.67e-06,1.6e-06,1.63e-06,0.43986297,270671.39681943
1653523200,2022-05-26 00:00:00,XEM/BTC,1.75e-06,1.76e-06,1.63e-06,1.66e-06,0.29954997,176505.50327242
1653436800,2022-05-25 00:00:00,XEM/BTC,1.79e-06,1.84e-06,1.72e-06,1.75e-06,0.62031436,348392.97258678
1653350400,2022-05-24 00:00:00,XEM/BTC,1.91e-06,1.91e-06,1.78e-06,1.79e-06,0.42203535,231153.28126579
1653264000,2022-05-23 00:00:00,XEM/BTC,1.97e-06,2.06e-06,1.89e-06,1.9e-06,0.58065414,300935.79971346
1653177600,2022-05-22 00:00:00,XEM/BTC,1.81e-06,2.3e-06,1.81e-06,1.97e-06,1.17013461,562172.0496932
1653091200,2022-05-21 00:00:00,XEM/BTC,1.83e-06,1.84e-06,1.8e-06,1.82e-06,0.0877346,48400.033602
1653004800,2022-05-20 00:00:00,XEM/BTC,1.84e-06,1.85e-06,1.78e-06,1.84e-06,0.37089337,205040.94368133
1652918400,2022-05-19 00:00:00,XEM/BTC,1.87e-06,1.87e-06,1.81e-06,1.84e-06,0.13590492,73554.25431722
1652832000,2022-05-18 00:00:00,XEM/BTC,2.03e-06,2.03e-06,1.87e-06,1.87e-06,0.13773822,71024.64866577
1652745600,2022-05-17 00:00:00,XEM/BTC,1.96e-06,2.05e-06,1.94e-06,2.03e-06,0.34635656,172504.82706378
1652659200,2022-05-16 00:00:00,XEM/BTC,2.13e-06,2.13e-06,1.82e-06,1.96e-06,1.34547622,676665.33338434
1652572800,2022-05-15 00:00:00,XEM/BTC,1.89e-06,2.22e-06,1.83e-06,2.14e-06,0.91442442,461713.60193207
1652486400,2022-05-14 00:00:00,XEM/BTC,1.96e-06,2.09e-06,1.79e-06,1.89e-06,2.60537119,1334358.34149159
1652400000,2022-05-13 00:00:00,XEM/BTC,1.43e-06,2.04e-06,1.43e-06,1.97e-06,1.960427,1101158.73810933
1652313600,2022-05-12 00:00:00,XEM/BTC,1.7e-06,1.71e-06,1.41e-06,1.43e-06,0.5501003,365240.25978828
1652227200,2022-05-11 00:00:00,XEM/BTC,1.96e-06,1.97e-06,1.64e-06,1.7e-06,0.80855231,461434.37439877
1652140800,2022-05-10 00:00:00,XEM/BTC,1.93e-06,2.02e-06,1.89e-06,1.95e-06,0.78559537,400126.29602297
1652054400,2022-05-09 00:00:00,XEM/BTC,2.23e-06,2.24e-06,1.94e-06,1.94e-06,1.18960755,576430.09418062
1651968000,2022-05-08 00:00:00,XEM/BTC,2.27e-06,2.28e-06,2.22e-06,2.23e-06,0.9106175,401737.33313678
1651881600,2022-05-07 00:00:00,XEM/BTC,2.31e-06,2.32e-06,2.26e-06,2.26e-06,0.93673201,408687.2629464
1651795200,2022-05-06 00:00:00,XEM/BTC,2.28e-06,2.31e-06,2.24e-06,2.31e-06,0.4730161,205886.89682102
1651708800,2022-05-05 00:00:00,XEM/BTC,2.3e-06,2.32e-06,2.26e-06,2.28e-06,1.27898229,557989.96440925
1651622400,2022-05-04 00:00:00,XEM/BTC,2.34e-06,2.35e-06,2.29e-06,2.31e-06,0.50686667,219519.788897
1651536000,2022-05-03 00:00:00,XEM/BTC,2.39e-06,2.39e-06,2.31e-06,2.33e-06,0.16537472,70100.03030578
1651449600,2022-05-02 00:00:00,XEM/BTC,2.31e-06,2.48e-06,2.29e-06,2.39e-06,0.14115017,60008.76245681
1651363200,2022-05-01 00:00:00,XEM/BTC,2.35e-06,2.36e-06,2.29e-06,2.32e-06,0.16655209,71544.20199005
1651276800,2022-04-30 00:00:00,XEM/BTC,2.31e-06,2.36e-06,2.23e-06,2.34e-06,0.30672001,132023.65066892
1651190400,2022-04-29 00:00:00,XEM/BTC,2.38e-06,2.38e-06,2.21e-06,2.32e-06,0.68883015,297031.45749232
1651104000,2022-04-28 00:00:00,XEM/BTC,2.35e-06,2.38e-06,2.34e-06,2.38e-06,0.33282989,140682.76492386
1651017600,2022-04-27 00:00:00,XEM/BTC,2.32e-06,2.37e-06,2.3e-06,2.35e-06,0.14899465,63785.89477056
1650931200,2022-04-26 00:00:00,XEM/BTC,2.35e-06,2.37e-06,2.31e-06,2.31e-06,0.08394786,35695.67947476
1650844800,2022-04-25 00:00:00,XEM/BTC,2.38e-06,2.51e-06,2.33e-06,2.36e-06,0.4280099,178866.82218029
1650758400,2022-04-24 00:00:00,XEM/BTC,2.4e-06,2.41e-06,2.37e-06,2.39e-06,0.04292862,17923.93652352
1650672000,2022-04-23 00:00:00,XEM/BTC,2.43e-06,2.44e-06,2.33e-06,2.39e-06,0.2104714,88166.10226866
1650585600,2022-04-22 00:00:00,XEM/BTC,2.44e-06,2.5e-06,2.38e-06,2.43e-06,0.20108192,82514.68045328
1650499200,2022-04-21 00:00:00,XEM/BTC,2.44e-06,2.46e-06,2.39e-06,2.43e-06,0.15419704,63559.83580473
