https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WAN,Volume BTC
1663459200,2022-09-18 00:00:00,WAN/BTC,0.00000997,0.00000997,0.00000991,0.00000991,3664.9004,0.036430331414
1663372800,2022-09-17 00:00:00,WAN/BTC,0.00000974,0.000010775,0.000009703,0.00000996,211292.4476,2.1171051181979
1663286400,2022-09-16 00:00:00,WAN/BTC,0.00000963,0.000009841,0.00000959,0.00000974,193258.8219,1.8787647087487
1663200000,2022-09-15 00:00:00,WAN/BTC,0.00000978,0.000010889,0.000009405,0.00000962,356223.6258,3.4975305771155
1663113600,2022-09-14 00:00:00,WAN/BTC,0.00000936,0.00001006,0.00000929,0.00000978,160403.0656,1.54467429317
1663027200,2022-09-13 00:00:00,WAN/BTC,0.0000089,0.000009488,0.000008807,0.00000936,151269.6931,1.3784250211226
1662940800,2022-09-12 00:00:00,WAN/BTC,0.00000904,0.00000922,0.00000881,0.0000089,154544.4998,1.3839242524934
1662854400,2022-09-11 00:00:00,WAN/BTC,0.00000932,0.000009399,0.00000904,0.00000905,121963.8419,1.1320904360759
1662768000,2022-09-10 00:00:00,WAN/BTC,0.0000093,0.000009536,0.000009222,0.00000932,185194.4612,1.7418731731816
1662681600,2022-09-09 00:00:00,WAN/BTC,0.0000102,0.000010262,0.000009253,0.00000931,168003.0331,1.6191370652815
1662595200,2022-09-08 00:00:00,WAN/BTC,0.00000977,0.0000108,0.000009541,0.0000102,340148.9648,3.4194080250715
1662508800,2022-09-07 00:00:00,WAN/BTC,0.000009947,0.00000995,0.000009362,0.00000977,200542.6511,1.9577476467789
1662422400,2022-09-06 00:00:00,WAN/BTC,0.00000988,0.00001001,0.000009497,0.000009942,208673.3956,2.0506911859
1662336000,2022-09-05 00:00:00,WAN/BTC,0.00000998,0.00001072,0.000009751,0.00000988,208634.8766,2.0780767180438
1662249600,2022-09-04 00:00:00,WAN/BTC,0.00000992,0.000010122,0.000009875,0.00000998,135955.7603,1.3573440132601
