https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRPBEAR,Volume USDT
1663545600000.0,2022-09-19 00:00:00,XRPBEAR/USDT,9e-08,9e-08,9e-08,9e-08,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,XRPBEAR/USDT,9e-08,9e-08,9e-08,9e-08,0.0,0.0
1663372800000.0,2022-09-17 00:00:00,XRPBEAR/USDT,1.1e-07,1.1e-07,7e-08,9e-08,47977000000.00001,4317.93
1663286400000.0,2022-09-16 00:00:00,XRPBEAR/USDT,1.1e-07,1.1e-07,1.1e-07,1.1e-07,74000000.0,8.14
1663200000000.0,2022-09-15 00:00:00,XRPBEAR/USDT,1.1e-07,1.1e-07,1.1e-07,1.1e-07,0.0,0.0
1663113600000.0,2022-09-14 00:00:00,XRPBEAR/USDT,1e-07,1.1e-07,1e-07,1.1e-07,90000000.0,9.9
1663027200000.0,2022-09-13 00:00:00,XRPBEAR/USDT,1e-07,1e-07,7e-08,1e-07,0.0,0.0
1662940800000.0,2022-09-12 00:00:00,XRPBEAR/USDT,1e-07,1e-07,1e-07,1e-07,0.0,0.0
1662854400000.0,2022-09-11 00:00:00,XRPBEAR/USDT,1e-07,1e-07,1e-07,1e-07,97000000.0,9.7
1662768000000.0,2022-09-10 00:00:00,XRPBEAR/USDT,1e-07,1e-07,1e-07,1e-07,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,XRPBEAR/USDT,1.1e-07,1.1e-07,1e-07,1e-07,25310100000.000004,2531.01
1662595200000.0,2022-09-08 00:00:00,XRPBEAR/USDT,1.1e-07,1.2e-07,1.1e-07,1.1e-07,27272727.27272727,3.0
1662508800000.0,2022-09-07 00:00:00,XRPBEAR/USDT,1.2e-07,1.3e-07,1.1e-07,1.1e-07,0.0,0.0
1662422400000.0,2022-09-06 00:00:00,XRPBEAR/USDT,1.2e-07,1.2e-07,1e-07,1.2e-07,589250000.0,70.71
1662336000000.0,2022-09-05 00:00:00,XRPBEAR/USDT,1.1e-07,1.3e-07,1.1e-07,1.2e-07,47583333.333333336,5.71
