https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HAPI,Volume USDT
1663459200,2022-09-18 00:00:00,HAPI/USDT,8.2045,8.2613,8.1586,8.2515,630.1656,5171.1037423
1663455600,2022-09-17 23:00:00,HAPI/USDT,8.2086,8.2514,8.1443,8.215,1531.2002,12561.61106218
1663452000,2022-09-17 22:00:00,HAPI/USDT,8.1577,8.2304,8.1495,8.2226,1130.6901,9253.79913114
1663448400,2022-09-17 21:00:00,HAPI/USDT,8.1566,8.1988,8.1443,8.1767,1378.637,11263.3924862
1663444800,2022-09-17 20:00:00,HAPI/USDT,8.1534,8.2213,8.1454,8.1759,1310.2681,10709.85932856
1663441200,2022-09-17 19:00:00,HAPI/USDT,8.1763,8.2078,8.1443,8.1747,1134.3128,9267.22850909
1663437600,2022-09-17 18:00:00,HAPI/USDT,8.1485,8.2249,8.1472,8.1964,1443.3903,11810.70189705
1663434000,2022-09-17 17:00:00,HAPI/USDT,8.1441,8.1974,8.1431,8.1698,1532.5004,12510.53097481
1663430400,2022-09-17 16:00:00,HAPI/USDT,8.2103,8.2453,8.1431,8.1663,1300.8755,10654.92605027
1663426800,2022-09-17 15:00:00,HAPI/USDT,8.2064,8.2538,8.1828,8.2135,1187.5741,9760.27203623
1663423200,2022-09-17 14:00:00,HAPI/USDT,8.1738,8.2613,8.1592,8.2288,1515.1017,12442.49259684
1663419600,2022-09-17 13:00:00,HAPI/USDT,8.1294,8.2091,8.1245,8.1951,1547.8406,12633.18968476
1663416000,2022-09-17 12:00:00,HAPI/USDT,8.1446,8.1693,8.1231,8.1458,1454.0719,11840.25065485
1663412400,2022-09-17 11:00:00,HAPI/USDT,8.1771,8.2043,8.1231,8.1684,1024.6599,8361.32591586
1663408800,2022-09-17 10:00:00,HAPI/USDT,8.3194,8.3326,8.1296,8.2167,1263.5875,10429.36676969
1663405200,2022-09-17 09:00:00,HAPI/USDT,8.2584,8.3326,8.1381,8.3194,1335.1946,10998.11811528
1663401600,2022-09-17 08:00:00,HAPI/USDT,8.2473,8.299,8.2,8.2784,1225.6972,10137.26203565
1663398000,2022-09-17 07:00:00,HAPI/USDT,8.2632,8.2919,8.1986,8.264,590.7206,4874.64031026
1663394400,2022-09-17 06:00:00,HAPI/USDT,8.248,8.2979,8.178,8.2801,1004.3873,8286.05600661
1663390800,2022-09-17 05:00:00,HAPI/USDT,8.1678,8.2609,8.1242,8.248,1048.4714,8588.04423352
1663387200,2022-09-17 04:00:00,HAPI/USDT,8.1346,8.1891,8.1218,8.1891,843.8232,6870.93150535
1663383600,2022-09-17 03:00:00,HAPI/USDT,8.1219,8.1803,8.1218,8.1507,812.8554,6622.32104712
1663380000,2022-09-17 02:00:00,HAPI/USDT,8.1124,8.1519,8.1101,8.144,898.4505,7303.6278732
1663376400,2022-09-17 01:00:00,HAPI/USDT,8.1723,8.2001,8.0594,8.1313,214.5281,1739.78978575
1663372800,2022-09-17 00:00:00,HAPI/USDT,8.1752,8.2298,8.1498,8.2001,531.9506,4356.09199613
1663369200,2022-09-16 23:00:00,HAPI/USDT,8.1547,8.2143,8.1199,8.1965,654.3098,5354.00193173
1663365600,2022-09-16 22:00:00,HAPI/USDT,7.9814,8.2,7.9798,8.2,1999.4769,16173.17277468
1663362000,2022-09-16 21:00:00,HAPI/USDT,8.0971,8.1222,7.7807,7.9893,1469.7837,11603.08580877
1663358400,2022-09-16 20:00:00,HAPI/USDT,7.9897,8.118,7.9678,8.1107,1194.0649,9619.0095958
1663354800,2022-09-16 19:00:00,HAPI/USDT,7.9723,8.0294,7.847,7.9907,1339.0699,10606.20113428
1663351200,2022-09-16 18:00:00,HAPI/USDT,7.9283,8.0005,7.903,7.9819,1300.1382,10346.36310793
1663347600,2022-09-16 17:00:00,HAPI/USDT,7.9673,7.9713,7.9045,7.949,1455.9782,11573.2395592
1663344000,2022-09-16 16:00:00,HAPI/USDT,7.8832,8.0005,7.8832,7.9694,1492.2137,11877.14979441
1663340400,2022-09-16 15:00:00,HAPI/USDT,7.9191,7.9468,7.8471,7.926,1193.159,9417.92188241
1663336800,2022-09-16 14:00:00,HAPI/USDT,7.9116,7.9674,7.8726,7.907,1362.3871,10798.70712323
1663333200,2022-09-16 13:00:00,HAPI/USDT,7.9434,7.9811,7.8079,7.9116,1846.7218,14603.8490244
1663329600,2022-09-16 12:00:00,HAPI/USDT,7.9597,7.9882,7.91,7.9612,1548.9743,12314.7194972
1663326000,2022-09-16 11:00:00,HAPI/USDT,7.9394,7.9865,7.912,7.956,1074.6166,8545.87762157
1663322400,2022-09-16 10:00:00,HAPI/USDT,7.9353,7.9934,7.9099,7.9676,1141.998,9085.35395172
1663318800,2022-09-16 09:00:00,HAPI/USDT,7.9119,7.9736,7.8494,7.961,1164.9793,9227.1922894
1663315200,2022-09-16 08:00:00,HAPI/USDT,7.9717,8.0401,7.8697,7.87,881.6625,7000.67719736
1663311600,2022-09-16 07:00:00,HAPI/USDT,7.9793,8.1254,7.9282,8.0031,1444.5538,11544.52123162
1663308000,2022-09-16 06:00:00,HAPI/USDT,7.9837,8.0134,7.9266,8.0134,934.5666,7449.26453284
1663304400,2022-09-16 05:00:00,HAPI/USDT,7.9636,8.0134,7.9,7.9398,797.2106,6357.87450078
1663300800,2022-09-16 04:00:00,HAPI/USDT,7.8994,7.9734,7.8612,7.9636,983.4625,7778.36607569
1663297200,2022-09-16 03:00:00,HAPI/USDT,7.9328,7.9598,7.8676,7.9399,952.7672,7549.01623083
1663293600,2022-09-16 02:00:00,HAPI/USDT,7.9344,7.9656,7.87,7.9551,938.2227,7450.94960215
1663290000,2022-09-16 01:00:00,HAPI/USDT,7.8746,7.9975,7.8686,7.9557,418.9603,3327.27345801
1663286400,2022-09-16 00:00:00,HAPI/USDT,7.8966,7.9188,7.8645,7.8887,400.0616,3161.81410167
1663282800,2022-09-15 23:00:00,HAPI/USDT,7.9263,7.9656,7.8638,7.9188,1349.6071,10694.57073872
1663279200,2022-09-15 22:00:00,HAPI/USDT,7.9711,8.0376,7.9101,7.9452,1548.7952,12372.72655421
1663275600,2022-09-15 21:00:00,HAPI/USDT,7.9797,8.0084,7.9137,7.9931,1328.5131,10583.75896903
1663272000,2022-09-15 20:00:00,HAPI/USDT,7.9374,8.0004,7.9112,7.9797,1204.8513,9599.01996688
1663268400,2022-09-15 19:00:00,HAPI/USDT,7.9561,7.9985,7.9062,7.9592,1208.9389,9615.61760141
1663264800,2022-09-15 18:00:00,HAPI/USDT,7.9598,8.0001,7.92,7.9834,1188.34,9473.24891705
1663261200,2022-09-15 17:00:00,HAPI/USDT,7.9157,7.9981,7.8899,7.9822,1509.7333,12002.76365654
1663257600,2022-09-15 16:00:00,HAPI/USDT,7.8957,7.9595,7.8478,7.9595,1444.7811,11438.29500262
1663254000,2022-09-15 15:00:00,HAPI/USDT,8.03,8.0667,7.7729,7.918,1391.3485,11068.63388583
1663250400,2022-09-15 14:00:00,HAPI/USDT,8.1685,8.1999,8.0184,8.0206,1119.9091,9144.81637088
1663246800,2022-09-15 13:00:00,HAPI/USDT,8.1768,8.1999,8.1289,8.1915,1509.6481,12338.2232306
1663243200,2022-09-15 12:00:00,HAPI/USDT,8.1219,8.1889,8.0775,8.1788,992.3058,8074.24310022
1663239600,2022-09-15 11:00:00,HAPI/USDT,8.1381,8.1925,8.08,8.1487,862.8639,7023.6735619
1663236000,2022-09-15 10:00:00,HAPI/USDT,8.0768,8.1998,8.0413,8.1362,892.8294,7270.04206871
1663232400,2022-09-15 09:00:00,HAPI/USDT,8.0487,8.1163,8.0287,8.1003,1047.2658,8463.73392365
1663228800,2022-09-15 08:00:00,HAPI/USDT,8.1051,8.1201,8.03,8.0649,1123.5772,9073.14430328
1663225200,2022-09-15 07:00:00,HAPI/USDT,8.0882,8.1248,8.074,8.1018,1108.2359,8972.34880664
1663221600,2022-09-15 06:00:00,HAPI/USDT,8.036,8.1172,8.0304,8.1156,1106.4853,8912.4942162
1663218000,2022-09-15 05:00:00,HAPI/USDT,8.0463,8.0705,8.0304,8.0608,570.1571,4589.28138553
1663214400,2022-09-15 04:00:00,HAPI/USDT,8.0889,8.1193,8.0304,8.0705,895.2597,7233.64412877
1663210800,2022-09-15 03:00:00,HAPI/USDT,8.1611,8.1674,8.0825,8.1127,852.7162,6930.63924088
1663207200,2022-09-15 02:00:00,HAPI/USDT,8.1575,8.1738,8.1182,8.1611,999.167,8146.61975505
1663203600,2022-09-15 01:00:00,HAPI/USDT,8.1593,8.1992,8.125,8.1744,919.9548,7516.85060219
1663200000,2022-09-15 00:00:00,HAPI/USDT,8.15,8.1993,8.1232,8.1836,847.1171,6921.12700935
1663196400,2022-09-14 23:00:00,HAPI/USDT,8.1448,8.1891,8.1259,8.1872,1040.2839,8489.25138547
1663192800,2022-09-14 22:00:00,HAPI/USDT,8.1592,8.1924,8.0801,8.1693,1606.3514,13118.8633073
1663189200,2022-09-14 21:00:00,HAPI/USDT,8.166,8.1965,8.1511,8.1838,1405.1589,11486.35982478
1663185600,2022-09-14 20:00:00,HAPI/USDT,8.0827,8.2308,8.0584,8.1911,1481.5295,12086.00123923
1663182000,2022-09-14 19:00:00,HAPI/USDT,8.065,8.0956,8.0473,8.0584,1467.7507,11852.11797178
1663178400,2022-09-14 18:00:00,HAPI/USDT,8.0713,8.1007,8.0524,8.0893,1374.2087,11102.81618168
1663174800,2022-09-14 17:00:00,HAPI/USDT,8.0806,8.1331,8.0534,8.0956,1383.8428,11186.33226562
1663171200,2022-09-14 16:00:00,HAPI/USDT,8.0893,8.1163,8.0662,8.0955,1329.6651,10750.54620361
1663167600,2022-09-14 15:00:00,HAPI/USDT,8.2602,8.2899,8.0798,8.0837,1596.234,13124.59420606
1663164000,2022-09-14 14:00:00,HAPI/USDT,8.0793,8.2899,8.0736,8.2843,934.7911,7686.88191326
1663160400,2022-09-14 13:00:00,HAPI/USDT,8.0918,8.1259,8.0483,8.1036,1633.2424,13219.99432377
1663156800,2022-09-14 12:00:00,HAPI/USDT,8.0327,8.1233,7.99,8.1096,942.609,7600.62835127
1663153200,2022-09-14 11:00:00,HAPI/USDT,8.047,8.0749,8.0055,8.0569,1060.4597,8531.73913587
