https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume USD
1663545600000.0,2022-09-19 00:00:00,EUR/USD,1.0026,1.003,1.0018,1.0019,5828.309312306617,5839.3831
1663542000000.0,2022-09-18 23:00:00,EUR/USD,1.0024,1.0026,1.0017,1.0026,15449.96100139637,15490.1309
1663538400000.0,2022-09-18 22:00:00,EUR/USD,1.0013,1.0024,1.0009,1.0024,191452.3958499601,191911.8816
1663534800000.0,2022-09-18 21:00:00,EUR/USD,1.0011,1.0019,1.0011,1.0013,89237.43942874263,89353.4481
1663531200000.0,2022-09-18 20:00:00,EUR/USD,1.0011,1.0017,1.0011,1.0011,33003.901308560584,33040.2056
1663527600000.0,2022-09-18 19:00:00,EUR/USD,1.0018,1.0018,1.0007,1.0011,49822.951653181495,49877.7569
1663524000000.0,2022-09-18 18:00:00,EUR/USD,1.0018,1.0019,1.0018,1.0018,48383.204032741065,48470.2938
1663520400000.0,2022-09-18 17:00:00,EUR/USD,1.0018,1.0019,1.0018,1.0018,63875.21601117988,63990.1914
1663516800000.0,2022-09-18 16:00:00,EUR/USD,1.0018,1.0019,1.0018,1.0018,53610.225194649625,53706.7236
1663513200000.0,2022-09-18 15:00:00,EUR/USD,1.0018,1.0019,1.0018,1.0018,49508.01706927531,49597.1315
1663509600000.0,2022-09-18 14:00:00,EUR/USD,1.0018,1.002,1.0018,1.0018,64910.134557795966,65026.9728
1663506000000.0,2022-09-18 13:00:00,EUR/USD,1.0018,1.002,1.0018,1.0018,66313.04551806748,66432.409
1663502400000.0,2022-09-18 12:00:00,EUR/USD,1.0018,1.002,1.0018,1.0018,71835.08125374325,71964.3844
1663498800000.0,2022-09-18 11:00:00,EUR/USD,1.0018,1.002,1.0018,1.0018,100578.98003593532,100760.0222
1663495200000.0,2022-09-18 10:00:00,EUR/USD,1.0018,1.002,1.0018,1.0018,59868.78848073468,59976.5523
1663491600000.0,2022-09-18 09:00:00,EUR/USD,1.0018,1.002,1.0018,1.0018,42931.089139548814,43008.3651
1663488000000.0,2022-09-18 08:00:00,EUR/USD,1.0019,1.0019,1.0018,1.0018,26893.924735476143,26942.3338
1663484400000.0,2022-09-18 07:00:00,EUR/USD,1.0019,1.0021,1.0018,1.0019,20837.0377283162,20876.6281
1663480800000.0,2022-09-18 06:00:00,EUR/USD,1.002,1.0022,1.0019,1.0019,6862.791995209102,6875.8313
1663477200000.0,2022-09-18 05:00:00,EUR/USD,1.002,1.0022,1.0019,1.002,20931.620259481035,20973.4835
1663473600000.0,2022-09-18 04:00:00,EUR/USD,1.0019,1.002,1.0019,1.002,396.99900199600796,397.793
1663470000000.0,2022-09-18 03:00:00,EUR/USD,1.0018,1.002,1.0018,1.0019,5474.000998103603,5484.4016
1663466400000.0,2022-09-18 02:00:00,EUR/USD,1.0018,1.0018,1.0018,1.0018,29.999999999999996,30.054
1663462800000.0,2022-09-18 01:00:00,EUR/USD,1.0018,1.0018,1.0018,1.0018,470.0,470.846
1663459200000.0,2022-09-18 00:00:00,EUR/USD,1.0019,1.0019,1.0018,1.0018,8022.7476542224,8037.1886
1663455600000.0,2022-09-17 23:00:00,EUR/USD,1.002,1.0022,1.0019,1.0019,7960.985627308114,7976.1115
1663452000000.0,2022-09-17 22:00:00,EUR/USD,1.0017,1.0022,1.0017,1.002,13949.30998003992,13977.2086
1663448400000.0,2022-09-17 21:00:00,EUR/USD,1.0019,1.002,1.0017,1.0017,29098.203154637114,29147.6701
1663444800000.0,2022-09-17 20:00:00,EUR/USD,1.0021,1.0022,1.0019,1.0019,28814.032937418906,28868.7796
1663441200000.0,2022-09-17 19:00:00,EUR/USD,1.0021,1.0022,1.0021,1.0021,48754.15866679972,48856.5424
1663437600000.0,2022-09-17 18:00:00,EUR/USD,1.0021,1.0023,1.0021,1.0021,54639.21085719988,54753.9532
1663434000000.0,2022-09-17 17:00:00,EUR/USD,1.0021,1.0023,1.0021,1.0021,77486.21854106376,77648.9396
1663430400000.0,2022-09-17 16:00:00,EUR/USD,1.0022,1.0025,1.0021,1.0021,81708.14519509031,81879.7323
1663426800000.0,2022-09-17 15:00:00,EUR/USD,1.0021,1.0025,1.0021,1.0022,84712.41837956496,84898.7857
1663423200000.0,2022-09-17 14:00:00,EUR/USD,1.0021,1.0023,1.0021,1.0021,79238.42650434088,79404.8272
1663419600000.0,2022-09-17 13:00:00,EUR/USD,1.0021,1.0022,1.0021,1.0021,116481.12014768986,116725.7305
1663416000000.0,2022-09-17 12:00:00,EUR/USD,1.0022,1.0025,1.0019,1.0021,135730.37311645545,136015.4069
1663412400000.0,2022-09-17 11:00:00,EUR/USD,1.0022,1.0024,1.0022,1.0022,61523.1017760926,61658.4526
1663408800000.0,2022-09-17 10:00:00,EUR/USD,1.0022,1.0025,1.0022,1.0022,75921.73867491519,76088.7665
1663405200000.0,2022-09-17 09:00:00,EUR/USD,1.0022,1.0023,1.0022,1.0022,50857.03572141289,50968.9212
1663401600000.0,2022-09-17 08:00:00,EUR/USD,1.0023,1.0023,1.0022,1.0022,42274.0128716823,42367.0157
1663398000000.0,2022-09-17 07:00:00,EUR/USD,1.0022,1.0023,1.0022,1.0023,35498.921181283054,35580.5687
1663394400000.0,2022-09-17 06:00:00,EUR/USD,1.0022,1.0022,1.0022,1.0022,36609.0,36689.5398
