https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TUSD,Volume USDT,tradecount
1663545600000,2022-09-19 00:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00000000,21782.00000000,21783.94380000,20
1663542000000,2022-09-18 23:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00000000,55397.00000000,55397.45900000,200
1663538400000,2022-09-18 22:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00000000,571100.00000000,571115.45470000,1364
1663534800000,2022-09-18 21:00:00,TUSD/USDT,1.00010000,1.00010000,1.00000000,1.00000000,1201445.00000000,1201524.88000000,2996
1663531200000,2022-09-18 20:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00010000,76854.00000000,76860.91480000,220
1663527600000,2022-09-18 19:00:00,TUSD/USDT,1.00010000,1.00010000,1.00000000,1.00000000,43343.00000000,43346.83540000,138
1663524000000,2022-09-18 18:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00010000,66639.00000000,66643.42320000,160
1663520400000,2022-09-18 17:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00000000,189696.00000000,189701.12860000,596
1663516800000,2022-09-18 16:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00010000,381811.00000000,381824.69550000,897
1663513200000,2022-09-18 15:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00000000,175808.00000000,175811.28470000,529
1663509600000,2022-09-18 14:00:00,TUSD/USDT,1.00000000,1.00010000,1.00000000,1.00000000,217701.00000000,217710.11910000,603
1663506000000,2022-09-18 13:00:00,TUSD/USDT,1.00000000,1.00010000,0.99990000,1.00000000,495279.00000000,495279.61470000,1167
1663502400000,2022-09-18 12:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,146434.00000000,146433.96280000,350
1663498800000,2022-09-18 11:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,166524.00000000,166523.94940000,407
1663495200000,2022-09-18 10:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,161135.00000000,161134.87660000,429
1663491600000,2022-09-18 09:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,322538.00000000,322535.28110000,826
1663488000000,2022-09-18 08:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,66091.00000000,66090.97100000,165
1663484400000,2022-09-18 07:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,0.99990000,68161.00000000,68160.62490000,194
1663480800000,2022-09-18 06:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,194041.00000000,194040.94850000,481
1663477200000,2022-09-18 05:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,20879.00000000,20878.82680000,76
1663473600000,2022-09-18 04:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,0.99990000,105466.00000000,105465.45400000,304
1663470000000,2022-09-18 03:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,112564.00000000,112563.17390000,329
1663466400000,2022-09-18 02:00:00,TUSD/USDT,1.00000000,1.00010000,0.99990000,1.00000000,659914.00000000,659912.14010000,998
1663462800000,2022-09-18 01:00:00,TUSD/USDT,1.00000000,1.00010000,0.99990000,1.00000000,368642.00000000,368641.59440000,977
1663459200000,2022-09-18 00:00:00,TUSD/USDT,0.99990000,1.00000000,0.99990000,1.00000000,345133.00000000,345132.76810000,481
1663455600000,2022-09-17 23:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,87395.00000000,87394.68570000,281
1663452000000,2022-09-17 22:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,204657.00000000,204656.83580000,493
1663448400000,2022-09-17 21:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,37004.00000000,37003.66160000,98
1663444800000,2022-09-17 20:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,1.00000000,105891.00000000,105890.66980000,290
1663441200000,2022-09-17 19:00:00,TUSD/USDT,1.00000000,1.00000000,0.99990000,0.99990000,15930.00000000,15929.72380000,50
