https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BNX,Volume USDT
1663459200,2022-09-18 00:00:00,BNX/USDT,135.749,136.661,135.749,135.878,0.0749,10.1983106
1663372800,2022-09-17 00:00:00,BNX/USDT,146.3,146.3,131.001,135.749,99.0236,13561.2602561
1663286400,2022-09-16 00:00:00,BNX/USDT,161.424,164.979,143.273,146.394,475.2411,73267.1889973
1663200000,2022-09-15 00:00:00,BNX/USDT,158.874,163.07,123.5,161.424,772.6575,120836.8107869
1663113600,2022-09-14 00:00:00,BNX/USDT,159.888,161.93,155.023,159.737,327.9273,52103.3703779
1663027200,2022-09-13 00:00:00,BNX/USDT,155.871,166.999,153.521,159.889,283.4206,44931.0900845
1662940800,2022-09-12 00:00:00,BNX/USDT,155.915,157.424,147.5,156.623,172.6892,26739.7741646
1662854400,2022-09-11 00:00:00,BNX/USDT,150.65,157.333,148.734,156.135,153.2263,23313.3765633
1662768000,2022-09-10 00:00:00,BNX/USDT,148.518,157.314,146.488,151.042,59.3412,8958.6643757
1662681600,2022-09-09 00:00:00,BNX/USDT,142.75,165.114,141,149.111,225.5631,33988.0090313
1662595200,2022-09-08 00:00:00,BNX/USDT,137.034,146.934,136.609,142.302,284.63320219,40651.78243443295
1662508800,2022-09-07 00:00:00,BNX/USDT,137.792,138.6,122.214,136.828,244.6033,32684.8795992
1662422400,2022-09-06 00:00:00,BNX/USDT,131.057,140.49,127.132,137.75,254.9162,34919.5107992
1662336000,2022-09-05 00:00:00,BNX/USDT,134.05,134.191,129.983,131.037,9.6477,1270.6403694
1662249600,2022-09-04 00:00:00,BNX/USDT,136.4,136.4,132,134.4,21.2357,2844.486502
1662163200,2022-09-03 00:00:00,BNX/USDT,133.366,136.965,132.017,136.37,16.0205,2168.6454467
1662076800,2022-09-02 00:00:00,BNX/USDT,134.874,136.5,122.214,133.68,93.2885,12514.7727013
1661990400,2022-09-01 00:00:00,BNX/USDT,130.456,135.875,129.79,134.886,89.0799,11739.4719703
1661904000,2022-08-31 00:00:00,BNX/USDT,132.101,132.467,129.125,130.61,23.3809,3061.7253437
1661817600,2022-08-30 00:00:00,BNX/USDT,128.873,132,125.931,132,158.5427,20125.1348381
1661731200,2022-08-29 00:00:00,BNX/USDT,133.652,135.691,128.4,128.629,82.2163,10680.5446615
1661644800,2022-08-28 00:00:00,BNX/USDT,129.6,135.25,128.7,133.416,14.9066,1950.0543228
1661558400,2022-08-27 00:00:00,BNX/USDT,123.8,129.604,123.491,129.459,30.3315,3834.5284226
