https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GAL,Volume USDT
1663459200,2022-09-18 00:00:00,GAL/USDT,2.668,2.668,2.638,2.644,5077.80205212,13457.80431251795
1663372800,2022-09-17 00:00:00,GAL/USDT,2.643,2.681,2.578,2.658,103390.25643629,271787.17985218948
1663286400,2022-09-16 00:00:00,GAL/USDT,2.54,2.683,2.485,2.643,116029.26688077,298160.07641631141
1663200000,2022-09-15 00:00:00,GAL/USDT,2.679,2.69,2.502,2.538,176325.35301249,458298.376115835
1663113600,2022-09-14 00:00:00,GAL/USDT,2.746,2.827,2.575,2.682,205383.07843583,550962.19875090713
1663027200,2022-09-13 00:00:00,GAL/USDT,2.934,2.967,2.66,2.731,460672.28923997,1299653.39068461246
1662940800,2022-09-12 00:00:00,GAL/USDT,3.077,3.143,2.829,2.945,595508.11796871,1786061.2883355006
1662854400,2022-09-11 00:00:00,GAL/USDT,3.026,3.35,2.928,3.075,870194.35434885,2728143.86080984905
1662768000,2022-09-10 00:00:00,GAL/USDT,3.145,3.389,2.886,3.022,1151766.84555925,3551872.75764558049
1662681600,2022-09-09 00:00:00,GAL/USDT,2.493,3.364,2.493,3.138,1375548.848476,4039030.05964921658
1662595200,2022-09-08 00:00:00,GAL/USDT,2.495,2.594,2.425,2.492,624004.40789711,1562690.90077857006
1662508800,2022-09-07 00:00:00,GAL/USDT,2.626,2.626,2.327,2.49,630917.84808826,1546964.89716721676
1662422400,2022-09-06 00:00:00,GAL/USDT,2.455,2.877,2.422,2.63,830091.65605154,2215316.03926407165
1662336000,2022-09-05 00:00:00,GAL/USDT,2.527,2.549,2.415,2.451,74558.81260538,183092.29025151403
1662249600,2022-09-04 00:00:00,GAL/USDT,2.456,2.525,2.422,2.525,39758.18578453,98832.4838416049
1662163200,2022-09-03 00:00:00,GAL/USDT,2.498,2.509,2.45,2.461,30827.29566159,76243.42862728002
1662076800,2022-09-02 00:00:00,GAL/USDT,2.535,2.571,2.452,2.491,54481.5027241,136645.22730622265
1661990400,2022-09-01 00:00:00,GAL/USDT,2.492,2.534,2.414,2.532,79901.36876166,197896.80038171245
1661904000,2022-08-31 00:00:00,GAL/USDT,2.466,2.589,2.465,2.492,72251.4669929,183570.48878241442
1661817600,2022-08-30 00:00:00,GAL/USDT,2.57,2.604,2.399,2.456,49660.37606304,123891.38087353983
1661731200,2022-08-29 00:00:00,GAL/USDT,2.404,2.601,2.317,2.572,68538.26252557,167688.38933234931
1661644800,2022-08-28 00:00:00,GAL/USDT,2.471,2.507,2.388,2.388,51135.34059412,125718.01486511104
1661558400,2022-08-27 00:00:00,GAL/USDT,2.426,2.501,2.393,2.468,79575.29099711,195034.2220915929
1661472000,2022-08-26 00:00:00,GAL/USDT,2.73,2.745,2.393,2.424,129929.40795433,338325.04069120452
1661385600,2022-08-25 00:00:00,GAL/USDT,2.708,2.824,2.706,2.737,42612.50532434,117328.04273019765
1661299200,2022-08-24 00:00:00,GAL/USDT,2.756,2.82,2.668,2.702,63524.82295372,173856.86015708457
1661212800,2022-08-23 00:00:00,GAL/USDT,2.703,2.758,2.6,2.745,64675.76227887,175366.64747410322
1661126400,2022-08-22 00:00:00,GAL/USDT,2.768,2.788,2.573,2.697,110071.76483471,292819.56417068638
1661040000,2022-08-21 00:00:00,GAL/USDT,2.707,2.85,2.668,2.765,207078.85066763,573935.28469230741
1660953600,2022-08-20 00:00:00,GAL/USDT,2.673,3.029,2.607,2.697,651685.08304084,1822386.55480036714
1660867200,2022-08-19 00:00:00,GAL/USDT,2.788,2.835,2.493,2.667,306028.13670223,823000.3772695286
1660780800,2022-08-18 00:00:00,GAL/USDT,3.047,3.118,2.704,2.778,158565.79031939,460537.33237202549
1660694400,2022-08-17 00:00:00,GAL/USDT,3.297,3.419,2.976,3.048,138881.87571369,441264.14927945028
1660608000,2022-08-16 00:00:00,GAL/USDT,3.329,3.382,3.241,3.294,82380.01716692,272005.92080528883
1660521600,2022-08-15 00:00:00,GAL/USDT,3.335,3.476,3.224,3.319,151738.46422923,505081.62534321883
1660435200,2022-08-14 00:00:00,GAL/USDT,3.513,3.63,3.234,3.343,131747.82782235,454656.00925691665
1660348800,2022-08-13 00:00:00,GAL/USDT,3.621,3.686,3.492,3.513,116054.18696619,415992.02497633968
1660262400,2022-08-12 00:00:00,GAL/USDT,3.556,3.63,3.436,3.62,189713.3935534,669413.60638733953
1660176000,2022-08-11 00:00:00,GAL/USDT,3.7,3.843,3.485,3.542,199845.94699257,733168.16150563472
1660089600,2022-08-10 00:00:00,GAL/USDT,3.524,3.753,3.401,3.7,164574.87244163,592810.94453868687
1660003200,2022-08-09 00:00:00,GAL/USDT,3.85,4.073,3.372,3.531,375884.40922721,1408161.39077541205
1659916800,2022-08-08 00:00:00,GAL/USDT,3.721,3.948,3.715,3.858,187790.4021883,720707.09486596105
1659830400,2022-08-07 00:00:00,GAL/USDT,3.809,3.838,3.662,3.72,119466.13760484,449375.84127742927
1659744000,2022-08-06 00:00:00,GAL/USDT,3.911,3.985,3.796,3.818,125995.49602854,489973.94247457223
1659657600,2022-08-05 00:00:00,GAL/USDT,3.656,4.007,3.643,3.908,431894.50353265,1663393.58479499578
1659571200,2022-08-04 00:00:00,GAL/USDT,3.775,4.146,3.583,3.658,435371.47530501,1673592.0547217993
1659484800,2022-08-03 00:00:00,GAL/USDT,3.638,4.012,3.493,3.781,576869.99895142,2198640.15095933569
1659398400,2022-08-02 00:00:00,GAL/USDT,3.691,3.82,3.384,3.634,417852.58960291,1500751.44705891527
1659312000,2022-08-01 00:00:00,GAL/USDT,3.871,4.285,3.567,3.693,495826.6945063,1929874.85978258648
1659225600,2022-07-31 00:00:00,GAL/USDT,3.627,4.594,3.608,3.888,990771.37350209,4109343.66442711123
1659139200,2022-07-30 00:00:00,GAL/USDT,3.239,4.247,3.239,3.635,1379373.05530088,5066161.78921937717
1659052800,2022-07-29 00:00:00,GAL/USDT,3.227,3.596,3.13,3.235,639695.42870706,2122500.94311454157
1658966400,2022-07-28 00:00:00,GAL/USDT,3.095,3.364,2.918,3.219,349422.02158563,1089296.69975045483
1658880000,2022-07-27 00:00:00,GAL/USDT,2.816,3.135,2.709,3.094,241654.13079518,692653.51111935169
1658793600,2022-07-26 00:00:00,GAL/USDT,2.837,2.85,2.665,2.813,190712.6967288,523474.25481424687
1658707200,2022-07-25 00:00:00,GAL/USDT,3.248,3.292,2.823,2.837,302121.40555087,925038.18802014747
1658620800,2022-07-24 00:00:00,GAL/USDT,3.213,3.625,3.213,3.249,535037.92554815,1821897.58721913071
1658534400,2022-07-23 00:00:00,GAL/USDT,2.956,3.35,2.906,3.206,282082.95721906,894637.82292891156
1658448000,2022-07-22 00:00:00,GAL/USDT,3.115,3.2,2.915,2.939,115776.68996278,356144.20594046712
1658361600,2022-07-21 00:00:00,GAL/USDT,3.019,3.148,2.861,3.109,127942.75660327,382742.45548496909
1658275200,2022-07-20 00:00:00,GAL/USDT,3.33,3.446,2.93,3.014,602123.53765939,1931430.55651345214
1658188800,2022-07-19 00:00:00,GAL/USDT,3.075,3.399,2.952,3.341,876078.07777563,2740743.7836063147
1658102400,2022-07-18 00:00:00,GAL/USDT,2.717,3.239,2.7,3.08,1111981.45169775,3413326.0641394037
1658016000,2022-07-17 00:00:00,GAL/USDT,2.714,2.865,2.649,2.716,349367.04461759,962580.70953670144
1657929600,2022-07-16 00:00:00,GAL/USDT,2.635,2.751,2.515,2.708,388371.24743733,1015865.16848845741
1657843200,2022-07-15 00:00:00,GAL/USDT,2.655,2.732,2.565,2.619,285965.83376655,762765.04764671405
1657756800,2022-07-14 00:00:00,GAL/USDT,2.6,2.69,2.458,2.653,223816.26727325,571564.71208883694
1657670400,2022-07-13 00:00:00,GAL/USDT,2.474,2.716,2.276,2.594,560124.91057522,1360205.51554306298
1657584000,2022-07-12 00:00:00,GAL/USDT,2.605,2.622,2.468,2.475,177964.98624087,453230.73621374318
1657497600,2022-07-11 00:00:00,GAL/USDT,2.748,2.756,2.571,2.608,97536.13675493,260927.80885678037
1657411200,2022-07-10 00:00:00,GAL/USDT,2.912,2.92,2.712,2.764,177911.18725075,496400.85977329162
1657324800,2022-07-09 00:00:00,GAL/USDT,2.909,2.97,2.863,2.905,119486.16419891,348484.39516635543
