https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REQ,Volume USDT
1663459200,2022-09-18 00:00:00,REQ/USDT,0.1132,0.1132,0.1116,0.1121,22236.41103055,2504.727248931639
1663372800,2022-09-17 00:00:00,REQ/USDT,0.1103,0.1155,0.11,0.1132,484048.39834858,54289.057942986089
1663286400,2022-09-16 00:00:00,REQ/USDT,0.1132,0.1186,0.1099,0.1106,484443.23764195,55767.417803055555
1663200000,2022-09-15 00:00:00,REQ/USDT,0.1192,0.1203,0.1132,0.1135,400938.94630414,47374.625471387994
1663113600,2022-09-14 00:00:00,REQ/USDT,0.1176,0.1198,0.1149,0.1189,264748.86151832,31192.89946627069
1663027200,2022-09-13 00:00:00,REQ/USDT,0.1317,0.1347,0.1171,0.1176,978153.14929402,121561.416113957766
1662940800,2022-09-12 00:00:00,REQ/USDT,0.1238,0.1341,0.1236,0.1321,1147300.13397666,147197.698263719706
1662854400,2022-09-11 00:00:00,REQ/USDT,0.1222,0.1283,0.1218,0.1238,319124.55523812,39788.570899006456
1662768000,2022-09-10 00:00:00,REQ/USDT,0.1245,0.1256,0.1214,0.1222,315200.18117635,38659.970359359254
1662681600,2022-09-09 00:00:00,REQ/USDT,0.1188,0.1284,0.1179,0.1246,941307.98146593,115778.854456846967
1662595200,2022-09-08 00:00:00,REQ/USDT,0.1222,0.1231,0.1164,0.1188,1473403.8846804,177606.211996293869
1662508800,2022-09-07 00:00:00,REQ/USDT,0.1139,0.1394,0.1122,0.122,4055418.43799718,507830.577533078778
1662422400,2022-09-06 00:00:00,REQ/USDT,0.1191,0.1228,0.113,0.1137,848574.85165133,100725.643196322615
1662336000,2022-09-05 00:00:00,REQ/USDT,0.1134,0.135,0.1113,0.1191,6025673.94272462,753537.110447479198
1662249600,2022-09-04 00:00:00,REQ/USDT,0.1071,0.1213,0.1059,0.1134,1438660.79849744,163192.302271530721
1662163200,2022-09-03 00:00:00,REQ/USDT,0.1063,0.1082,0.1063,0.1069,89606.90690487,9606.81312217464
1662076800,2022-09-02 00:00:00,REQ/USDT,0.1085,0.1101,0.1055,0.1063,499187.57226166,53715.634458875723
1661990400,2022-09-01 00:00:00,REQ/USDT,0.1095,0.1101,0.1049,0.1084,616933.85390343,66054.290342539186
1661904000,2022-08-31 00:00:00,REQ/USDT,0.1078,0.1253,0.1077,0.1091,1469825.83222071,166120.996966048615
1661817600,2022-08-30 00:00:00,REQ/USDT,0.1093,0.1111,0.1046,0.1075,297466.53033408,31966.561708351204
1661731200,2022-08-29 00:00:00,REQ/USDT,0.1048,0.1093,0.1035,0.1091,262741.17480023,27709.709749411353
1661644800,2022-08-28 00:00:00,REQ/USDT,0.1087,0.1108,0.1044,0.1045,308100.76913397,33326.562314958227
1661558400,2022-08-27 00:00:00,REQ/USDT,0.1107,0.1115,0.1066,0.1085,277443.17925575,30192.788005923918
1661472000,2022-08-26 00:00:00,REQ/USDT,0.119,0.1196,0.1103,0.1108,366829.18863968,42305.925282884583
1661385600,2022-08-25 00:00:00,REQ/USDT,0.1184,0.1203,0.1176,0.119,172052.74316665,20486.363141264358
1661299200,2022-08-24 00:00:00,REQ/USDT,0.1188,0.1216,0.1154,0.1184,325470.46558547,38559.826537513409
1661212800,2022-08-23 00:00:00,REQ/USDT,0.119,0.1204,0.1159,0.1186,387660.87878331,45923.993285667976
1661126400,2022-08-22 00:00:00,REQ/USDT,0.1221,0.1221,0.1159,0.1192,306230.73079921,36286.557452176552
1661040000,2022-08-21 00:00:00,REQ/USDT,0.1214,0.125,0.1197,0.1222,682640.11906257,83536.726080832763
1660953600,2022-08-20 00:00:00,REQ/USDT,0.1154,0.1248,0.1146,0.1214,1649216.1188539,197219.313579059155
1660867200,2022-08-19 00:00:00,REQ/USDT,0.1258,0.1266,0.1142,0.1148,814528.64722055,96742.727452830564
1660780800,2022-08-18 00:00:00,REQ/USDT,0.1304,0.1309,0.1235,0.1259,688109.32443701,87719.729350159462
1660694400,2022-08-17 00:00:00,REQ/USDT,0.1337,0.1387,0.1305,0.1307,527256.40995551,70304.730010725994
1660608000,2022-08-16 00:00:00,REQ/USDT,0.1341,0.1396,0.132,0.1331,253474.93567239,34253.52982363371
1660521600,2022-08-15 00:00:00,REQ/USDT,0.1349,0.1399,0.1333,0.1344,732206.71449629,99937.016740435588
1660435200,2022-08-14 00:00:00,REQ/USDT,0.135,0.149,0.1344,0.1349,1845233.56526202,257191.265764161136
1660348800,2022-08-13 00:00:00,REQ/USDT,0.1368,0.1379,0.1345,0.1351,280630.21436605,38176.773155864266
1660262400,2022-08-12 00:00:00,REQ/USDT,0.1343,0.138,0.1333,0.1372,360529.73494155,49080.269786428943
1660176000,2022-08-11 00:00:00,REQ/USDT,0.1358,0.1395,0.1335,0.134,596758.89961407,81775.111847894919
1660089600,2022-08-10 00:00:00,REQ/USDT,0.1334,0.1369,0.13,0.1359,273810.02534206,36686.115853569144
1660003200,2022-08-09 00:00:00,REQ/USDT,0.1349,0.1371,0.131,0.1333,639841.47681786,85606.91791856294
1659916800,2022-08-08 00:00:00,REQ/USDT,0.1325,0.1406,0.1322,0.1348,592112.44301647,80850.483821982764
1659830400,2022-08-07 00:00:00,REQ/USDT,0.1342,0.1362,0.1316,0.1325,431447.84919158,57624.49010777345
1659744000,2022-08-06 00:00:00,REQ/USDT,0.1371,0.1385,0.1335,0.1344,449521.61568847,61285.765892656766
1659657600,2022-08-05 00:00:00,REQ/USDT,0.1364,0.1382,0.1345,0.1373,1109055.53075528,150770.167059269109
1659571200,2022-08-04 00:00:00,REQ/USDT,0.1302,0.1425,0.1296,0.1365,1490172.30104252,201800.64067577115
1659484800,2022-08-03 00:00:00,REQ/USDT,0.1318,0.1368,0.1268,0.13,366507.19207211,48486.149543941857
1659398400,2022-08-02 00:00:00,REQ/USDT,0.1322,0.1343,0.1264,0.132,823507.27753034,108069.274601130073
1659312000,2022-08-01 00:00:00,REQ/USDT,0.1349,0.1402,0.1296,0.1322,922345.42895836,124430.903832196952
1659225600,2022-07-31 00:00:00,REQ/USDT,0.1312,0.1566,0.1312,0.1351,2617889.52289883,368389.854858510505
1659139200,2022-07-30 00:00:00,REQ/USDT,0.1291,0.1453,0.1267,0.1313,2535672.14015243,344829.801008640411
1659052800,2022-07-29 00:00:00,REQ/USDT,0.1283,0.1351,0.1245,0.1288,2098713.13629836,272176.096232563082
1658966400,2022-07-28 00:00:00,REQ/USDT,0.1226,0.1331,0.1212,0.1283,1097360.49601874,137996.375771964152
1658880000,2022-07-27 00:00:00,REQ/USDT,0.116,0.1228,0.1137,0.1225,941399.97094756,110865.878537196466
1658793600,2022-07-26 00:00:00,REQ/USDT,0.1208,0.1274,0.1122,0.1161,4544319.2378709,549728.387851625798
1658707200,2022-07-25 00:00:00,REQ/USDT,0.1183,0.1323,0.114,0.1212,3086342.63057462,380591.57516887041
1658620800,2022-07-24 00:00:00,REQ/USDT,0.12,0.1214,0.117,0.1185,1067050.55556047,127336.382022321678
1658534400,2022-07-23 00:00:00,REQ/USDT,0.1195,0.1254,0.1158,0.12,1324943.18054597,160061.059300719727
1658448000,2022-07-22 00:00:00,REQ/USDT,0.1231,0.1259,0.1183,0.1196,793823.45209911,97117.473213924241
1658361600,2022-07-21 00:00:00,REQ/USDT,0.1201,0.126,0.1162,0.1231,1158367.22824753,140529.857100863311
1658275200,2022-07-20 00:00:00,REQ/USDT,0.1267,0.1382,0.119,0.1201,3190906.56213232,406820.105614896459
1658188800,2022-07-19 00:00:00,REQ/USDT,0.1179,0.1308,0.1138,0.1273,1923684.14027578,233441.595799095221
1658102400,2022-07-18 00:00:00,REQ/USDT,0.1134,0.1199,0.1132,0.1185,1138623.35952203,133792.291739592009
1658016000,2022-07-17 00:00:00,REQ/USDT,0.1148,0.1193,0.1124,0.1134,871432.9254013,100850.603305692652
1657929600,2022-07-16 00:00:00,REQ/USDT,0.1124,0.1196,0.11,0.1149,1423451.13880611,163075.214681888923
1657843200,2022-07-15 00:00:00,REQ/USDT,0.1137,0.1162,0.111,0.1126,923730.68420444,104934.885337356632
1657756800,2022-07-14 00:00:00,REQ/USDT,0.1131,0.1145,0.1079,0.1131,880682.00441093,98128.103615982623
1657670400,2022-07-13 00:00:00,REQ/USDT,0.1073,0.1159,0.1046,0.1129,1318718.2176944,145260.308139364502
1657584000,2022-07-12 00:00:00,REQ/USDT,0.1143,0.1198,0.107,0.107,3801325.82892238,432768.359120669057
1657497600,2022-07-11 00:00:00,REQ/USDT,0.1089,0.1245,0.1039,0.1147,7398370.31357167,846467.5720831808
1657411200,2022-07-10 00:00:00,REQ/USDT,0.1145,0.1145,0.1078,0.109,1242821.91717492,137761.359888621021
1657324800,2022-07-09 00:00:00,REQ/USDT,0.1137,0.1256,0.1134,0.1145,1922912.08544542,221673.888659857438
1657238400,2022-07-08 00:00:00,REQ/USDT,0.1178,0.1198,0.1137,0.1137,1478091.03388701,172214.477286940105
1657152000,2022-07-07 00:00:00,REQ/USDT,0.1164,0.1212,0.1146,0.1177,2569162.49606011,302112.281629157391
1657065600,2022-07-06 00:00:00,REQ/USDT,0.122,0.123,0.1135,0.1166,4122979.7255053,484499.200487312684
1656979200,2022-07-05 00:00:00,REQ/USDT,0.1208,0.1252,0.1144,0.122,4915500.95614839,591233.995267772262
1656892800,2022-07-04 00:00:00,REQ/USDT,0.1324,0.1334,0.1174,0.1205,16414205.66142992,2060307.272098491379
1656806400,2022-07-03 00:00:00,REQ/USDT,0.1032,0.1422,0.0979,0.1326,22186422.53211708,2760306.042162176835
1656720000,2022-07-02 00:00:00,REQ/USDT,0.1028,0.109,0.1005,0.1032,3584003.66673034,371560.17514035479
