https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SNX,Volume EUR
1663545600,2022-09-19 00:00:00,SNX/EUR,2.42907,2.42907,2.42907,2.42907,46.74873000,113.5559375811
1663459200,2022-09-18 00:00:00,SNX/EUR,2.70957,2.70957,2.35159,2.46345,2865.15867600,7058.1751403922
1663372800,2022-09-17 00:00:00,SNX/EUR,2.66597,2.73632,2.62677,2.73614,529.42584753,1448.5832384607343
1663286400,2022-09-16 00:00:00,SNX/EUR,2.56345,2.60399,2.54999,2.54999,1823.25438451,4649.280447956655
1663200000,2022-09-15 00:00:00,SNX/EUR,2.64999,2.76881,2.60000,2.62999,871.56226380,2292.200038171362
1663113600,2022-09-14 00:00:00,SNX/EUR,2.76969,2.76975,2.64810,2.69925,4202.56586811,11343.77591949592
1663027200,2022-09-13 00:00:00,SNX/EUR,2.85457,2.94111,2.74490,2.78299,5692.24868086,15841.47115634657
1662940800,2022-09-12 00:00:00,SNX/EUR,2.92035,2.98756,2.85986,2.91884,15340.02331920,44775.073665013726
1662854400,2022-09-11 00:00:00,SNX/EUR,3.00400,3.01417,2.87264,2.90472,5610.56022571,16297.106498824352
1662768000,2022-09-10 00:00:00,SNX/EUR,3.00907,3.12234,2.92000,3.02220,7822.21855445,23640.308915258793
1662681600,2022-09-09 00:00:00,SNX/EUR,2.92688,3.08081,2.92688,3.01075,7824.07600905,23556.336844247286
1662595200,2022-09-08 00:00:00,SNX/EUR,3.00475,3.00475,2.83536,2.93275,4719.42358613,13840.889522222758
1662508800,2022-09-07 00:00:00,SNX/EUR,2.77000,3.02531,2.76549,2.97314,5693.06566448,16926.281249692067
1662422400,2022-09-06 00:00:00,SNX/EUR,3.02860,3.10187,2.77536,2.77879,6474.96178077,17992.559046785867
1662336000,2022-09-05 00:00:00,SNX/EUR,3.02423,3.04966,2.97196,2.97988,4685.48669193,13962.18808354837
1662249600,2022-09-04 00:00:00,SNX/EUR,2.95978,3.01059,2.92506,3.01059,7876.70519327,23713.52988780673
1662163200,2022-09-03 00:00:00,SNX/EUR,2.97766,3.01096,2.89758,2.91635,4854.43454141,14157.230174841054
1662076800,2022-09-02 00:00:00,SNX/EUR,2.95461,3.24587,2.89924,3.05270,11946.50292878,36469.08949068671
1661990400,2022-09-01 00:00:00,SNX/EUR,3.03234,3.16250,2.81397,2.94272,8766.18617034,25796.431367182926
1661904000,2022-08-31 00:00:00,SNX/EUR,3.04581,3.12654,2.90477,2.95407,50731.49444880,149864.38580636663
1661817600,2022-08-30 00:00:00,SNX/EUR,3.48290,3.48290,2.96467,2.99017,49731.91627907,148706.88410018673
1661731200,2022-08-29 00:00:00,SNX/EUR,2.97976,3.55591,2.81283,3.47237,9218.25327917,32009.186138991532
1661644800,2022-08-28 00:00:00,SNX/EUR,2.88761,3.15708,2.84424,3.08692,7287.14985156,22494.848619777596
1661558400,2022-08-27 00:00:00,SNX/EUR,2.73920,2.91972,2.64777,2.91023,15513.97880078,45149.24652539397
1661472000,2022-08-26 00:00:00,SNX/EUR,3.02682,3.25532,2.75000,2.75000,24541.80715756,67489.96968329001
1661385600,2022-08-25 00:00:00,SNX/EUR,3.06318,3.09824,2.96298,3.02327,5901.39580852,17841.51290602426
1661299200,2022-08-24 00:00:00,SNX/EUR,3.00249,3.14906,3.00084,3.13036,5078.78270425,15898.418226076032
1661212800,2022-08-23 00:00:00,SNX/EUR,3.02952,3.18336,2.93306,3.06217,9935.57551856,30424.421285668872
1661126400,2022-08-22 00:00:00,SNX/EUR,3.01225,3.01225,2.82770,2.97365,4619.35507475,13736.34521803034
1661040000,2022-08-21 00:00:00,SNX/EUR,2.75990,3.08452,2.75555,3.08069,5443.53931660,16769.857137256455
1660953600,2022-08-20 00:00:00,SNX/EUR,2.80782,2.90249,2.65000,2.73341,4652.35274956,12716.7875291748
1660867200,2022-08-19 00:00:00,SNX/EUR,3.22776,3.23403,2.72823,2.81306,14917.04610631,41962.54571981641
1660780800,2022-08-18 00:00:00,SNX/EUR,3.42319,3.50386,3.24027,3.25066,13605.04717849,44225.3826612303
