https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VAI,Volume USDT
1663459200,2022-09-18 00:00:00,VAI/USDT,0.007725,0.007728,0.00759,0.007619,898124.607,6898.4120339596
1663372800,2022-09-17 00:00:00,VAI/USDT,0.007758,0.008124,0.007601,0.007741,27552089.4479,216541.3210142501
1663286400,2022-09-16 00:00:00,VAI/USDT,0.008235,0.008559,0.007583,0.00775,21581822.824,171889.9883330895
1663200000,2022-09-15 00:00:00,VAI/USDT,0.008406,0.008646,0.008031,0.008185,21150123.0768,175521.0769129627
1663113600,2022-09-14 00:00:00,VAI/USDT,0.008254,0.008568,0.00803,0.008421,21582240.0907,177415.3453558625
1663027200,2022-09-13 00:00:00,VAI/USDT,0.00835,0.008614,0.00803,0.008254,24149525.712,200916.0500085857
1662940800,2022-09-12 00:00:00,VAI/USDT,0.009013,0.009218,0.00829,0.00836,27647227.5333,242454.9093709309
1662854400,2022-09-11 00:00:00,VAI/USDT,0.009592,0.009809,0.008853,0.009013,26167723.8539,242642.0048337201
1662768000,2022-09-10 00:00:00,VAI/USDT,0.009496,0.009999,0.009311,0.009592,21241079.3711,203718.5161903229
1662681600,2022-09-09 00:00:00,VAI/USDT,0.008791,0.01089,0.00865,0.009414,28642825.3585,271409.4058368383
1662595200,2022-09-08 00:00:00,VAI/USDT,0.008963,0.0094,0.008237,0.008807,27888307.9332,242429.5334950641
1662508800,2022-09-07 00:00:00,VAI/USDT,0.008182,0.00933,0.007946,0.008951,27519502.6161,229674.7437824562
1662422400,2022-09-06 00:00:00,VAI/USDT,0.009045,0.00955,0.0082,0.0082,23430177.9284,208072.0128415906
1662336000,2022-09-05 00:00:00,VAI/USDT,0.008843,0.009772,0.008801,0.009019,17875089.9925,162704.7509393084
1662249600,2022-09-04 00:00:00,VAI/USDT,0.0085,0.0099,0.008362,0.008842,19510380.3235,177229.0538413107
1662163200,2022-09-03 00:00:00,VAI/USDT,0.008358,0.00886,0.0082,0.0085,18685518.2522,156105.4747226943
1662076800,2022-09-02 00:00:00,VAI/USDT,0.008737,0.008889,0.00813,0.008358,19415200.0242,164604.0035018314
1661990400,2022-09-01 00:00:00,VAI/USDT,0.008618,0.00898,0.008602,0.00873,17803586.5553,155930.5476311424
1661904000,2022-08-31 00:00:00,VAI/USDT,0.010153,0.010176,0.008605,0.008618,19926110.1791,187251.4124459642
1661817600,2022-08-30 00:00:00,VAI/USDT,0.010186,0.011141,0.009854,0.010153,18146534.0943,186521.3143734868
1661731200,2022-08-29 00:00:00,VAI/USDT,0.010784,0.010845,0.009621,0.010174,18507229.2224,189368.2386682295
1661644800,2022-08-28 00:00:00,VAI/USDT,0.010222,0.01179,0.010222,0.010785,14945486.3729,160554.6500179587
1661558400,2022-08-27 00:00:00,VAI/USDT,0.010674,0.010783,0.009937,0.010226,14410980.5715,149502.9539867172
1661472000,2022-08-26 00:00:00,VAI/USDT,0.011635,0.011814,0.0102,0.010674,15394022.89238238,168952.86281129250558
1661385600,2022-08-25 00:00:00,VAI/USDT,0.012222,0.012477,0.011308,0.011614,13694959.5573,160579.7548742145
1661299200,2022-08-24 00:00:00,VAI/USDT,0.01187,0.01252,0.01163,0.012222,14131963.308,169501.9610602543
1661212800,2022-08-23 00:00:00,VAI/USDT,0.011682,0.012499,0.01127,0.01185,13498140.7109,156493.769981145
1661126400,2022-08-22 00:00:00,VAI/USDT,0.012315,0.013388,0.011545,0.011682,13465180.0815,163145.3159340169
1661040000,2022-08-21 00:00:00,VAI/USDT,0.011334,0.012843,0.01091,0.012315,23798027.2237,287125.0437536723
1660953600,2022-08-20 00:00:00,VAI/USDT,0.011409,0.013846,0.010742,0.011334,10448354.0633,128433.1547157687
1660867200,2022-08-19 00:00:00,VAI/USDT,0.0122,0.012229,0.01089,0.011409,6592800.6338,73909.148179234
