https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume REP,Volume USDT
1663376400,2022-09-17 01:00:00,REP/USDT,7.419,7.419,7.419,7.419,0.1083,0.8034777
1663372800,2022-09-17 00:00:00,REP/USDT,7.399,7.45,7.399,7.429,12.7481,94.3250669
1663369200,2022-09-16 23:00:00,REP/USDT,7.358,7.378,7.358,7.378,0.045,0.331656
1663365600,2022-09-16 22:00:00,REP/USDT,7.394,7.423,7.394,7.423,0.2608,1.9312987
1663362000,2022-09-16 21:00:00,REP/USDT,7.426,7.426,7.388,7.394,0.4214,3.1211358
1663358400,2022-09-16 20:00:00,REP/USDT,7.413,7.42,7.413,7.42,0.6226,4.6174276
1663354800,2022-09-16 19:00:00,REP/USDT,7.447,7.447,7.414,7.414,29.5553,219.4789985
1663351200,2022-09-16 18:00:00,REP/USDT,7.47,7.479,7.451,7.478,84.578,630.3882058
1663347600,2022-09-16 17:00:00,REP/USDT,7.51,7.53,7.44,7.53,102.5896,768.8449495
1663344000,2022-09-16 16:00:00,REP/USDT,7.513,7.549,7.499,7.51,9.0833,68.2203027
1663340400,2022-09-16 15:00:00,REP/USDT,7.521,7.54,7.441,7.51,47.9406,360.6687718
1663336800,2022-09-16 14:00:00,REP/USDT,7.461,7.559,7.461,7.521,32.9517,248.2467204
1663333200,2022-09-16 13:00:00,REP/USDT,7.47,7.526,7.375,7.375,64.7849,481.7742251
1663329600,2022-09-16 12:00:00,REP/USDT,7.53,7.588,7.492,7.492,676.2599,5124.6006121
1663326000,2022-09-16 11:00:00,REP/USDT,7.441,7.548,7.441,7.548,6.9197,51.9742491
1663322400,2022-09-16 10:00:00,REP/USDT,7.466,7.49,7.466,7.49,17.711,132.3840134
1663318800,2022-09-16 09:00:00,REP/USDT,7.371,7.47,7.371,7.47,0.2949,2.193224
1663315200,2022-09-16 08:00:00,REP/USDT,7.38,7.41,7.38,7.4,16.9129,125.223502
1663311600,2022-09-16 07:00:00,REP/USDT,7.363,7.414,7.363,7.406,39.2784,290.9311738
1663308000,2022-09-16 06:00:00,REP/USDT,7.375,7.386,7.374,7.377,0.5242,3.8691547
1663304400,2022-09-16 05:00:00,REP/USDT,7.364,7.372,7.343,7.372,25.0981,184.3064179
1663300800,2022-09-16 04:00:00,REP/USDT,7.358,7.375,7.358,7.374,0.114,0.8399632
1663297200,2022-09-16 03:00:00,REP/USDT,7.33,7.346,7.33,7.346,0.0716,0.5257304
1663293600,2022-09-16 02:00:00,REP/USDT,7.323,7.327,7.304,7.304,2.0701,15.1248417
1663290000,2022-09-16 01:00:00,REP/USDT,7.343,7.354,7.33,7.354,0.3617,2.6536942
1663286400,2022-09-16 00:00:00,REP/USDT,7.302,7.33,7.286,7.319,51.6286,377.4568599
1663282800,2022-09-15 23:00:00,REP/USDT,7.362,7.362,7.302,7.302,1.352,9.9509792
1663279200,2022-09-15 22:00:00,REP/USDT,7.39,7.39,7.318,7.318,8.6058,63.2040079
1663275600,2022-09-15 21:00:00,REP/USDT,7.409,7.409,7.39,7.39,0.4712,3.4858331
1663272000,2022-09-15 20:00:00,REP/USDT,7.412,7.412,7.411,7.411,0.3781,2.8022054
1663268400,2022-09-15 19:00:00,REP/USDT,7.403,7.403,7.403,7.403,0.0411,0.3042633
1663264800,2022-09-15 18:00:00,REP/USDT,7.418,7.418,7.397,7.397,6.7482,49.9195566
1663261200,2022-09-15 17:00:00,REP/USDT,7.453,7.453,7.453,7.453,0.0378,0.2817234
1663257600,2022-09-15 16:00:00,REP/USDT,7.377,7.42,7.377,7.42,0.5671,4.1971925
1663254000,2022-09-15 15:00:00,REP/USDT,7.302,7.375,7.262,7.375,2.7553,20.0376625
1663250400,2022-09-15 14:00:00,REP/USDT,7.483,7.483,7.33,7.33,49.5108,366.305163
1663246800,2022-09-15 13:00:00,REP/USDT,7.467,7.489,7.441,7.441,3.428,25.6601476
1663243200,2022-09-15 12:00:00,REP/USDT,7.457,7.478,7.457,7.478,0.4551,3.397614
1663239600,2022-09-15 11:00:00,REP/USDT,7.461,7.461,7.445,7.454,7.8301,58.2978082
1663236000,2022-09-15 10:00:00,REP/USDT,7.49,7.49,7.461,7.461,0.1674,1.249418
1663232400,2022-09-15 09:00:00,REP/USDT,7.467,7.47,7.462,7.462,0.14,1.0453216
1663228800,2022-09-15 08:00:00,REP/USDT,7.497,7.497,7.47,7.479,7.4063,55.3979338
1663225200,2022-09-15 07:00:00,REP/USDT,7.509,7.56,7.499,7.499,19.4551,146.1733011
1663221600,2022-09-15 06:00:00,REP/USDT,7.432,7.47,7.42,7.47,48.7229,363.4285899
1663218000,2022-09-15 05:00:00,REP/USDT,7.479,7.479,7.479,7.479,0.0757,0.5661603
1663214400,2022-09-15 04:00:00,REP/USDT,7.425,7.448,7.425,7.448,6.6401,49.4547297
1663210800,2022-09-15 03:00:00,REP/USDT,7.375,7.599,7.353,7.448,171.6777,1293.0613754
1663207200,2022-09-15 02:00:00,REP/USDT,7.463,7.463,7.383,7.383,12.2939,91.1992419
1663203600,2022-09-15 01:00:00,REP/USDT,7.502,7.503,7.448,7.479,0.2861,2.1383127
1663200000,2022-09-15 00:00:00,REP/USDT,7.611,7.815,7.461,7.461,883.6041,6772.6842199
1663196400,2022-09-14 23:00:00,REP/USDT,7.565,7.565,7.565,7.565,0.0554,0.419101
1663192800,2022-09-14 22:00:00,REP/USDT,7.581,7.582,7.581,7.582,0.0645,0.4890179
1663189200,2022-09-14 21:00:00,REP/USDT,7.481,7.569,7.473,7.53,92.8503,700.7945993
1663185600,2022-09-14 20:00:00,REP/USDT,7.479,7.479,7.444,7.444,0.0771,0.5747829
1663182000,2022-09-14 19:00:00,REP/USDT,7.43,7.469,7.43,7.469,22.3463,166.3890047
1663178400,2022-09-14 18:00:00,REP/USDT,7.47,7.487,7.39,7.487,20.5062,153.1818979
1663174800,2022-09-14 17:00:00,REP/USDT,7.47,7.544,7.45,7.524,69.6168,520.8975767
1663171200,2022-09-14 16:00:00,REP/USDT,7.511,7.511,7.47,7.481,5.2974,39.6400915
1663167600,2022-09-14 15:00:00,REP/USDT,7.567,7.567,7.519,7.519,0.8436,6.3547466
1663164000,2022-09-14 14:00:00,REP/USDT,7.572,7.572,7.53,7.558,1.2124,9.1615054
1663160400,2022-09-14 13:00:00,REP/USDT,7.526,7.582,7.526,7.526,126.413,951.6652773
1663156800,2022-09-14 12:00:00,REP/USDT,7.569,7.575,7.543,7.575,0.17,1.2849626
1663153200,2022-09-14 11:00:00,REP/USDT,7.603,7.603,7.603,7.603,0.0207,0.1573821
1663149600,2022-09-14 10:00:00,REP/USDT,7.6,7.633,7.584,7.584,0.104,0.7917923
1663146000,2022-09-14 09:00:00,REP/USDT,7.582,7.638,7.582,7.638,43.8484,333.6422231
1663142400,2022-09-14 08:00:00,REP/USDT,7.526,7.549,7.519,7.533,20.0213,150.6366228
1663138800,2022-09-14 07:00:00,REP/USDT,7.582,7.582,7.582,7.582,0.0434,0.3290588
1663135200,2022-09-14 06:00:00,REP/USDT,7.62,7.62,7.59,7.59,0.7317,5.56363
1663131600,2022-09-14 05:00:00,REP/USDT,7.671,7.671,7.671,7.671,0.1538,1.1797998
1663128000,2022-09-14 04:00:00,REP/USDT,7.644,7.672,7.644,7.672,7.9596,60.9730062
1663124400,2022-09-14 03:00:00,REP/USDT,7.679,7.679,7.676,7.676,0.2843,2.1830803
1663120800,2022-09-14 02:00:00,REP/USDT,7.64,7.676,7.64,7.66,15.941,121.7968508
1663117200,2022-09-14 01:00:00,REP/USDT,7.636,7.664,7.636,7.636,0.1895,1.4482503
1663113600,2022-09-14 00:00:00,REP/USDT,7.626,7.637,7.601,7.601,4.286,32.6005708
1663110000,2022-09-13 23:00:00,REP/USDT,7.66,7.66,7.638,7.649,0.3634,2.7796081
1663106400,2022-09-13 22:00:00,REP/USDT,7.716,7.716,7.694,7.713,18.1366,139.8827783
1663102800,2022-09-13 21:00:00,REP/USDT,7.77,7.77,7.71,7.753,38.3338,297.4877765
1663099200,2022-09-13 20:00:00,REP/USDT,7.841,7.85,7.803,7.85,0.3286,2.5709072
1663095600,2022-09-13 19:00:00,REP/USDT,7.819,7.819,7.787,7.787,0.1628,1.2718132
1663092000,2022-09-13 18:00:00,REP/USDT,7.867,7.867,7.806,7.806,0.1644,1.290326
1663088400,2022-09-13 17:00:00,REP/USDT,7.914,7.959,7.879,7.911,0.8962,7.0934071
1663084800,2022-09-13 16:00:00,REP/USDT,7.877,7.9,7.877,7.9,0.0328,0.2588003
1663081200,2022-09-13 15:00:00,REP/USDT,7.89,7.904,7.831,7.844,6.7319,53.0166953
1663077600,2022-09-13 14:00:00,REP/USDT,7.918,7.94,7.815,7.85,222.9976,1764.5489126
1663074000,2022-09-13 13:00:00,REP/USDT,7.894,8.002,7.894,7.918,449.3957,3558.5116258
1663070400,2022-09-13 12:00:00,REP/USDT,8.331,8.331,7.524,7.862,998.051,8007.7623065
1663066800,2022-09-13 11:00:00,REP/USDT,8.327,8.366,8.327,8.342,59.97,500.2502974
1663063200,2022-09-13 10:00:00,REP/USDT,8.288,8.293,8.288,8.292,0.2607,2.1617908
1663059600,2022-09-13 09:00:00,REP/USDT,8.287,8.322,8.27,8.283,43.748,363.8524929
1663056000,2022-09-13 08:00:00,REP/USDT,8.254,8.289,8.254,8.289,0.2786,2.3080952
1663052400,2022-09-13 07:00:00,REP/USDT,8.264,8.28,8.264,8.27,0.393,3.2485748
1663048800,2022-09-13 06:00:00,REP/USDT,8.267,8.302,8.267,8.272,2.4574,20.3620536
1663045200,2022-09-13 05:00:00,REP/USDT,8.222,8.245,8.222,8.245,1.323,10.8825408
1663041600,2022-09-13 04:00:00,REP/USDT,8.232,8.264,8.22,8.252,0.8836,7.2832308
1663038000,2022-09-13 03:00:00,REP/USDT,8.209,8.209,8.171,8.171,0.072,0.5887832
1663034400,2022-09-13 02:00:00,REP/USDT,8.182,8.251,8.142,8.251,31.6737,261.3122002
1663030800,2022-09-13 01:00:00,REP/USDT,8.205,8.205,8.171,8.171,0.3078,2.5166964
1663027200,2022-09-13 00:00:00,REP/USDT,8.302,8.344,8.151,8.19,264.1883,2196.1393697
1663023600,2022-09-12 23:00:00,REP/USDT,8.251,8.341,8.251,8.257,49.5079,412.6686713
1663020000,2022-09-12 22:00:00,REP/USDT,8.23,8.268,8.225,8.225,0.6418,5.3030222
1663016400,2022-09-12 21:00:00,REP/USDT,8.237,8.237,8.198,8.21,0.083,0.6816847
1663012800,2022-09-12 20:00:00,REP/USDT,8.206,8.272,8.206,8.243,6.1143,50.2216366
1663009200,2022-09-12 19:00:00,REP/USDT,8.247,8.262,8.247,8.262,80.4277,664.1924012
1663005600,2022-09-12 18:00:00,REP/USDT,8.193,8.247,8.188,8.188,6.1398,50.6284942
1663002000,2022-09-12 17:00:00,REP/USDT,8.173,8.198,8.173,8.198,0.0687,0.5625701
1662998400,2022-09-12 16:00:00,REP/USDT,8.171,8.171,8.17,8.17,0.2211,1.8064236
1662994800,2022-09-12 15:00:00,REP/USDT,8.327,8.327,8.142,8.142,4.1596,34.0893911
1662991200,2022-09-12 14:00:00,REP/USDT,8.411,8.422,8.358,8.391,0.2425,2.0337696
1662987600,2022-09-12 13:00:00,REP/USDT,8.356,8.411,8.356,8.409,0.4189,3.5040344
1662984000,2022-09-12 12:00:00,REP/USDT,8.363,8.363,8.347,8.347,10.9458,91.370519
1662980400,2022-09-12 11:00:00,REP/USDT,8.405,8.422,8.366,8.422,0.1444,1.2134323
1662976800,2022-09-12 10:00:00,REP/USDT,8.339,8.402,8.337,8.402,0.3661,3.0648651
1662973200,2022-09-12 09:00:00,REP/USDT,8.365,8.365,8.325,8.325,0.289,2.416661
1662969600,2022-09-12 08:00:00,REP/USDT,8.337,8.412,8.337,8.363,2.3919,20.0018268
