https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume ALGO
1663549200000,2022-09-19 01:00:00,ALGO/EUR,0.29928968,0.3009773,0.29796484,0.30049397,69.71460104,232.0
1663545600000,2022-09-19 00:00:00,ALGO/EUR,0.29276733,0.29955059,0.28538796,0.29868677,222.52164365,745.0
1663542000000,2022-09-18 23:00:00,ALGO/EUR,0.29235576,0.29554356,0.29112827,0.29257788,229.38105792000002,784.0
1663538400000,2022-09-18 22:00:00,ALGO/EUR,0.29127744,0.29338784,0.28695944,0.29252302,226.41281748000003,774.0
1663534800000,2022-09-18 21:00:00,ALGO/EUR,0.3011246,0.30195827,0.28923647,0.29227318,431.3327211497272,1475.78618452
1663531200000,2022-09-18 20:00:00,ALGO/EUR,0.3028619,0.30347135,0.30038753,0.30142021,255.60433808000002,848.0
1663527600000,2022-09-18 19:00:00,ALGO/EUR,0.30257335,0.30441375,0.30170822,0.30264612,264.51270888,874.0
1663524000000,2022-09-18 18:00:00,ALGO/EUR,0.30374744,0.3067806,0.3010488,0.30323278,241.37329287999998,796.0
1663520400000,2022-09-18 17:00:00,ALGO/EUR,0.31096601,0.31096601,0.30235299,0.30424854,271.38969768,892.0
1663516800000,2022-09-18 16:00:00,ALGO/EUR,0.31287169,0.31427064,0.30663827,0.3109601,231.6652745,745.0
1663513200000,2022-09-18 15:00:00,ALGO/EUR,0.31409964,0.31632743,0.31157119,0.31221561,256.95344703,823.0
1663509600000,2022-09-18 14:00:00,ALGO/EUR,0.31602513,0.31646002,0.31125067,0.31412079,263.8614636,840.0
1663506000000,2022-09-18 13:00:00,ALGO/EUR,0.31270771,0.31868031,0.31048052,0.31642441,275.92208552,872.0
1663502400000,2022-09-18 12:00:00,ALGO/EUR,0.30941499,0.31209118,0.30673285,0.31209118,227.20237904,728.0
1663498800000,2022-09-18 11:00:00,ALGO/EUR,0.30848784,0.31012137,0.30784751,0.30839005,302.53063905000005,981.0
1663495200000,2022-09-18 10:00:00,ALGO/EUR,0.30639185,0.31112671,0.30588297,0.30759449,246.69078098,802.0
1663491600000,2022-09-18 09:00:00,ALGO/EUR,0.31385669,0.31795909,0.30587258,0.30661645,254.18503704999998,829.0
1663488000000,2022-09-18 08:00:00,ALGO/EUR,0.31134454,0.31387985,0.31082656,0.31329593,245.62400912,784.0
1663484400000,2022-09-18 07:00:00,ALGO/EUR,0.31047589,0.31237205,0.3083375,0.31064384,274.60915456,884.0
1663480800000,2022-09-18 06:00:00,ALGO/EUR,0.31052151,0.31052151,0.30810118,0.30953903,274.56111961,887.0
1663477200000,2022-09-18 05:00:00,ALGO/EUR,0.30890296,0.3110211,0.30856058,0.3099114,236.4623982,763.0
1663473600000,2022-09-18 04:00:00,ALGO/EUR,0.30776886,0.31012247,0.307108,0.30915508,228.15644904,738.0
1663470000000,2022-09-18 03:00:00,ALGO/EUR,0.30926711,0.30926711,0.30678296,0.30719431,261.72955212,852.0
1663466400000,2022-09-18 02:00:00,ALGO/EUR,0.30882804,0.31025022,0.30777431,0.3085798,254.8869148,826.0
1663462800000,2022-09-18 01:00:00,ALGO/EUR,0.30699412,0.3093003,0.30455592,0.3080764,235.67844599999998,765.0
1663459200000,2022-09-18 00:00:00,ALGO/EUR,0.31168306,0.31188049,0.30637877,0.30770414,261.85622314,851.0
1663455600000,2022-09-17 23:00:00,ALGO/EUR,0.30946266,0.31204155,0.30850306,0.31141852,270.2222420508061,867.714104
1663452000000,2022-09-17 22:00:00,ALGO/EUR,0.30928957,0.30989406,0.30851575,0.30937508,244.71568828000002,791.0
1663448400000,2022-09-17 21:00:00,ALGO/EUR,0.30905619,0.30973022,0.30846157,0.30950328,234.91298952,759.0
1663444800000,2022-09-17 20:00:00,ALGO/EUR,0.30899149,0.30982832,0.30827755,0.30905307,225.91779416999998,731.0
1663441200000,2022-09-17 19:00:00,ALGO/EUR,0.30896586,0.30951748,0.30669038,0.30951367,259.68196913,839.0
1663437600000,2022-09-17 18:00:00,ALGO/EUR,0.30749023,0.30920905,0.30749023,0.30896747,241.30359407000003,781.0
1663434000000,2022-09-17 17:00:00,ALGO/EUR,0.30934056,0.310579,0.30754187,0.30754187,276.787683,900.0
1663430400000,2022-09-17 16:00:00,ALGO/EUR,0.30872442,0.31043778,0.30767987,0.30948819,221.90303223,717.0
1663426800000,2022-09-17 15:00:00,ALGO/EUR,0.30726208,0.30918851,0.30642069,0.30765508,216.58917632,704.0
1663423200000,2022-09-17 14:00:00,ALGO/EUR,0.30457919,0.30719384,0.3034148,0.30719384,234.08170608,762.0
1663419600000,2022-09-17 13:00:00,ALGO/EUR,0.30426503,0.30529169,0.30305997,0.3045958,229.96982900000003,755.0
1663416000000,2022-09-17 12:00:00,ALGO/EUR,0.30454401,0.30538884,0.30306095,0.30484742,227.41617531999998,746.0
