https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume LEO
1663545600000,2022-09-19 00:00:00,LEO/ETH,0.003501,0.0035027,0.0034426,0.0034646,0.078110459788002,22.54530387
1663459200000,2022-09-18 00:00:00,LEO/ETH,0.0034028,0.0035782,0.0033365,0.0035003,9.674814921786258,2763.99592086
1663372800000,2022-09-17 00:00:00,LEO/ETH,0.0034519,0.0035175,0.0033528,0.0034004,2.825929643024332,831.05800583
1663286400000,2022-09-16 00:00:00,LEO/ETH,0.0033121,0.0034861,0.0032501,0.0034509,27.734541069553774,8036.90082864
1663200000000,2022-09-15 00:00:00,LEO/ETH,0.0029776,0.0034824,0.0029466,0.003312,36.97287157780272,11163.30663581
1663113600000,2022-09-14 00:00:00,LEO/ETH,0.003146,0.003198,0.0029451,0.0029723,24.58106101464995,8270.0471065
1663027200000,2022-09-13 00:00:00,LEO/ETH,0.0029296,0.0031795,0.0028411,0.0031478,10.011259735737264,3180.39892488
1662940800000,2022-09-12 00:00:00,LEO/ETH,0.0028759,0.0029618,0.0028217,0.0029367,17.96621196447827,6117.82339513
1662854400000,2022-09-11 00:00:00,LEO/ETH,0.0027934,0.0029218,0.0027821,0.0028607,6.341974866283765,2216.9311239500003
1662768000000,2022-09-10 00:00:00,LEO/ETH,0.0028807,0.0029513,0.0027769,0.0027987,15.03463067364987,5372.0051001
1662681600000,2022-09-09 00:00:00,LEO/ETH,0.0030411,0.0030739,0.0028576,0.0028792,31.389226208517275,10902.06522941
1662595200000,2022-09-08 00:00:00,LEO/ETH,0.0031653,0.0033076,0.0030316,0.0030398,11.638716507383174,3828.77706013
1662508800000,2022-09-07 00:00:00,LEO/ETH,0.0032955,0.0035094,0.0031055,0.0031475,12.177947465198224,3869.08577131
1662422400000,2022-09-06 00:00:00,LEO/ETH,0.0031309,0.0033117,0.0029924,0.0032884,4.345635093228392,1321.50440738
1662336000000,2022-09-05 00:00:00,LEO/ETH,0.0033172,0.0033937,0.0031148,0.0031229,2.42324464112929,775.9597301
1662249600000,2022-09-04 00:00:00,LEO/ETH,0.0033261,0.0033576,0.0032852,0.0033312,2.8899621158259836,867.54386282
1662163200000,2022-09-03 00:00:00,LEO/ETH,0.0034259,0.0035259,0.0033186,0.0033261,4.984854192108978,1498.70845498
1662076800000,2022-09-02 00:00:00,LEO/ETH,0.0034762,0.0035025,0.0032552,0.0034181,4.982047357320327,1457.54874267
1661990400000,2022-09-01 00:00:00,LEO/ETH,0.0037372,0.0038022,0.0034828,0.0034937,3.5071948346904493,1003.86261977
1661904000000,2022-08-31 00:00:00,LEO/ETH,0.0035345,0.003768,0.0033342,0.003734,14.64174502019068,3921.19577402
1661817600000,2022-08-30 00:00:00,LEO/ETH,0.0034068,0.0036611,0.0032896,0.003536,6.75320507727424,1909.84306484
1661731200000,2022-08-29 00:00:00,LEO/ETH,0.0036211,0.0036715,0.0033675,0.0033998,3.039401971819136,893.99434432
1661644800000,2022-08-28 00:00:00,LEO/ETH,0.0034581,0.0036405,0.0034041,0.0036405,2.91012167869956,799.37417352
1661558400000,2022-08-27 00:00:00,LEO/ETH,0.0034274,0.0035535,0.0032657,0.0034581,2.382605631836205,688.99269305
1661472000000,2022-08-26 00:00:00,LEO/ETH,0.0030521,0.0035485,0.0029972,0.0034225,10.820655727377076,3161.62329507
1661385600000,2022-08-25 00:00:00,LEO/ETH,0.0032414,0.0032414,0.0029715,0.0030387,3.1447130912372283,1034.88764644
