https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume TRX
1663545600000,2022-09-19 00:00:00,TRX/BTC,3.13e-06,3.14e-06,3.12e-06,3.13e-06,0.034783132402394,11112.8218538
1663459200000,2022-09-18 00:00:00,TRX/BTC,3.1e-06,3.16e-06,3.09e-06,3.13e-06,0.7021921579719779,224342.54248306
1663372800000,2022-09-17 00:00:00,TRX/BTC,3.1e-06,3.12e-06,3.07e-06,3.1e-06,1.044585268950121,336962.98998391
1663286400000,2022-09-16 00:00:00,TRX/BTC,3.11e-06,3.14e-06,3.08e-06,3.1e-06,1.3189872219303491,425479.74900979
1663200000000,2022-09-15 00:00:00,TRX/BTC,3.05e-06,3.12e-06,3.02e-06,3.11e-06,3.2451912838958084,1043469.86620444
1663113600000,2022-09-14 00:00:00,TRX/BTC,3e-06,3.1e-06,2.98e-06,3.05e-06,1.488454480507819,488017.86246158
1663027200000,2022-09-13 00:00:00,TRX/BTC,2.85e-06,3.06e-06,2.8e-06,3.01e-06,2.8881125945369415,959505.84536111
1662940800000,2022-09-12 00:00:00,TRX/BTC,2.94e-06,2.96e-06,2.83e-06,2.85e-06,1.9317552620312954,677808.86387063
1662854400000,2022-09-11 00:00:00,TRX/BTC,2.99e-06,3.01e-06,2.94e-06,2.94e-06,1.7924758141322759,609685.6510654
1662768000000,2022-09-10 00:00:00,TRX/BTC,2.97e-06,3.03e-06,2.94e-06,2.99e-06,1.7077893721610333,571167.01410068
1662681600000,2022-09-09 00:00:00,TRX/BTC,3.17e-06,3.18e-06,2.95e-06,2.97e-06,2.1108470794467706,710722.92237265
1662595200000,2022-09-08 00:00:00,TRX/BTC,3.2e-06,3.2e-06,3.12e-06,3.17e-06,1.9055955809923983,601134.25267899
1662508800000,2022-09-07 00:00:00,TRX/BTC,3.23e-06,3.25e-06,3.17e-06,3.2e-06,1.4884685635681598,465146.42611505
1662422400000,2022-09-06 00:00:00,TRX/BTC,3.18e-06,3.25e-06,3.14e-06,3.23e-06,2.365353518844405,732307.5909735
1662336000000,2022-09-05 00:00:00,TRX/BTC,3.18e-06,3.2e-06,3.15e-06,3.18e-06,1.3168423616430032,414101.37158585
1662249600000,2022-09-04 00:00:00,TRX/BTC,3.18e-06,3.21e-06,3.16e-06,3.18e-06,0.7030634566188654,221089.13730153
1662163200000,2022-09-03 00:00:00,TRX/BTC,3.14e-06,3.2e-06,3.12e-06,3.18e-06,0.7020304665990906,220764.29767267
1662076800000,2022-09-02 00:00:00,TRX/BTC,3.14e-06,3.16e-06,3.11e-06,3.14e-06,1.3889561329437514,442342.71749801
1661990400000,2022-09-01 00:00:00,TRX/BTC,3.16e-06,3.18e-06,3.13e-06,3.14e-06,2.8708476946896337,914282.70531517
1661904000000,2022-08-31 00:00:00,TRX/BTC,3.26e-06,3.27e-06,3.14e-06,3.16e-06,1.2458414820366124,394253.63355589
1661817600000,2022-08-30 00:00:00,TRX/BTC,3.12e-06,3.35e-06,3.08e-06,3.27e-06,5.56784728626183,1702705.592129
1661731200000,2022-08-29 00:00:00,TRX/BTC,3.14e-06,3.14e-06,3.09e-06,3.12e-06,1.2742325563346497,408407.87062008
1661644800000,2022-08-28 00:00:00,TRX/BTC,3.13e-06,3.17e-06,3.11e-06,3.14e-06,1.1204610421008494,356834.72678371
1661558400000,2022-08-27 00:00:00,TRX/BTC,3.04e-06,3.15e-06,3.04e-06,3.14e-06,2.1172636087061623,674287.7734733
1661472000000,2022-08-26 00:00:00,TRX/BTC,3.04e-06,3.08e-06,2.99e-06,3.04e-06,4.784860510748035,1573967.27327238
1661385600000,2022-08-25 00:00:00,TRX/BTC,3.03e-06,3.05e-06,3e-06,3.04e-06,0.5427198986302768,178526.28244417
1661299200000,2022-08-24 00:00:00,TRX/BTC,3.08e-06,3.09e-06,2.99e-06,3.03e-06,3.318970111131563,1095369.67364078
1661212800000,2022-08-23 00:00:00,TRX/BTC,3.07e-06,3.13e-06,3.05e-06,3.08e-06,2.194501605888808,712500.52139247
1661126400000,2022-08-22 00:00:00,TRX/BTC,3.06e-06,3.11e-06,3.05e-06,3.07e-06,0.9281155238128947,302317.76019964
1661040000000,2022-08-21 00:00:00,TRX/BTC,3.11e-06,3.12e-06,3.04e-06,3.06e-06,0.6197175946917017,202522.08976853
1660953600000,2022-08-20 00:00:00,TRX/BTC,3.08e-06,3.12e-06,3.05e-06,3.11e-06,1.0083094189850998,324215.24726209
1660867200000,2022-08-19 00:00:00,TRX/BTC,2.91e-06,3.08e-06,2.89e-06,3.08e-06,3.9616668250537845,1286255.4626798
1660780800000,2022-08-18 00:00:00,TRX/BTC,2.93e-06,2.94e-06,2.88e-06,2.9e-06,1.242755868185059,428536.50627071
1660694400000,2022-08-17 00:00:00,TRX/BTC,2.93e-06,2.96e-06,2.9e-06,2.93e-06,1.2206074500088204,416589.57338185
1660608000000,2022-08-16 00:00:00,TRX/BTC,2.86e-06,2.97e-06,2.84e-06,2.92e-06,3.6130271869925075,1237338.07773716
1660521600000,2022-08-15 00:00:00,TRX/BTC,2.89e-06,2.9e-06,2.8e-06,2.86e-06,1.2998930722400481,454508.0672168
1660435200000,2022-08-14 00:00:00,TRX/BTC,2.86e-06,2.93e-06,2.82e-06,2.9e-06,1.5961577488212342,550399.22373146
1660348800000,2022-08-13 00:00:00,TRX/BTC,2.89e-06,2.9e-06,2.83e-06,2.86e-06,0.9740847665744912,340589.07922185
1660262400000,2022-08-12 00:00:00,TRX/BTC,2.94e-06,2.95e-06,2.88e-06,2.89e-06,1.2956163370976166,448310.15124485
1660176000000,2022-08-11 00:00:00,TRX/BTC,2.94e-06,2.94e-06,2.85e-06,2.94e-06,1.0683792479351248,363394.30201875
1660089600000,2022-08-10 00:00:00,TRX/BTC,2.96e-06,3e-06,2.9e-06,2.94e-06,1.1776028315654945,400545.18080459
1660003200000,2022-08-09 00:00:00,TRX/BTC,2.94e-06,3e-06,2.93e-06,2.96e-06,0.6219971938476424,210134.18711069
1659916800000,2022-08-08 00:00:00,TRX/BTC,3e-06,3.01e-06,2.91e-06,2.94e-06,2.681554085195051,912093.22625682
1659830400000,2022-08-07 00:00:00,TRX/BTC,3.02e-06,3.05e-06,3e-06,3e-06,0.78277412465283,260924.70821761
1659744000000,2022-08-06 00:00:00,TRX/BTC,2.99e-06,3.05e-06,2.99e-06,3.02e-06,0.7243071089037446,239836.79102773
1659657600000,2022-08-05 00:00:00,TRX/BTC,3.05e-06,3.06e-06,2.97e-06,3e-06,3.40003182623526,1133343.94207842
1659571200000,2022-08-04 00:00:00,TRX/BTC,2.98e-06,3.08e-06,2.94e-06,3.05e-06,1.6247420465327909,532702.31033862
1659484800000,2022-08-03 00:00:00,TRX/BTC,2.97e-06,2.99e-06,2.92e-06,2.96e-06,1.3045887757710697,440739.45127401
1659398400000,2022-08-02 00:00:00,TRX/BTC,3e-06,3.05e-06,2.95e-06,2.97e-06,2.2748617816373393,765946.72782402
1659312000000,2022-08-01 00:00:00,TRX/BTC,2.95e-06,3.1e-06,2.95e-06,3.01e-06,5.490646569919088,1824135.07306282
