https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UOS,Volume USDT
1663462800,2022-09-18 01:00:00,UOS/USDT,0.39762,0.39768,0.39682,0.39686,485.8219,192.962070322
1663459200,2022-09-18 00:00:00,UOS/USDT,0.40259,0.40259,0.3975,0.3975,11586.8054,4630.769468296
1663455600,2022-09-17 23:00:00,UOS/USDT,0.4004,0.40546,0.40023,0.40106,9348.5178,3762.875518245
1663452000,2022-09-17 22:00:00,UOS/USDT,0.4017,0.40484,0.40039,0.4004,27869.0484,11234.912808751
1663448400,2022-09-17 21:00:00,UOS/USDT,0.39783,0.404,0.39718,0.4017,33869.4451,13571.141420977
1663444800,2022-09-17 20:00:00,UOS/USDT,0.3936,0.4,0.39291,0.39782,50751.65030547,20214.2755035008587
1663441200,2022-09-17 19:00:00,UOS/USDT,0.4001,0.40026,0.39357,0.3936,19789.8306,7880.02951862
1663437600,2022-09-17 18:00:00,UOS/USDT,0.40061,0.40197,0.39838,0.39904,23657.4629,9457.970197891
1663434000,2022-09-17 17:00:00,UOS/USDT,0.39969,0.40084,0.39837,0.39902,11922.1385,4762.770723906
1663430400,2022-09-17 16:00:00,UOS/USDT,0.39233,0.40323,0.39145,0.39969,26795.0501,10604.798821206
1663426800,2022-09-17 15:00:00,UOS/USDT,0.39682,0.39814,0.38702,0.39146,26253.9744,10271.447893772
1663423200,2022-09-17 14:00:00,UOS/USDT,0.39638,0.40216,0.39616,0.39684,23719.9408,9491.545635971
1663419600,2022-09-17 13:00:00,UOS/USDT,0.39,0.40206,0.38864,0.39637,141473.3216,55645.861751359
1663416000,2022-09-17 12:00:00,UOS/USDT,0.39014,0.39067,0.38403,0.38853,24758.1076,9605.483158521
1663412400,2022-09-17 11:00:00,UOS/USDT,0.38546,0.3922,0.38426,0.38923,52227.5539,20199.042579253
1663408800,2022-09-17 10:00:00,UOS/USDT,0.38922,0.39119,0.3847,0.3847,30685.4858,11906.390544701
1663405200,2022-09-17 09:00:00,UOS/USDT,0.38845,0.4,0.38835,0.3902,45150.5916,17783.871784247
1663401600,2022-09-17 08:00:00,UOS/USDT,0.38536,0.38944,0.38498,0.38839,14040.8304,5446.609983929
1663398000,2022-09-17 07:00:00,UOS/USDT,0.38439,0.38863,0.38419,0.38535,13457.2959,5199.321933367
1663394400,2022-09-17 06:00:00,UOS/USDT,0.38538,0.38686,0.38403,0.38524,5990.2497,2305.296695273
1663390800,2022-09-17 05:00:00,UOS/USDT,0.38571,0.3879,0.38439,0.38538,11461.6365,4430.573687251
1663387200,2022-09-17 04:00:00,UOS/USDT,0.38467,0.39189,0.38414,0.38571,15141.1399,5870.585073819
1663383600,2022-09-17 03:00:00,UOS/USDT,0.38948,0.38948,0.38349,0.38611,50962.1833,19680.408287488
1663380000,2022-09-17 02:00:00,UOS/USDT,0.38995,0.39214,0.38948,0.38948,4530.3527,1767.607300384
1663376400,2022-09-17 01:00:00,UOS/USDT,0.39376,0.39376,0.3899,0.38995,4545.8837,1776.508630579
1663372800,2022-09-17 00:00:00,UOS/USDT,0.38821,0.39489,0.38579,0.39242,37806.3375,14734.472749334
1663369200,2022-09-16 23:00:00,UOS/USDT,0.39682,0.39805,0.38799,0.38821,20101.9772,7897.232536573
1663365600,2022-09-16 22:00:00,UOS/USDT,0.40305,0.40509,0.39682,0.39682,21409.4238,8597.379724899
1663362000,2022-09-16 21:00:00,UOS/USDT,0.39976,0.40642,0.39682,0.40188,105712.5726,42263.672444666
1663358400,2022-09-16 20:00:00,UOS/USDT,0.39264,0.39974,0.39247,0.39906,22387.5349,8877.581594644
