https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MSWAP,Volume USDT
1663459200,2022-09-18 00:00:00,MSWAP/USDT,0.0008198,0.0008199,0.0008028,0.0008028,2206753.6703,1786.24088053832
1663455600,2022-09-17 23:00:00,MSWAP/USDT,0.0008153,0.00082,0.0008153,0.00082,2576518.7469,2108.47092896254
1663452000,2022-09-17 22:00:00,MSWAP/USDT,0.0008099,0.0008152,0.0008099,0.0008152,2729349.7974,2221.11206500103
1663448400,2022-09-17 21:00:00,MSWAP/USDT,0.0008133,0.0008133,0.0007974,0.00081,3467108.0178,2807.15095399358
1663444800,2022-09-17 20:00:00,MSWAP/USDT,0.0008258,0.0008363,0.0008143,0.0008143,1495663.0791,1230.38820605127
1663441200,2022-09-17 19:00:00,MSWAP/USDT,0.000828,0.000828,0.0008201,0.0008201,4170381.9882,3448.95142334188
1663437600,2022-09-17 18:00:00,MSWAP/USDT,0.000828,0.0008365,0.0008221,0.000828,12448766.5367,10366.06241695579
1663434000,2022-09-17 17:00:00,MSWAP/USDT,0.000812,0.000828,0.000812,0.000828,3835567.2877,3149.46390592578
1663430400,2022-09-17 16:00:00,MSWAP/USDT,0.0008412,0.00087,0.0008098,0.0008195,6420135.0363,5352.31404791047
1663426800,2022-09-17 15:00:00,MSWAP/USDT,0.000822,0.00085,0.0008097,0.0008455,8133783.3913,6726.75948741511
1663423200,2022-09-17 14:00:00,MSWAP/USDT,0.0007934,0.0008396,0.0007931,0.0008221,17656913.0838,14083.19102634048
1663419600,2022-09-17 13:00:00,MSWAP/USDT,0.0007931,0.0007934,0.0007862,0.0007934,20812277.3588,16505.79637218136
1663416000,2022-09-17 12:00:00,MSWAP/USDT,0.0007799,0.0007932,0.0007799,0.0007932,30375395.7974,23873.79243589516
1663412400,2022-09-17 11:00:00,MSWAP/USDT,0.0007939,0.0007939,0.0007799,0.0007799,29212694.0748,22894.66140341163
1663408800,2022-09-17 10:00:00,MSWAP/USDT,0.0007869,0.0007951,0.0007866,0.0007939,20036379.0952,15912.93056733808
1663405200,2022-09-17 09:00:00,MSWAP/USDT,0.0007731,0.0007866,0.0007731,0.0007866,879078.7382,687.54262291243
1663401600,2022-09-17 08:00:00,MSWAP/USDT,0.0007706,0.0007706,0.0007643,0.0007701,6600290.8321,5073.29922607162
1663398000,2022-09-17 07:00:00,MSWAP/USDT,0.000778,0.0007834,0.0007687,0.0007706,674887.2391,525.91627250653
1663394400,2022-09-17 06:00:00,MSWAP/USDT,0.0007701,0.0007834,0.000765,0.0007762,569665.3936,442.17470506029
1663390800,2022-09-17 05:00:00,MSWAP/USDT,0.0007669,0.0007761,0.0007669,0.0007759,963005.1857,746.14178976706
1663387200,2022-09-17 04:00:00,MSWAP/USDT,0.000778,0.000778,0.0007666,0.0007669,1267601.6995,984.68744635271
1663383600,2022-09-17 03:00:00,MSWAP/USDT,0.000778,0.000778,0.0007713,0.000778,2051858.8867,1596.11009481301
1663380000,2022-09-17 02:00:00,MSWAP/USDT,0.000778,0.0007834,0.0007713,0.0007713,4133524.7159,3227.63708403349
1663376400,2022-09-17 01:00:00,MSWAP/USDT,0.0007779,0.0007779,0.0007779,0.0007779,0,0
1663372800,2022-09-17 00:00:00,MSWAP/USDT,0.0007779,0.0007779,0.0007715,0.0007779,1560384.9545,1213.81808413627
1663369200,2022-09-16 23:00:00,MSWAP/USDT,0.0007726,0.000778,0.0007724,0.0007779,2540811.7812,1972.09756844737
1663365600,2022-09-16 22:00:00,MSWAP/USDT,0.0007761,0.000778,0.0007749,0.0007749,2858233.0959,2221.6658150215
1663362000,2022-09-16 21:00:00,MSWAP/USDT,0.0007741,0.0007821,0.0007713,0.0007713,4663410.8054,3639.54690581639
1663358400,2022-09-16 20:00:00,MSWAP/USDT,0.0007781,0.0007834,0.0007714,0.0007801,68463.6205,53.25361210805
1663354800,2022-09-16 19:00:00,MSWAP/USDT,0.0007825,0.000794,0.0007708,0.0007721,4211713.8552,3295.08311192736
1663351200,2022-09-16 18:00:00,MSWAP/USDT,0.0007833,0.0007998,0.0007734,0.0007825,8232851.1164,6452.63590681362
1663347600,2022-09-16 17:00:00,MSWAP/USDT,0.0007859,0.0007957,0.0007708,0.0007833,9915352.5332,7793.19883281783
1663344000,2022-09-16 16:00:00,MSWAP/USDT,0.000788,0.000788,0.0007769,0.000786,7350832.9487,5772.75414045172
1663340400,2022-09-16 15:00:00,MSWAP/USDT,0.0007903,0.0007998,0.0007791,0.000788,9395245.7524,7419.83432177648
1663336800,2022-09-16 14:00:00,MSWAP/USDT,0.0007902,0.0007957,0.0007837,0.0007837,15018187.5181,11937.98232025486
1663333200,2022-09-16 13:00:00,MSWAP/USDT,0.0008024,0.0008066,0.0007839,0.0007902,20817724.6819,16695.87008219596
1663329600,2022-09-16 12:00:00,MSWAP/USDT,0.0008024,0.0008025,0.0007957,0.0008024,29538525.0923,23701.7113250685
1663326000,2022-09-16 11:00:00,MSWAP/USDT,0.0008068,0.0008068,0.0007956,0.0008024,29607423.3879,23778.56402363935
1663322400,2022-09-16 10:00:00,MSWAP/USDT,0.0007953,0.0008096,0.0007953,0.0008068,30815493.416,24653.0634153419
1663318800,2022-09-16 09:00:00,MSWAP/USDT,0.0007753,0.0007953,0.0007701,0.0007953,2808661.9147,2195.87648717318
1663315200,2022-09-16 08:00:00,MSWAP/USDT,0.0007605,0.0007761,0.0007605,0.0007761,6499830.468,4996.44367031177
1663311600,2022-09-16 07:00:00,MSWAP/USDT,0.0007621,0.0007693,0.0007605,0.0007605,725186.1213,557.73184452818
1663308000,2022-09-16 06:00:00,MSWAP/USDT,0.0007599,0.0007694,0.0007599,0.0007621,137858.7144,105.66527640565
1663304400,2022-09-16 05:00:00,MSWAP/USDT,0.0007599,0.00076,0.0007543,0.0007598,1204415.6584,914.98400755483
1663300800,2022-09-16 04:00:00,MSWAP/USDT,0.0007629,0.000766,0.00075,0.0007583,1309500.8459,1001.35933672325
