https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume BRZ
1663545600000.0,2022-09-19 00:00:00,ETH/BRZ,7048.0,7084.0,7040.0,7084.0,0.9729904291360814,6892.6642
1663542000000.0,2022-09-18 23:00:00,ETH/BRZ,7080.0,7130.0,7032.0,7048.0,3.5560438989784338,25062.9974
1663538400000.0,2022-09-18 22:00:00,ETH/BRZ,7048.0,7080.0,7015.0,7080.0,6.5929303389830505,46677.9468
1663534800000.0,2022-09-18 21:00:00,ETH/BRZ,7244.0,7244.0,6990.0,7048.0,5.235052993757094,36896.6535
1663531200000.0,2022-09-18 20:00:00,ETH/BRZ,7300.0,7303.0,7228.0,7244.0,0.06112705687465488,442.8044
1663527600000.0,2022-09-18 19:00:00,ETH/BRZ,7254.0,7307.0,7239.0,7300.0,8.623803684931508,62953.7669
1663524000000.0,2022-09-18 18:00:00,ETH/BRZ,7251.0,7306.0,7213.0,7254.0,22.36612147780535,162243.8452
1663520400000.0,2022-09-18 17:00:00,ETH/BRZ,7371.0,7371.0,7251.0,7251.0,56.17993937387946,407360.7404
1663516800000.0,2022-09-18 16:00:00,ETH/BRZ,7471.0,7506.0,7332.0,7371.0,2.9407782390449055,21676.4764
1663513200000.0,2022-09-18 15:00:00,ETH/BRZ,7477.0,7508.0,7471.0,7471.0,0.2675640744210949,1998.9712
1663509600000.0,2022-09-18 14:00:00,ETH/BRZ,7564.0,7564.0,7450.0,7477.0,2.00199739200214,14968.9345
1663506000000.0,2022-09-18 13:00:00,ETH/BRZ,7576.0,7596.0,7564.0,7564.0,0.19335724484399788,1462.5542
1663502400000.0,2022-09-18 12:00:00,ETH/BRZ,7573.0,7579.0,7538.0,7576.0,0.034973297254487855,264.9577
1663498800000.0,2022-09-18 11:00:00,ETH/BRZ,7560.0,7576.0,7559.0,7573.0,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,ETH/BRZ,7531.0,7621.0,7486.0,7560.0,0.9688736772486773,7324.685
1663491600000.0,2022-09-18 09:00:00,ETH/BRZ,7661.0,7670.0,7524.0,7531.0,0.9991053777718762,7524.2626
1663488000000.0,2022-09-18 08:00:00,ETH/BRZ,7681.0,7691.0,7661.0,7661.0,0.1377,1054.9197
1663484400000.0,2022-09-18 07:00:00,ETH/BRZ,7678.0,7683.0,7672.0,7681.0,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,ETH/BRZ,7682.0,7689.0,7669.0,7678.0,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,ETH/BRZ,7662.0,7684.0,7647.0,7682.0,0.2064,1585.5648
1663473600000.0,2022-09-18 04:00:00,ETH/BRZ,7647.0,7664.0,7647.0,7662.0,0.0,0.0
1663470000000.0,2022-09-18 03:00:00,ETH/BRZ,7668.0,7673.0,7645.0,7647.0,0.3885771152085785,2971.4492
