https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume SGD
1663545600000,2022-09-19 00:00:00,ETH/SGD,1887.21,1910.85,1880.18,1899.78,14.187549,26953.22183922
1663542000000,2022-09-18 23:00:00,ETH/SGD,1896.44,1908.36,1878.62,1887.21,27.524062,51943.68504702
1663538400000,2022-09-18 22:00:00,ETH/SGD,1891.18,1896.44,1878.62,1896.44,25.745068,48823.97675792
1663534800000,2022-09-18 21:00:00,ETH/SGD,1932.43,1932.43,1877.0,1891.18,184.935506,349746.33023708
1663531200000,2022-09-18 20:00:00,ETH/SGD,1951.81,1951.81,1932.43,1932.43,0.275031,531.47815533
1663527600000,2022-09-18 19:00:00,ETH/SGD,1944.14,1954.77,1938.0,1951.81,16.218,31654.454579999998
1663524000000,2022-09-18 18:00:00,ETH/SGD,1945.0,1956.25,1932.0,1944.14,33.529597,65186.23071158001
1663520400000,2022-09-18 17:00:00,ETH/SGD,1970.0,1970.0,1940.0,1945.0,16.831775,32737.802375
1663516800000,2022-09-18 16:00:00,ETH/SGD,1999.71,2001.65,1960.0,1970.0,91.050221,179368.93537
1663513200000,2022-09-18 15:00:00,ETH/SGD,2026.71,2026.71,1996.44,1999.71,62.563856,125109.56848176
1663509600000,2022-09-18 14:00:00,ETH/SGD,2030.21,2030.21,2026.7,2026.71,16.829222,34107.952519620005
1663506000000,2022-09-18 13:00:00,ETH/SGD,2030.1,2044.66,2030.1,2030.21,22.194599,45059.696835790004
1663502400000,2022-09-18 12:00:00,ETH/SGD,2038.61,2038.61,2030.1,2030.1,7.870063,15977.0148963
1663498800000,2022-09-18 11:00:00,ETH/SGD,2042.48,2042.48,2032.87,2038.61,4.604904,9387.60334344
1663495200000,2022-09-18 10:00:00,ETH/SGD,2025.0,2042.48,2018.23,2042.48,6.253936,12773.53920128
1663491600000,2022-09-18 09:00:00,ETH/SGD,2052.48,2058.68,2025.0,2025.0,7.762794,15719.657850000001
1663488000000,2022-09-18 08:00:00,ETH/SGD,2054.75,2056.46,2052.39,2052.48,8.693018,17842.24558464
1663484400000,2022-09-18 07:00:00,ETH/SGD,2052.22,2056.25,2051.11,2054.75,7.548911,15511.12487725
1663480800000,2022-09-18 06:00:00,ETH/SGD,2057.41,2057.41,2050.0,2052.22,3.894629,7992.63552638
1663477200000,2022-09-18 05:00:00,ETH/SGD,2053.76,2057.45,2051.47,2057.41,2.506256,5156.39615696
