https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UOS,Volume BTC
1663459200,2022-09-18 00:00:00,UOS/BTC,0.00001996,0.0000201,0.00001992,0.00001993,43.8168,0.000875150387
1663372800,2022-09-17 00:00:00,UOS/BTC,0.00001972,0.00002015,0.00001935,0.00001996,25748.7932,0.506764214676
1663286400,2022-09-16 00:00:00,UOS/BTC,0.00002067,0.00002071,0.00001955,0.0000197,56741.4931,1.138008443718
1663200000,2022-09-15 00:00:00,UOS/BTC,0.0000204,0.00002169,0.00002003,0.00002055,63211.3661,1.302156355025
1663113600,2022-09-14 00:00:00,UOS/BTC,0.00002081,0.00002116,0.00002029,0.0000204,29258.401,0.604224471157
1663027200,2022-09-13 00:00:00,UOS/BTC,0.00001972,0.00002143,0.00001923,0.0000209,65976.8446,1.331867228624
1662940800,2022-09-12 00:00:00,UOS/BTC,0.00002104,0.00002205,0.00001942,0.00001976,80551.128,1.649138931864
1662854400,2022-09-11 00:00:00,UOS/BTC,0.00002159,0.00002199,0.00002085,0.00002101,14201.5291,0.302939014462
1662768000,2022-09-10 00:00:00,UOS/BTC,0.00001961,0.00002273,0.00001957,0.00002159,113820.3495,2.444615982001
1662681600,2022-09-09 00:00:00,UOS/BTC,0.00001984,0.00002088,0.00001871,0.00001957,141598.6739,2.759458568185
1662595200,2022-09-08 00:00:00,UOS/BTC,0.00001924,0.00002037,0.00001893,0.00001984,35945.9593,0.701801201179
1662508800,2022-09-07 00:00:00,UOS/BTC,0.00001761,0.00001957,0.00001718,0.00001924,121531.9045,2.179973893671
1662422400,2022-09-06 00:00:00,UOS/BTC,0.00001776,0.0000187,0.00001729,0.00001766,22821.2567,0.408249941063
1662336000,2022-09-05 00:00:00,UOS/BTC,0.00001776,0.00001814,0.00001757,0.00001776,7695.3473,0.137070500424
1662249600,2022-09-04 00:00:00,UOS/BTC,0.00001777,0.00001866,0.0000176,0.0000178,24354.1033,0.442819846509
1662163200,2022-09-03 00:00:00,UOS/BTC,0.00001721,0.00001824,0.00001704,0.00001771,18142.8107,0.322079417144
1662076800,2022-09-02 00:00:00,UOS/BTC,0.00001729,0.00001781,0.00001663,0.00001709,27038.0722,0.466784491734
1661990400,2022-09-01 00:00:00,UOS/BTC,0.00001744,0.00001796,0.00001631,0.00001718,140744.0782,2.39394671752
1661904000,2022-08-31 00:00:00,UOS/BTC,0.00001753,0.00001775,0.00001676,0.00001743,41350.6769,0.711179237943
1661817600,2022-08-30 00:00:00,UOS/BTC,0.0000179,0.00001854,0.00001738,0.00001754,57729.8148,1.032878201018
1661731200,2022-08-29 00:00:00,UOS/BTC,0.00001858,0.00002129,0.00001777,0.00001785,160539.4558,3.121912645839
1661644800,2022-08-28 00:00:00,UOS/BTC,0.00001703,0.00001908,0.00001652,0.00001858,77343.3045,1.352870473057
1661558400,2022-08-27 00:00:00,UOS/BTC,0.00001677,0.00001751,0.00001647,0.00001702,83375.631,1.411042531343
1661472000,2022-08-26 00:00:00,UOS/BTC,0.00001747,0.00001787,0.00001637,0.00001675,139151.9457,2.35181655078
1661385600,2022-08-25 00:00:00,UOS/BTC,0.00001596,0.00001915,0.00001572,0.00001744,245280.9628,4.273991740716
1661299200,2022-08-24 00:00:00,UOS/BTC,0.00001534,0.00001639,0.00001521,0.00001596,33238.0568,0.522551137791
1661212800,2022-08-23 00:00:00,UOS/BTC,0.00001499,0.00001556,0.00001459,0.00001534,33359.3402,0.506131243941
1661126400,2022-08-22 00:00:00,UOS/BTC,0.00001491,0.0000152,0.0000145,0.00001499,36522.7667,0.539845824897
1661040000,2022-08-21 00:00:00,UOS/BTC,0.00001442,0.0000153,0.00001411,0.00001492,49352.0491,0.726826129474
1660953600,2022-08-20 00:00:00,UOS/BTC,0.00001421,0.00001464,0.00001392,0.00001444,36303.9819,0.521395253458
1660867200,2022-08-19 00:00:00,UOS/BTC,0.00001441,0.00001465,0.00001377,0.00001417,108082.8517,1.537384821273
1660780800,2022-08-18 00:00:00,UOS/BTC,0.00001416,0.00001461,0.00001401,0.00001437,39590.3854,0.56595955825
1660694400,2022-08-17 00:00:00,UOS/BTC,0.00001479,0.00001494,0.00001401,0.00001416,138745.1217,1.993440074829
1660608000,2022-08-16 00:00:00,UOS/BTC,0.0000149,0.00001521,0.00001463,0.00001479,26667.7311,0.398777489064
1660521600,2022-08-15 00:00:00,UOS/BTC,0.0000155,0.00001596,0.00001484,0.00001491,54710.8224,0.846571913763
1660435200,2022-08-14 00:00:00,UOS/BTC,0.0000156,0.00001598,0.0000154,0.00001549,29559.6542,0.462974757161
1660348800,2022-08-13 00:00:00,UOS/BTC,0.00001611,0.00001621,0.00001552,0.00001562,21685.4294,0.342886749105
1660262400,2022-08-12 00:00:00,UOS/BTC,0.00001616,0.00001704,0.0000158,0.00001611,226164.9642,3.760629717168
