https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ZRX
1663545600000,2022-09-19 00:00:00,ZRX/BTC,1.372e-05,1.398e-05,1.368e-05,1.391e-05,0.08547695000000001,6145.0
1663459200000,2022-09-18 00:00:00,ZRX/BTC,1.453e-05,1.457e-05,1.367e-05,1.374e-05,1.7557722569908567,127785.46266309
1663372800000,2022-09-17 00:00:00,ZRX/BTC,1.43e-05,1.458e-05,1.422e-05,1.449e-05,1.7845748180235297,123159.06266553
1663286400000,2022-09-16 00:00:00,ZRX/BTC,1.428e-05,1.452e-05,1.416e-05,1.429e-05,1.8147317238868654,126993.12273526
1663200000000,2022-09-15 00:00:00,ZRX/BTC,1.453e-05,1.467e-05,1.407e-05,1.426e-05,1.9332999282055545,135575.03002844
1663113600000,2022-09-14 00:00:00,ZRX/BTC,1.444e-05,1.466e-05,1.417e-05,1.453e-05,1.4043336477862118,96650.62957923
1663027200000,2022-09-13 00:00:00,ZRX/BTC,1.43e-05,1.514e-05,1.402e-05,1.431e-05,1.6075763429255325,112339.36708075
1662940800000,2022-09-12 00:00:00,ZRX/BTC,1.436e-05,1.504e-05,1.418e-05,1.431e-05,1.7528453092404503,122490.93705384
1662854400000,2022-09-11 00:00:00,ZRX/BTC,1.442e-05,1.476e-05,1.418e-05,1.44e-05,1.7559782213888158,121942.93204089
1662768000000,2022-09-10 00:00:00,ZRX/BTC,1.467e-05,1.489e-05,1.431e-05,1.438e-05,1.828529339820665,127157.81222675
1662681600000,2022-09-09 00:00:00,ZRX/BTC,1.572e-05,1.572e-05,1.443e-05,1.467e-05,1.8992991447943541,129468.24436226
1662595200000,2022-09-08 00:00:00,ZRX/BTC,1.469e-05,1.576e-05,1.46e-05,1.572e-05,2.033956688056525,129386.55776441
1662508800000,2022-09-07 00:00:00,ZRX/BTC,1.453e-05,1.488e-05,1.43e-05,1.469e-05,1.8660431097333805,127028.12183345
1662422400000,2022-09-06 00:00:00,ZRX/BTC,1.512e-05,1.551e-05,1.444e-05,1.45e-05,1.884202367828875,129944.99088475
1662336000000,2022-09-05 00:00:00,ZRX/BTC,1.499e-05,1.517e-05,1.474e-05,1.511e-05,1.8036863124517515,119370.37143956
1662249600000,2022-09-04 00:00:00,ZRX/BTC,1.477e-05,1.509e-05,1.474e-05,1.497e-05,1.86389973,124509
