https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume EUR
1663545600,2022-09-19 00:00:00,KNC/EUR,1.43160,1.43160,1.41480,1.41480,236.73898273,334.938312766404
1663542000,2022-09-18 23:00:00,KNC/EUR,1.41961,1.43209,1.41960,1.43209,2867.14841573,4106.014574682776
1663538400,2022-09-18 22:00:00,KNC/EUR,1.42636,1.42637,1.38358,1.38358,927.00438852,1282.5847318685016
1663534800,2022-09-18 21:00:00,KNC/EUR,1.44500,1.45551,1.30000,1.39132,13356.68839757,18583.42770130709
1663531200,2022-09-18 20:00:00,KNC/EUR,1.42000,1.45595,1.38184,1.39979,2512.12561880,3516.4483199400524
1663527600,2022-09-18 19:00:00,KNC/EUR,1.45000,1.50764,1.38500,1.41000,3053.86649719,4305.9517610379
1663524000,2022-09-18 18:00:00,KNC/EUR,1.38738,1.61983,1.37000,1.40001,14470.55286658,20258.918718740664
1663520400,2022-09-18 17:00:00,KNC/EUR,1.32736,1.46740,1.32735,1.36860,13247.32687604,18130.291562548344
1663516800,2022-09-18 16:00:00,KNC/EUR,1.83000,1.83000,1.35000,1.35000,39248.20404367,52985.0754589545
1663513200,2022-09-18 15:00:00,KNC/EUR,1.86856,1.86856,1.86856,1.86856,0.00000000,0.0
1663509600,2022-09-18 14:00:00,KNC/EUR,1.86857,1.86857,1.86856,1.86856,700.00000000,1307.992
1663506000,2022-09-18 13:00:00,KNC/EUR,1.88153,1.88153,1.88153,1.88153,111.27218519,209.36195460054068
1663502400,2022-09-18 12:00:00,KNC/EUR,1.87787,1.87787,1.87787,1.87787,0.00000000,0.0
1663498800,2022-09-18 11:00:00,KNC/EUR,1.87152,1.87787,1.87152,1.87787,169.23518452,317.8016759545724
1663495200,2022-09-18 10:00:00,KNC/EUR,1.87466,1.87466,1.87154,1.87154,211.98302715,396.734714632311
1663491600,2022-09-18 09:00:00,KNC/EUR,1.86856,1.86856,1.86856,1.86856,0.00000000,0.0
1663488000,2022-09-18 08:00:00,KNC/EUR,1.86856,1.86856,1.86856,1.86856,37.95341750,70.9182378038
1663484400,2022-09-18 07:00:00,KNC/EUR,1.91784,1.91784,1.91784,1.91784,0.00000000,0.0
1663480800,2022-09-18 06:00:00,KNC/EUR,1.91784,1.91784,1.91784,1.91784,0.00000000,0.0
1663477200,2022-09-18 05:00:00,KNC/EUR,1.91784,1.91784,1.91784,1.91784,0.00000000,0.0
1663473600,2022-09-18 04:00:00,KNC/EUR,1.91784,1.91784,1.91784,1.91784,0.00000000,0.0
1663470000,2022-09-18 03:00:00,KNC/EUR,1.91784,1.91784,1.91784,1.91784,0.00000000,0.0
1663466400,2022-09-18 02:00:00,KNC/EUR,1.91784,1.91784,1.91784,1.91784,18.32489547,35.144217528184804
1663462800,2022-09-18 01:00:00,KNC/EUR,1.92499,1.92499,1.92499,1.92499,105.86786575,203.7945828900925
1663459200,2022-09-18 00:00:00,KNC/EUR,1.88572,1.88572,1.88572,1.88572,0.00000000,0.0
1663455600,2022-09-17 23:00:00,KNC/EUR,1.88572,1.88572,1.88572,1.88572,0.00000000,0.0
1663452000,2022-09-17 22:00:00,KNC/EUR,1.88572,1.88572,1.88572,1.88572,525.32025433,990.6069099951676
1663448400,2022-09-17 21:00:00,KNC/EUR,1.89705,1.89705,1.88106,1.88106,1341.08544686,2522.662190670472
1663444800,2022-09-17 20:00:00,KNC/EUR,1.93128,1.93128,1.93128,1.93128,0.00000000,0.0
1663441200,2022-09-17 19:00:00,KNC/EUR,1.93128,1.93128,1.93128,1.93128,0.00000000,0.0
1663437600,2022-09-17 18:00:00,KNC/EUR,1.93128,1.93128,1.93128,1.93128,0.00000000,0.0
