https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CTC,Volume BTC
1663459200,2022-09-18 00:00:00,CTC/BTC,0.00001613,0.00001616,0.00001613,0.00001616,62.4824,0.001008044425
1663372800,2022-09-17 00:00:00,CTC/BTC,0.00001604,0.00001633,0.00001601,0.00001608,269.0675,0.004331630083
1663286400,2022-09-16 00:00:00,CTC/BTC,0.00001602,0.00001629,0.00001598,0.00001598,191.5002,0.003092519023
1663200000,2022-09-15 00:00:00,CTC/BTC,0.00001625,0.00001655,0.00001466,0.00001607,1042.7496,0.016486906167
1663113600,2022-09-14 00:00:00,CTC/BTC,0.00001598,0.00001643,0.00001588,0.00001617,488.6905,0.007849079573
1663027200,2022-09-13 00:00:00,CTC/BTC,0.00001553,0.00001634,0.00001544,0.00001603,619.2044,0.009833487029
1662940800,2022-09-12 00:00:00,CTC/BTC,0.00001642,0.00001655,0.00001537,0.00001544,7243.5611,0.117085464881
1662854400,2022-09-11 00:00:00,CTC/BTC,0.00001615,0.00001656,0.00001598,0.00001645,754.2648,0.012225610721
1662768000,2022-09-10 00:00:00,CTC/BTC,0.00001697,0.00001719,0.00001593,0.0000161,2524.6281,0.041305832304
1662681600,2022-09-09 00:00:00,CTC/BTC,0.00001739,0.00001769,0.00001653,0.00001693,1954.3828,0.033250276171
1662595200,2022-09-08 00:00:00,CTC/BTC,0.00001748,0.0000181,0.000017,0.00001739,1201.6866,0.020899307025
1662508800,2022-09-07 00:00:00,CTC/BTC,0.0000167,0.00001795,0.00001655,0.0000175,7476.8421,0.130180339097
1662422400,2022-09-06 00:00:00,CTC/BTC,0.0000168,0.00001752,0.00001651,0.0000167,3392.9951,0.057891597847
1662336000,2022-09-05 00:00:00,CTC/BTC,0.00001696,0.00001704,0.00001679,0.00001682,1616.7508,0.02734980382
1662249600,2022-09-04 00:00:00,CTC/BTC,0.00001707,0.0000172,0.00001688,0.00001688,574.4208,0.009790945353
1662163200,2022-09-03 00:00:00,CTC/BTC,0.00001687,0.00001739,0.00001687,0.00001716,748.0981,0.012763484331
1662076800,2022-09-02 00:00:00,CTC/BTC,0.00001678,0.0000173,0.00001678,0.00001688,1635.0451,0.02788377173
1661990400,2022-09-01 00:00:00,CTC/BTC,0.00001697,0.00001723,0.0000165,0.00001667,16845.3796,0.281442981963
1661904000,2022-08-31 00:00:00,CTC/BTC,0.00001688,0.00005298,0.00001662,0.000017,46556.4088,0.897408762858
1661817600,2022-08-30 00:00:00,CTC/BTC,0.00001679,0.00001715,0.00001654,0.00001693,1058.0886,0.017934915342
1661731200,2022-08-29 00:00:00,CTC/BTC,0.00001672,0.00001702,0.00001617,0.00001663,1291.6105,0.021252260975
1661644800,2022-08-28 00:00:00,CTC/BTC,0.000017,0.0000173,0.00001679,0.00001679,402.2646,0.006835089212
1661558400,2022-08-27 00:00:00,CTC/BTC,0.00001719,0.00001817,0.0000167,0.000017,1796.8048,0.0313862883
