https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume RUB,tradecount
1663545600000,2022-09-19 00:00:00,BTC/RUB,1173368.00000000,1175000.00000000,1172333.00000000,1172599.00000000,0.32447000,380810.67164000,19
1663542000000,2022-09-18 23:00:00,BTC/RUB,1174162.00000000,1179062.00000000,1170820.00000000,1170820.00000000,0.62025000,728601.25355000,61
1663538400000,2022-09-18 22:00:00,BTC/RUB,1174022.00000000,1176094.00000000,1168938.00000000,1174165.00000000,0.16747000,196165.48966000,55
1663534800000,2022-09-18 21:00:00,BTC/RUB,1188035.00000000,1190525.00000000,1171917.00000000,1174400.00000000,0.80814000,951777.94770000,170
1663531200000,2022-09-18 20:00:00,BTC/RUB,1191602.00000000,1191997.00000000,1187589.00000000,1188687.00000000,0.30035000,357458.33150000,42
1663527600000,2022-09-18 19:00:00,BTC/RUB,1184000.00000000,1191033.00000000,1182072.00000000,1189902.00000000,0.32946000,390729.18711000,77
1663524000000,2022-09-18 18:00:00,BTC/RUB,1186050.00000000,1189838.00000000,1181605.00000000,1184001.00000000,0.49324000,584971.89014000,97
1663520400000,2022-09-18 17:00:00,BTC/RUB,1190348.00000000,1192829.00000000,1183832.00000000,1183832.00000000,0.32932000,391167.71859000,96
1663516800000,2022-09-18 16:00:00,BTC/RUB,1194562.00000000,1199705.00000000,1186090.00000000,1190199.00000000,0.75054000,894506.82576000,138
1663513200000,2022-09-18 15:00:00,BTC/RUB,1192747.00000000,1198734.00000000,1192726.00000000,1194562.00000000,0.69463000,831209.31575000,126
1663509600000,2022-09-18 14:00:00,BTC/RUB,1204657.00000000,1204657.00000000,1192592.00000000,1194074.00000000,0.84559000,1013592.49582000,138
1663506000000,2022-09-18 13:00:00,BTC/RUB,1206063.00000000,1208269.00000000,1202672.00000000,1204828.00000000,0.56619000,682414.53886000,107
1663502400000,2022-09-18 12:00:00,BTC/RUB,1203058.00000000,1209000.00000000,1199000.00000000,1206968.00000000,0.35259000,423991.13642000,59
1663498800000,2022-09-18 11:00:00,BTC/RUB,1202648.00000000,1205619.00000000,1200058.00000000,1201143.00000000,0.53009000,637091.58197000,79
1663495200000,2022-09-18 10:00:00,BTC/RUB,1196000.00000000,1209817.00000000,1193879.00000000,1202114.00000000,0.83693000,1006432.01806000,134
1663491600000,2022-09-18 09:00:00,BTC/RUB,1210980.00000000,1211700.00000000,1196003.00000000,1196261.00000000,1.60825000,1938081.85124000,194
1663488000000,2022-09-18 08:00:00,BTC/RUB,1211000.00000000,1213627.00000000,1208161.00000000,1210773.00000000,0.57737000,698680.25706000,77
1663484400000,2022-09-18 07:00:00,BTC/RUB,1209869.00000000,1211000.00000000,1207896.00000000,1210000.00000000,0.21149000,255735.03430000,50
1663480800000,2022-09-18 06:00:00,BTC/RUB,1210799.00000000,1213642.00000000,1208027.00000000,1208027.00000000,0.36427000,440883.72509000,74
1663477200000,2022-09-18 05:00:00,BTC/RUB,1205824.00000000,1213238.00000000,1205824.00000000,1210289.00000000,0.58854000,712343.43034000,70
1663473600000,2022-09-18 04:00:00,BTC/RUB,1206009.00000000,1208156.00000000,1202606.00000000,1206440.00000000,0.16376000,197529.70605000,38
1663470000000,2022-09-18 03:00:00,BTC/RUB,1208511.00000000,1208511.00000000,1204284.00000000,1204428.00000000,0.27860000,335633.42975000,36
1663466400000,2022-09-18 02:00:00,BTC/RUB,1205832.00000000,1209000.00000000,1205832.00000000,1207288.00000000,0.25690000,310395.48219000,38
1663462800000,2022-09-18 01:00:00,BTC/RUB,1207616.00000000,1209470.00000000,1204289.00000000,1205832.00000000,0.18749000,226444.32819000,47
1663459200000,2022-09-18 00:00:00,BTC/RUB,1213234.00000000,1213853.00000000,1205497.00000000,1207996.00000000,0.26767000,323221.81276000,46
1663455600000,2022-09-17 23:00:00,BTC/RUB,1213101.00000000,1216038.00000000,1211771.00000000,1215000.00000000,0.11166000,135634.22689000,32
1663452000000,2022-09-17 22:00:00,BTC/RUB,1210000.00000000,1214063.00000000,1207851.00000000,1214063.00000000,0.23200000,280909.05580000,39
1663448400000,2022-09-17 21:00:00,BTC/RUB,1211699.00000000,1212000.00000000,1202246.00000000,1207702.00000000,0.53471000,644918.32607000,72
1663444800000,2022-09-17 20:00:00,BTC/RUB,1207210.00000000,1211812.00000000,1206457.00000000,1210366.00000000,0.24022000,290182.82292000,59
1663441200000,2022-09-17 19:00:00,BTC/RUB,1212292.00000000,1213382.00000000,1207153.00000000,1208785.00000000,0.82350000,995840.77788000,81
1663437600000,2022-09-17 18:00:00,BTC/RUB,1213982.00000000,1216133.00000000,1209509.00000000,1213382.00000000,0.50647000,614444.62324000,111
1663434000000,2022-09-17 17:00:00,BTC/RUB,1216446.00000000,1219000.00000000,1210541.00000000,1213000.00000000,0.56160000,682467.45356000,109
1663430400000,2022-09-17 16:00:00,BTC/RUB,1206015.00000000,1219638.00000000,1206015.00000000,1214783.00000000,1.04025000,1261836.63980000,161
