https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FXS,Volume USDT
1663459200,2022-09-18 00:00:00,FXS/USDT,5.347,5.354,5.285,5.309,864.8633789,4601.17616195722
1663372800,2022-09-17 00:00:00,FXS/USDT,5.153,5.375,5.153,5.353,8939.31045344,47031.63550870472
1663286400,2022-09-16 00:00:00,FXS/USDT,5.393,5.425,5.079,5.146,19428.15683143,102389.42979712444
1663200000,2022-09-15 00:00:00,FXS/USDT,5.565,5.569,5.304,5.399,13921.31538586,75611.74262429745
1663113600,2022-09-14 00:00:00,FXS/USDT,5.609,5.649,5.474,5.564,24558.97337853,136408.47766962063
1663027200,2022-09-13 00:00:00,FXS/USDT,6.291,6.303,5.587,5.622,63101.20213652,378877.52524367806
1662940800,2022-09-12 00:00:00,FXS/USDT,6.554,6.591,6.271,6.305,26588.48010962,171511.19868794821
1662854400,2022-09-11 00:00:00,FXS/USDT,6.482,6.798,6.388,6.552,19101.39102139,124090.36277650481
1662768000,2022-09-10 00:00:00,FXS/USDT,6.533,6.886,6.38,6.473,18245.14412382,118205.99099252866
1662681600,2022-09-09 00:00:00,FXS/USDT,6.229,7.16,6.229,6.536,55632.8223968,368591.91367436706
1662595200,2022-09-08 00:00:00,FXS/USDT,6.209,6.39,6.116,6.231,29045.66391404,182292.86223742022
1662508800,2022-09-07 00:00:00,FXS/USDT,6.069,6.239,5.907,6.19,30877.33816318,186261.84253570308
1662422400,2022-09-06 00:00:00,FXS/USDT,6.447,7.013,6.073,6.077,75749.05129928,490178.33256035689
1662336000,2022-09-05 00:00:00,FXS/USDT,6.318,6.511,6.107,6.437,28336.92821064,178378.41437818805
1662249600,2022-09-04 00:00:00,FXS/USDT,6.023,6.336,6.016,6.313,13732.87215964,84982.1268967263
1662163200,2022-09-03 00:00:00,FXS/USDT,6.119,6.119,5.977,6.038,14723.90490662,88847.91218885814
1662076800,2022-09-02 00:00:00,FXS/USDT,5.702,6.177,5.661,6.11,51820.31352536,307904.86950306471
1661990400,2022-09-01 00:00:00,FXS/USDT,5.75,5.812,5.622,5.695,19040.58302402,108912.30726212246
1661904000,2022-08-31 00:00:00,FXS/USDT,5.876,6.053,5.738,5.754,45124.23905396,266274.73099092635
1661817600,2022-08-30 00:00:00,FXS/USDT,5.798,6.245,5.721,5.868,62779.43501535,370887.39738162437
1661731200,2022-08-29 00:00:00,FXS/USDT,5.652,5.812,5.623,5.798,16171.60796649,92549.18126639967
1661644800,2022-08-28 00:00:00,FXS/USDT,5.672,5.859,5.583,5.656,25118.2930708,143381.15741729072
1661558400,2022-08-27 00:00:00,FXS/USDT,5.877,5.935,5.627,5.665,38707.08002781,222359.12898432423
1661472000,2022-08-26 00:00:00,FXS/USDT,6.346,6.346,5.854,5.879,34284.43994179,208690.36611276363
1661385600,2022-08-25 00:00:00,FXS/USDT,6.274,6.439,6.269,6.344,23207.77178337,147911.59333611836
1661299200,2022-08-24 00:00:00,FXS/USDT,6.448,6.455,6.105,6.263,41210.48408198,257823.55001798844
1661212800,2022-08-23 00:00:00,FXS/USDT,6.6,6.642,6.377,6.443,31003.51645679,201093.03905161439
1661126400,2022-08-22 00:00:00,FXS/USDT,6.752,6.875,6.392,6.591,45485.66704387,300701.77138562771
1661040000,2022-08-21 00:00:00,FXS/USDT,6.396,6.843,6.375,6.779,44577.75213431,294038.96446479474
1660953600,2022-08-20 00:00:00,FXS/USDT,6.371,6.827,6.232,6.403,130666.69370586,851999.6300533539
1660867200,2022-08-19 00:00:00,FXS/USDT,6.169,6.614,5.966,6.356,201772.34659363,1271311.26902066744
1660780800,2022-08-18 00:00:00,FXS/USDT,5.867,6.219,5.837,6.189,20506.159521,122866.63816803928
1660694400,2022-08-17 00:00:00,FXS/USDT,6.048,6.259,5.827,5.877,85585.99159446,518379.86941561595
1660608000,2022-08-16 00:00:00,FXS/USDT,6.092,6.12,5.797,6.061,93235.89874716,556169.246622919
1660521600,2022-08-15 00:00:00,FXS/USDT,6.42,6.567,5.997,6.101,64218.6456336,399966.1559064531
1660435200,2022-08-14 00:00:00,FXS/USDT,6.632,6.747,6.393,6.409,41498.29490852,273456.2951350389
1660348800,2022-08-13 00:00:00,FXS/USDT,6.778,6.971,6.615,6.627,37082.79452539,252858.79742622992
1660262400,2022-08-12 00:00:00,FXS/USDT,6.707,6.785,6.388,6.781,50195.3733312,329812.04967732669
1660176000,2022-08-11 00:00:00,FXS/USDT,7.046,7.277,6.676,6.711,69972.90726201,487860.95449890004
1660089600,2022-08-10 00:00:00,FXS/USDT,6.984,7.3,6.797,7.048,44457.2713043,312727.26592292951
1660003200,2022-08-09 00:00:00,FXS/USDT,7.691,7.731,6.822,6.976,93051.18436772,685020.54856743261
1659916800,2022-08-08 00:00:00,FXS/USDT,7.237,8.095,7.229,7.692,93503.20615098,717131.35509942994
1659830400,2022-08-07 00:00:00,FXS/USDT,7.159,7.363,7.118,7.247,11084.26933613,80403.08042804756
1659744000,2022-08-06 00:00:00,FXS/USDT,7.439,7.497,7.142,7.157,12601.95578953,92324.38028237
1659657600,2022-08-05 00:00:00,FXS/USDT,7.164,7.543,7.142,7.436,24853.80043173,183703.88347644443
1659571200,2022-08-04 00:00:00,FXS/USDT,7.308,7.51,7.166,7.169,43726.87771446,321254.844881637
1659484800,2022-08-03 00:00:00,FXS/USDT,7.001,7.665,6.845,7.322,78699.57846692,570033.83810978166
1659398400,2022-08-02 00:00:00,FXS/USDT,7.254,7.38,6.84,7.002,46605.23032488,329500.89061895473
