https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KLV,Volume USDT
1663459200,2022-09-18 00:00:00,KLV/USDT,0.00477,0.00478,0.00475,0.00478,713630.0618,3399.107428086
1663372800,2022-09-17 00:00:00,KLV/USDT,0.00472,0.0048,0.00465,0.00478,22811732.39219589,107865.9812242820083
1663286400,2022-09-16 00:00:00,KLV/USDT,0.00488,0.00492,0.00464,0.00471,18524902.34100547,87937.5343938643921
1663200000,2022-09-15 00:00:00,KLV/USDT,0.00485,0.0051,0.00471,0.00489,28878720.08923639,140968.6567188487902
1663113600,2022-09-14 00:00:00,KLV/USDT,0.00457,0.00493,0.00456,0.00485,26248433.57526317,124593.9533810638528
1663027200,2022-09-13 00:00:00,KLV/USDT,0.00509,0.00526,0.00443,0.00456,48592114.42286756,232978.7846670265721
1662940800,2022-09-12 00:00:00,KLV/USDT,0.00517,0.00555,0.00504,0.0051,38177740.43881627,199693.1664460844988
1662854400,2022-09-11 00:00:00,KLV/USDT,0.00578,0.0058,0.00501,0.00518,46667792.14287751,248955.589572282083
1662768000,2022-09-10 00:00:00,KLV/USDT,0.00578,0.0059,0.00567,0.00579,21265758.08314484,122563.1083488125699
1662681600,2022-09-09 00:00:00,KLV/USDT,0.00567,0.00603,0.00557,0.00577,23539685.586372,136242.6316010620812
1662595200,2022-09-08 00:00:00,KLV/USDT,0.0055,0.00595,0.00539,0.00567,40019450.08339292,227079.3354009234274
1662508800,2022-09-07 00:00:00,KLV/USDT,0.00555,0.00555,0.00461,0.00551,64141857.39182833,330346.3189571496709
1662422400,2022-09-06 00:00:00,KLV/USDT,0.00591,0.00605,0.0055,0.00555,43907259.13887125,253998.0966594267651
1662336000,2022-09-05 00:00:00,KLV/USDT,0.00661,0.00663,0.0058,0.00591,34769063.67006755,216579.2012855358422
1662249600,2022-09-04 00:00:00,KLV/USDT,0.00667,0.0067,0.00649,0.00662,13307644.35048576,88099.4145769504068
1662163200,2022-09-03 00:00:00,KLV/USDT,0.0066,0.00672,0.00651,0.00667,9240657.5365195,61235.9871473384009
1662076800,2022-09-02 00:00:00,KLV/USDT,0.00648,0.00677,0.0064,0.0066,17435489.66348736,114142.1375126371785
