https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume BTC
1663372800,2022-09-17 00:00:00,BURGER/BTC,0.00005161,0.00005377,0.00005144,0.00005193,470.7756,0.024686500144
1663286400,2022-09-16 00:00:00,BURGER/BTC,0.00005296,0.00005364,0.00005121,0.0000516,280.6947,0.014676817741
1663200000,2022-09-15 00:00:00,BURGER/BTC,0.00005404,0.0000543,0.00005242,0.00005253,383.3691,0.020369387098
1663113600,2022-09-14 00:00:00,BURGER/BTC,0.00005215,0.00005988,0.00005177,0.00005431,3403.7989,0.189909101012
1663027200,2022-09-13 00:00:00,BURGER/BTC,0.00005026,0.00005215,0.0000488,0.00005168,1803.9465,0.092076774079
1662940800,2022-09-12 00:00:00,BURGER/BTC,0.00005204,0.00005237,0.00004581,0.00005056,2477.3321,0.125662356293
1662854400,2022-09-11 00:00:00,BURGER/BTC,0.00005266,0.00005358,0.00005229,0.00005229,512.6335,0.027074901721
1662768000,2022-09-10 00:00:00,BURGER/BTC,0.00005442,0.00005481,0.00005101,0.00005233,2407.0404,0.127463672186
1662681600,2022-09-09 00:00:00,BURGER/BTC,0.00005695,0.00005757,0.00005322,0.00005442,2612.247,0.143535345925
1662595200,2022-09-08 00:00:00,BURGER/BTC,0.00005752,0.00005827,0.00005596,0.00005695,743.232,0.04240978001
1662508800,2022-09-07 00:00:00,BURGER/BTC,0.00005635,0.00006156,0.00005596,0.00005782,4285.7378,0.251773740428
1662422400,2022-09-06 00:00:00,BURGER/BTC,0.00005698,0.00005797,0.00005544,0.00005643,1069.3431,0.060790661722
1662336000,2022-09-05 00:00:00,BURGER/BTC,0.00005728,0.00006051,0.00005629,0.00005748,1606.1029,0.093542864999
1662249600,2022-09-04 00:00:00,BURGER/BTC,0.0000568,0.00006256,0.0000568,0.00005695,4992.0639,0.298238410731
1662163200,2022-09-03 00:00:00,BURGER/BTC,0.00005583,0.00005788,0.00005574,0.00005643,852.4026,0.04834886821
1662076800,2022-09-02 00:00:00,BURGER/BTC,0.00005578,0.00005728,0.00005544,0.00005586,750.7231,0.042287369517
1661990400,2022-09-01 00:00:00,BURGER/BTC,0.00005717,0.0000583,0.00005489,0.00005578,2463.3058,0.140010585628
1661904000,2022-08-31 00:00:00,BURGER/BTC,0.00005776,0.00005854,0.00005553,0.00005714,1477.9012,0.084234543914
