https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume USDT
1663462800,2022-09-18 01:00:00,DOT/USDT,7.0041,7.0041,6.974,6.9878,2711.8988599,18952.143288302038
1663459200,2022-09-18 00:00:00,DOT/USDT,7.0577,7.0605,6.9965,7.0048,11387.80448799,79951.098862520169
1663455600,2022-09-17 23:00:00,DOT/USDT,7.0139,7.0666,7.0139,7.0567,13259.13203157,93407.579665888146
1663452000,2022-09-17 22:00:00,DOT/USDT,7.0862,7.0924,7.0085,7.0131,31683.1238783,223057.74286529328
1663448400,2022-09-17 21:00:00,DOT/USDT,7.1534,7.1583,7.0794,7.0861,9527.23229855,67881.515524555079
1663444800,2022-09-17 20:00:00,DOT/USDT,7.1133,7.157,7.109,7.155,12076.05321672,86089.189288638389
1663441200,2022-09-17 19:00:00,DOT/USDT,7.1318,7.1323,7.0948,7.1133,8206.30529169,58332.502327762583
1663437600,2022-09-17 18:00:00,DOT/USDT,7.1197,7.1345,7.1062,7.1285,5329.01314857,37955.491060372599
1663434000,2022-09-17 17:00:00,DOT/USDT,7.131,7.1544,7.1126,7.118,13701.65799536,97729.57411936214
1663430400,2022-09-17 16:00:00,DOT/USDT,7.0772,7.152,7.0756,7.133,98872.61457907,704175.30043324471
1663426800,2022-09-17 15:00:00,DOT/USDT,7.07,7.0896,7.051,7.0754,11700.62045565,82739.989166438041
1663423200,2022-09-17 14:00:00,DOT/USDT,7,7.0722,7,7.0696,14188.83583685,99979.237211176951
1663419600,2022-09-17 13:00:00,DOT/USDT,6.9785,7.0049,6.96,7,10270.63710459,71654.611445496756
1663416000,2022-09-17 12:00:00,DOT/USDT,6.9521,6.982,6.9247,6.9758,5942.61492827,41330.934102183136
1663412400,2022-09-17 11:00:00,DOT/USDT,6.9795,6.9869,6.949,6.9549,7552.2200414,52661.890478313594
1663408800,2022-09-17 10:00:00,DOT/USDT,7.0302,7.0353,6.9552,6.9796,24524.25079115,171623.676161273168
1663405200,2022-09-17 09:00:00,DOT/USDT,7.0229,7.0361,7.0122,7.0306,4762.34597638,33456.478533031801
1663401600,2022-09-17 08:00:00,DOT/USDT,7.0266,7.0356,7.0157,7.0233,6630.08460471,46596.797939614547
1663398000,2022-09-17 07:00:00,DOT/USDT,6.9976,7.0266,6.9973,7.0257,8895.63248886,62348.310537974126
1663394400,2022-09-17 06:00:00,DOT/USDT,6.9981,7.0009,6.9682,6.9961,5241.63649004,36618.893507761226
1663390800,2022-09-17 05:00:00,DOT/USDT,7.0184,7.0184,6.9831,6.9983,4453.9534727,31148.400581589358
1663387200,2022-09-17 04:00:00,DOT/USDT,6.9851,7.028,6.9838,7.0181,18084.93514664,126873.032341720989
1663383600,2022-09-17 03:00:00,DOT/USDT,7.0041,7.0041,6.9797,6.9819,7342.15609278,51306.187667717174
1663380000,2022-09-17 02:00:00,DOT/USDT,7.0363,7.04,6.9859,6.9971,14120.03613133,98981.03387638646
1663376400,2022-09-17 01:00:00,DOT/USDT,7.0189,7.0596,7.0122,7.0369,20485.60522636,144073.620079355116
1663372800,2022-09-17 00:00:00,DOT/USDT,6.9045,7.0423,6.904,7.0189,27688.30138146,193369.54433962346
1663369200,2022-09-16 23:00:00,DOT/USDT,6.8701,6.9097,6.8641,6.9037,12209.57074013,84045.323663495863
1663365600,2022-09-16 22:00:00,DOT/USDT,6.8596,6.8999,6.8441,6.866,14906.63695208,102506.951568941742
1663362000,2022-09-16 21:00:00,DOT/USDT,6.8705,6.8781,6.8449,6.8555,7913.9402791,54303.798951955625
1663358400,2022-09-16 20:00:00,DOT/USDT,6.815,6.8728,6.8144,6.8689,9826.71670698,67308.28346086545
1663354800,2022-09-16 19:00:00,DOT/USDT,6.77,6.8922,6.7649,6.8126,29952.18446834,204502.80085185347
1663351200,2022-09-16 18:00:00,DOT/USDT,6.76,6.8003,6.7258,6.7692,14438.87392115,97705.823959854528
1663347600,2022-09-16 17:00:00,DOT/USDT,6.7948,6.8033,6.7,6.7621,35588.91446725,240198.069862670788
1663344000,2022-09-16 16:00:00,DOT/USDT,6.8437,6.8437,6.7298,6.7948,24973.52832669,169338.006819863201
1663340400,2022-09-16 15:00:00,DOT/USDT,6.8372,6.8725,6.8177,6.8437,25461.51564194,174371.327659551053
1663336800,2022-09-16 14:00:00,DOT/USDT,6.7763,6.8904,6.7627,6.8392,15555.01948207,106373.861291576789
1663333200,2022-09-16 13:00:00,DOT/USDT,6.8438,6.87,6.7504,6.7777,108176.32442519,738092.771594299108
1663329600,2022-09-16 12:00:00,DOT/USDT,6.9212,6.9265,6.8359,6.8403,11739.47244021,80738.426283512275
1663326000,2022-09-16 11:00:00,DOT/USDT,6.9081,6.9212,6.8742,6.9212,17267.33290052,119066.024082701276
1663322400,2022-09-16 10:00:00,DOT/USDT,6.8819,6.9221,6.8735,6.9076,9068.1523938,62546.487650457402
1663318800,2022-09-16 09:00:00,DOT/USDT,6.8241,6.8928,6.8239,6.8812,17753.38318474,121956.375304134075
1663315200,2022-09-16 08:00:00,DOT/USDT,6.89,6.8923,6.8143,6.825,17019.94693913,116538.864896380822
1663311600,2022-09-16 07:00:00,DOT/USDT,6.8986,6.9189,6.8853,6.8902,6383.37354144,44072.654031016974
