https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1663545600000,2022-09-19 00:00:00,ETH/USD,1475.4816,1497.222,1474.173,1495.376,95608.46579366704,63.93607079
1663459200000,2022-09-18 00:00:00,ETH/USD,1618.7824,1618.7824,1470.0,1478.249,1954841.9350587882,1322.40369184
1663372800000,2022-09-17 00:00:00,ETH/USD,1581.0817,1626.9326,1556.5846,1619.2402,2048744.8152203644,1265.25071155
1663286400000,2022-09-16 00:00:00,ETH/USD,1623.9076,1637.2159,1558.3789,1579.9355,2045712.871383349,1294.80783955
1663200000000,2022-09-15 00:00:00,ETH/USD,1795.899,1816.0499,1616.0,1625.7459,2294339.514035115,1411.25345236
1663113600000,2022-09-14 00:00:00,ETH/USD,1726.0205,1806.8991,1710.0,1797.0831,1857853.8967854383,1033.81635317
1663027200000,2022-09-13 00:00:00,ETH/USD,1859.8897,1893.0,1713.69,1727.5356,2442412.4969962314,1413.81312026
1662940800000,2022-09-12 00:00:00,ETH/USD,1914.0,1931.6618,1840.0,1860.0294,2372519.83932769,1275.52813914
1662854400000,2022-09-11 00:00:00,ETH/USD,1932.9196,1937.1885,1870.018,1914.1975,2389282.9207313214,1248.19038826
1662768000000,2022-09-10 00:00:00,ETH/USD,1878.4908,1944.9997,1865.4572,1931.7576,2395263.6305086706,1239.94005796
1662681600000,2022-09-09 00:00:00,ETH/USD,1800.3724,1908.1601,1798.9757,1881.3194,2454186.101313317,1304.50262795
1662595200000,2022-09-08 00:00:00,ETH/USD,1802.1123,1827.28,1757.2457,1801.5541,2036278.1664310552,1130.28976839
1662508800000,2022-09-07 00:00:00,ETH/USD,1719.4663,1830.9604,1650.0001,1800.8963,2385331.2717235563,1324.52450023
1662422400000,2022-09-06 00:00:00,ETH/USD,1786.1375,1852.0856,1718.6542,1719.59,2459585.182109333,1430.33233626
1662336000000,2022-09-05 00:00:00,ETH/USD,1739.2886,1793.0,1717.0956,1783.1062,2231079.883117624,1251.2321942
1662249600000,2022-09-04 00:00:00,ETH/USD,1717.157,1744.5,1704.3798,1738.494,2099078.4260658305,1207.41194739
1662163200000,2022-09-03 00:00:00,ETH/USD,1737.3764,1742.8786,1696.2165,1718.1937,2081538.570725547,1211.4690973
1662076800000,2022-09-02 00:00:00,ETH/USD,1748.3023,1812.4896,1708.0001,1738.5408,2294286.3141025472,1319.66204883
1661990400000,2022-09-01 00:00:00,ETH/USD,1729.3286,1759.9989,1674.0001,1750.1727,3313159.051454293,1893.046927
1661904000000,2022-08-31 00:00:00,ETH/USD,1686.4443,1785.5013,1686.4443,1729.6669,2448013.4662312586,1415.30919406
1661817600000,2022-08-30 00:00:00,ETH/USD,1714.3504,1773.5546,1625.34,1684.4219,2231235.923747495,1324.63008451
