https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SIN,Volume USDT
1663372800,2022-09-17 00:00:00,SIN/USDT,0.01334,0.01346,0.01334,0.01346,878.2786,11.78493524
1663286400,2022-09-16 00:00:00,SIN/USDT,0.01364,0.01372,0.01318,0.01349,552469.3651,7501.702328447
1663200000,2022-09-15 00:00:00,SIN/USDT,0.0139,0.01395,0.01333,0.01366,2038554.8891,28077.246744969
1663113600,2022-09-14 00:00:00,SIN/USDT,0.01403,0.01421,0.01317,0.01391,11782615.6437,161935.092537184
1663027200,2022-09-13 00:00:00,SIN/USDT,0.01406,0.01466,0.01369,0.01403,17041634.0315,237938.954533319
1662940800,2022-09-12 00:00:00,SIN/USDT,0.01383,0.01448,0.01364,0.01406,30640084.7431,428377.781223582
1662854400,2022-09-11 00:00:00,SIN/USDT,0.01432,0.01456,0.01377,0.01383,20694305.2483,290468.864544599
1662768000,2022-09-10 00:00:00,SIN/USDT,0.01424,0.01525,0.01424,0.01433,13047496.3343,189524.966391558
1662681600,2022-09-09 00:00:00,SIN/USDT,0.01407,0.01454,0.0139,0.01425,11147522.3781,158118.037826804
1662595200,2022-09-08 00:00:00,SIN/USDT,0.01379,0.01435,0.01365,0.01406,17994313.6874,250880.480375344
1662508800,2022-09-07 00:00:00,SIN/USDT,0.01374,0.01399,0.01351,0.01379,13912313.5156,190680.454202913
1662422400,2022-09-06 00:00:00,SIN/USDT,0.01376,0.01413,0.01371,0.01374,12220867.2506,168967.448207355
1662336000,2022-09-05 00:00:00,SIN/USDT,0.01407,0.01437,0.01367,0.01376,4893850.1894,68481.16492411
1662249600,2022-09-04 00:00:00,SIN/USDT,0.01369,0.01437,0.01367,0.01407,6847965.4228,95141.689441988
1662163200,2022-09-03 00:00:00,SIN/USDT,0.01411,0.01418,0.01358,0.01369,9591706.5381,133478.840463258
1662076800,2022-09-02 00:00:00,SIN/USDT,0.01405,0.01468,0.01404,0.0141,8678444.5873,124260.067918131
