https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMEE,Volume USDT
1663459200,2022-09-18 00:00:00,GMEE/USDT,0.01215,0.01222,0.012,0.01207,470475.1557,5697.221769046
1663372800,2022-09-17 00:00:00,GMEE/USDT,0.01192,0.01265,0.01188,0.01222,13775353.2063,167177.072208751
1663286400,2022-09-16 00:00:00,GMEE/USDT,0.01243,0.01332,0.01179,0.01198,12733075.3581,157973.642610975
1663200000,2022-09-15 00:00:00,GMEE/USDT,0.01208,0.01369,0.01201,0.01248,14873324.8198,189109.169189216
1663113600,2022-09-14 00:00:00,GMEE/USDT,0.01218,0.01289,0.0117,0.0121,18460090.8366,224850.093400237
1663027200,2022-09-13 00:00:00,GMEE/USDT,0.01364,0.01372,0.01191,0.01213,7357037.9091,94775.153174704
1662940800,2022-09-12 00:00:00,GMEE/USDT,0.01181,0.0168,0.01164,0.01365,36510806.9887,510442.141085753
1662854400,2022-09-11 00:00:00,GMEE/USDT,0.01143,0.01269,0.01093,0.01185,9537486.4073,109345.899862607
1662768000,2022-09-10 00:00:00,GMEE/USDT,0.01105,0.01149,0.01092,0.01139,7039015.7112,78659.688376625
1662681600,2022-09-09 00:00:00,GMEE/USDT,0.01087,0.01162,0.0108,0.01105,9740822.133,109623.765290392
1662595200,2022-09-08 00:00:00,GMEE/USDT,0.01112,0.01189,0.01077,0.01088,10142815.2023,113685.54942999
1662508800,2022-09-07 00:00:00,GMEE/USDT,0.01001,0.0126,0.00998,0.01112,28030122.3053,314927.20381668
1662422400,2022-09-06 00:00:00,GMEE/USDT,0.01063,0.01101,0.00998,0.01,9805152.9256,102678.442640526
1662336000,2022-09-05 00:00:00,GMEE/USDT,0.01039,0.01082,0.01004,0.01067,7953952.2682,82813.923976776
1662249600,2022-09-04 00:00:00,GMEE/USDT,0.01,0.0112,0.00994,0.01043,12114631.6297,124681.54126269
1662163200,2022-09-03 00:00:00,GMEE/USDT,0.01,0.0103,0.00982,0.01,8884726.3516,89006.418997894
1662076800,2022-09-02 00:00:00,GMEE/USDT,0.01,0.01059,0.00982,0.01,10210215.1571,102897.358283676213
1661990400,2022-09-01 00:00:00,GMEE/USDT,0.01,0.01051,0.00982,0.01004,10083866.0906,101532.180547066
1661904000,2022-08-31 00:00:00,GMEE/USDT,0.01001,0.01058,0.00998,0.01003,11271634.4149,114403.535633814
1661817600,2022-08-30 00:00:00,GMEE/USDT,0.01,0.01059,0.00991,0.01003,12767800.0634,129284.022840539
1661731200,2022-08-29 00:00:00,GMEE/USDT,0.01,0.01039,0.00989,0.01,10899915.8693,109664.900255458
1661644800,2022-08-28 00:00:00,GMEE/USDT,0.01034,0.0105,0.00965,0.01,10019610.0603,100859.496421374
