https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETHHALF,Volume USD
1663545600000.0,2022-09-19 00:00:00,ETHHALF/USD,19563.0,20328.0,19538.0,19628.0,0.0,0.0
1663542000000.0,2022-09-18 23:00:00,ETHHALF/USD,19604.0,19708.0,19534.0,19563.0,0.0,0.0
1663538400000.0,2022-09-18 22:00:00,ETHHALF/USD,19562.0,19635.0,19515.0,19604.0,0.0,0.0
1663534800000.0,2022-09-18 21:00:00,ETHHALF/USD,19823.0,19847.0,19515.0,19562.0,0.0,0.0
1663531200000.0,2022-09-18 20:00:00,ETHHALF/USD,19887.0,19903.0,19794.0,19823.0,0.0,0.0
1663527600000.0,2022-09-18 19:00:00,ETHHALF/USD,19840.0,19932.0,19802.0,19887.0,0.0,0.0
1663524000000.0,2022-09-18 18:00:00,ETHHALF/USD,19862.0,19936.0,19797.0,19840.0,0.0,0.0
1663520400000.0,2022-09-18 17:00:00,ETHHALF/USD,19988.0,20023.0,19843.0,19862.0,0.0,0.0
1663516800000.0,2022-09-18 16:00:00,ETHHALF/USD,20137.0,20195.0,19937.0,19988.0,0.0,0.0
1663513200000.0,2022-09-18 15:00:00,ETHHALF/USD,20160.0,20201.0,20116.0,20137.0,0.0,0.0
1663509600000.0,2022-09-18 14:00:00,ETHHALF/USD,20260.0,20293.0,20092.0,20160.0,0.0,0.0
1663506000000.0,2022-09-18 13:00:00,ETHHALF/USD,20280.0,20307.0,20239.0,20260.0,0.0,0.0
1663502400000.0,2022-09-18 12:00:00,ETHHALF/USD,20254.0,20307.0,20204.0,20280.0,0.0,0.0
1663498800000.0,2022-09-18 11:00:00,ETHHALF/USD,20238.0,20283.0,20231.0,20254.0,0.0,0.0
1663495200000.0,2022-09-18 10:00:00,ETHHALF/USD,20187.0,20324.0,20147.0,20238.0,0.0,0.0
1663491600000.0,2022-09-18 09:00:00,ETHHALF/USD,20400.0,20435.0,20184.0,20187.0,0.0,0.0
1663488000000.0,2022-09-18 08:00:00,ETHHALF/USD,20390.0,20435.0,20382.0,20400.0,0.0,0.0
1663484400000.0,2022-09-18 07:00:00,ETHHALF/USD,20413.0,20435.0,20383.0,20390.0,0.0,0.0
1663480800000.0,2022-09-18 06:00:00,ETHHALF/USD,20418.0,20435.0,20369.0,20388.0,0.0,0.0
1663477200000.0,2022-09-18 05:00:00,ETHHALF/USD,20387.0,20435.0,20379.0,20418.0,0.0,0.0
