https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RMRK,Volume USDT
1663376400,2022-09-17 01:00:00,RMRK/USDT,2.4567,2.4567,2.4341,2.4341,1087.0761,2659.0509002
1663372800,2022-09-17 00:00:00,RMRK/USDT,2.3942,2.5215,2.3847,2.4504,12865.0617,31776.76876744
1663369200,2022-09-16 23:00:00,RMRK/USDT,2.3773,2.3942,2.3654,2.3942,1181.2207,2814.75017765
1663365600,2022-09-16 22:00:00,RMRK/USDT,2.3656,2.3938,2.3509,2.3726,2589.9487,6139.94711616
1663362000,2022-09-16 21:00:00,RMRK/USDT,2.3823,2.3922,2.3635,2.3658,1539.2028,3663.46351731
1663358400,2022-09-16 20:00:00,RMRK/USDT,2.3559,2.3825,2.353,2.3825,4531.1387,10715.72308181
1663354800,2022-09-16 19:00:00,RMRK/USDT,2.3431,2.3756,2.3424,2.3641,3544.2223,8362.22333817
1663351200,2022-09-16 18:00:00,RMRK/USDT,2.3478,2.3598,2.3368,2.3506,5154.676,12082.36229702
1663347600,2022-09-16 17:00:00,RMRK/USDT,2.3393,2.3471,2.3118,2.3471,2900.5808,6746.86568666
1663344000,2022-09-16 16:00:00,RMRK/USDT,2.3675,2.3675,2.3177,2.3376,1985.3036,4642.5521096
1663340400,2022-09-16 15:00:00,RMRK/USDT,2.3837,2.3837,2.345,2.3641,3524.5333,8328.4449758
1663336800,2022-09-16 14:00:00,RMRK/USDT,2.3259,2.3883,2.3213,2.3874,4427.0547,10445.00499753
1663333200,2022-09-16 13:00:00,RMRK/USDT,2.3449,2.3579,2.3167,2.3216,4384.6952,10275.57428002
1663329600,2022-09-16 12:00:00,RMRK/USDT,2.3662,2.3662,2.3396,2.3426,1557.5984,3668.96757419
1663326000,2022-09-16 11:00:00,RMRK/USDT,2.3622,2.364,2.349,2.3638,1420.4641,3349.41356934
1663322400,2022-09-16 10:00:00,RMRK/USDT,2.3185,2.37,2.3185,2.3606,4083.0407,9541.46829707
1663318800,2022-09-16 09:00:00,RMRK/USDT,2.316,2.322,2.3,2.3185,1557.7541,3596.89610118
1663315200,2022-09-16 08:00:00,RMRK/USDT,2.3227,2.3228,2.3,2.3104,6080.0733,13999.0101521
1663311600,2022-09-16 07:00:00,RMRK/USDT,2.3209,2.3259,2.3173,2.3173,960.6333,2230.46565568
1663308000,2022-09-16 06:00:00,RMRK/USDT,2.3139,2.3257,2.304,2.304,908.9134,2105.1234829
1663304400,2022-09-16 05:00:00,RMRK/USDT,2.333,2.336,2.3125,2.3163,1256.412,2917.02284647
1663300800,2022-09-16 04:00:00,RMRK/USDT,2.3237,2.3373,2.3237,2.333,413.8123,964.39672642
1663297200,2022-09-16 03:00:00,RMRK/USDT,2.3151,2.3237,2.3074,2.3237,1062.941,2459.78631827
1663293600,2022-09-16 02:00:00,RMRK/USDT,2.3416,2.3416,2.3095,2.3137,2833.6218,6575.29766959
1663290000,2022-09-16 01:00:00,RMRK/USDT,2.3478,2.3499,2.3362,2.3384,1093.6819,2561.03015782
1663286400,2022-09-16 00:00:00,RMRK/USDT,2.3765,2.3792,2.3341,2.3478,3463.2599,8133.94089174
1663282800,2022-09-15 23:00:00,RMRK/USDT,2.3816,2.4137,2.3598,2.377,7244.3502,17227.90592322
1663279200,2022-09-15 22:00:00,RMRK/USDT,2.4028,2.4028,2.3691,2.3809,1504.7813,3585.53556235
1663275600,2022-09-15 21:00:00,RMRK/USDT,2.4024,2.4159,2.4005,2.4028,1633.4243,3935.16880061
1663272000,2022-09-15 20:00:00,RMRK/USDT,2.3874,2.4026,2.3831,2.4026,1715.1109,4103.8757153
1663268400,2022-09-15 19:00:00,RMRK/USDT,2.3697,2.3897,2.3456,2.386,3523.2097,8345.1790478
1663264800,2022-09-15 18:00:00,RMRK/USDT,2.4507,2.4599,2.3202,2.3653,19129.4579,45361.62772207
1663261200,2022-09-15 17:00:00,RMRK/USDT,2.4416,2.4611,2.4416,2.4466,1676.5155,4106.8664127
1663257600,2022-09-15 16:00:00,RMRK/USDT,2.4036,2.4419,2.3956,2.435,4015.416,9723.22814325
1663254000,2022-09-15 15:00:00,RMRK/USDT,2.3611,2.4036,2.3436,2.3928,4706.2802,11153.85766834
1663250400,2022-09-15 14:00:00,RMRK/USDT,2.4383,2.4496,2.3531,2.3629,6293.6271,14984.61671744
1663246800,2022-09-15 13:00:00,RMRK/USDT,2.4323,2.469,2.4195,2.4453,5004.123,12222.16351081
1663243200,2022-09-15 12:00:00,RMRK/USDT,2.419,2.4381,2.4079,2.4308,3248.2686,7881.4251424
1663239600,2022-09-15 11:00:00,RMRK/USDT,2.3822,2.419,2.3822,2.419,3694.3582,8849.37479542
1663236000,2022-09-15 10:00:00,RMRK/USDT,2.375,2.3988,2.37,2.3761,4076.4022,9715.94605011
1663232400,2022-09-15 09:00:00,RMRK/USDT,2.3947,2.4036,2.37,2.3701,1698.1445,4050.33466573
1663228800,2022-09-15 08:00:00,RMRK/USDT,2.4385,2.45,2.3709,2.3947,7790.7293,18802.56200584
1663225200,2022-09-15 07:00:00,RMRK/USDT,2.4288,2.498,2.4288,2.4339,9705.262,23901.20915304
1663221600,2022-09-15 06:00:00,RMRK/USDT,2.4648,2.4648,2.4,2.4258,14051.0583,34004.56699058
1663218000,2022-09-15 05:00:00,RMRK/USDT,2.4346,2.4674,2.4282,2.4674,1364.3679,3342.50457155
1663214400,2022-09-15 04:00:00,RMRK/USDT,2.4246,2.4339,2.4223,2.4282,817.6692,1984.9515213
1663210800,2022-09-15 03:00:00,RMRK/USDT,2.4406,2.445,2.3982,2.42,5499.8275,13275.43293031
1663207200,2022-09-15 02:00:00,RMRK/USDT,2.4567,2.4567,2.4275,2.4344,1434.4309,3500.17550562
1663203600,2022-09-15 01:00:00,RMRK/USDT,2.4642,2.4642,2.4382,2.4597,2026.2125,4961.41502352
1663200000,2022-09-15 00:00:00,RMRK/USDT,2.4863,2.4923,2.4604,2.461,1473.0794,3642.6676252
