https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BETA,Volume USDT
1663459200,2022-09-18 00:00:00,BETA/USDT,0.10137,0.10138,0.10068,0.10068,817.1713,82.623794658
1663372800,2022-09-17 00:00:00,BETA/USDT,0.09859,0.10292,0.0984,0.10107,62890.1205,6323.875503035
1663286400,2022-09-16 00:00:00,BETA/USDT,0.10053,0.10077,0.09648,0.09912,40842.9499,4032.222858977
1663200000,2022-09-15 00:00:00,BETA/USDT,0.11047,0.11142,0.09906,0.09984,151238.2722,15851.404039869
1663113600,2022-09-14 00:00:00,BETA/USDT,0.10089,0.12,0.1004,0.11118,369195.3302,40982.12413994
1663027200,2022-09-13 00:00:00,BETA/USDT,0.10433,0.10696,0.09928,0.10116,105213.403,10662.744967719
1662940800,2022-09-12 00:00:00,BETA/USDT,0.10956,0.11107,0.10441,0.10441,22943.067,2469.980272163
1662854400,2022-09-11 00:00:00,BETA/USDT,0.10937,0.1118,0.10801,0.10996,40038.9336,4396.280697567
1662768000,2022-09-10 00:00:00,BETA/USDT,0.10729,0.11398,0.1065,0.10931,86254.3119,9326.884766011
1662681600,2022-09-09 00:00:00,BETA/USDT,0.10317,0.12499,0.10317,0.10718,267927.8603,29993.249370819
1662595200,2022-09-08 00:00:00,BETA/USDT,0.10347,0.10563,0.09936,0.10317,23534.536,2417.682364438
1662508800,2022-09-07 00:00:00,BETA/USDT,0.10006,0.10914,0.09678,0.10263,101848.3902,10086.139906825
1662422400,2022-09-06 00:00:00,BETA/USDT,0.10995,0.1194,0.09946,0.09946,158112.3143,17033.793280444
1662336000,2022-09-05 00:00:00,BETA/USDT,0.11196,0.11263,0.1093,0.11025,15573.2508,1715.355430056
1662249600,2022-09-04 00:00:00,BETA/USDT,0.11197,0.11424,0.11079,0.11099,111196.9161,12439.474906467
1662163200,2022-09-03 00:00:00,BETA/USDT,0.11213,0.11282,0.11068,0.1119,4203.1779,469.348034273
1662076800,2022-09-02 00:00:00,BETA/USDT,0.1118,0.11441,0.1116,0.11288,66864.9891,7520.597522059
1661990400,2022-09-01 00:00:00,BETA/USDT,0.1126,0.11315,0.10983,0.11291,65344.576,7303.022557361
1661904000,2022-08-31 00:00:00,BETA/USDT,0.11276,0.12535,0.11155,0.11155,58833.1118,6784.054141804
1661817600,2022-08-30 00:00:00,BETA/USDT,0.1138,0.11625,0.10697,0.11207,138850.3754,15453.987123405
1661731200,2022-08-29 00:00:00,BETA/USDT,0.10893,0.114,0.10861,0.11375,20002.2476,2227.349763105
1661644800,2022-08-28 00:00:00,BETA/USDT,0.11587,0.12592,0.10897,0.10907,93157.1743,11043.817833779
1661558400,2022-08-27 00:00:00,BETA/USDT,0.11333,0.11723,0.10857,0.11553,61385.4867,6948.429965141
1661472000,2022-08-26 00:00:00,BETA/USDT,0.11723,0.12187,0.11315,0.11315,53918.6141,6435.138271571
1661385600,2022-08-25 00:00:00,BETA/USDT,0.11757,0.12177,0.11731,0.11731,74206.7674,8895.52866862
1661299200,2022-08-24 00:00:00,BETA/USDT,0.11868,0.12253,0.11477,0.11757,63499.2651,7553.568836047
1661212800,2022-08-23 00:00:00,BETA/USDT,0.11395,0.12607,0.11395,0.11754,88609.1375,10647.45971086
1661126400,2022-08-22 00:00:00,BETA/USDT,0.1158,0.11656,0.11015,0.11424,16920.2428,1893.038868542
1661040000,2022-08-21 00:00:00,BETA/USDT,0.11329,0.11816,0.11261,0.11714,45706.6504,5271.87847448
1660953600,2022-08-20 00:00:00,BETA/USDT,0.11168,0.12225,0.10939,0.11322,102348.5447,11863.68490805
1660867200,2022-08-19 00:00:00,BETA/USDT,0.12457,0.12457,0.11023,0.11096,205094.7599,23652.195418542
1660780800,2022-08-18 00:00:00,BETA/USDT,0.13121,0.13594,0.12472,0.12559,102951.1635,13389.512351762
1660694400,2022-08-17 00:00:00,BETA/USDT,0.13754,0.1427,0.13133,0.13133,91742.7554,12535.172558256
1660608000,2022-08-16 00:00:00,BETA/USDT,0.13989,0.14706,0.13695,0.13772,140426.2375,19942.870543447
1660521600,2022-08-15 00:00:00,BETA/USDT,0.14111,0.14517,0.13598,0.13973,147789.2077,20567.99288201
1660435200,2022-08-14 00:00:00,BETA/USDT,0.14753,0.15243,0.1411,0.14129,135291.2085,19872.820989512
1660348800,2022-08-13 00:00:00,BETA/USDT,0.14577,0.15182,0.14324,0.14659,124142.0086,18323.904470958
1660262400,2022-08-12 00:00:00,BETA/USDT,0.14689,0.15492,0.14107,0.14543,83576.1719,12196.454381124
1660176000,2022-08-11 00:00:00,BETA/USDT,0.1422,0.15499,0.1422,0.14825,121972.1587,17946.189813735
1660089600,2022-08-10 00:00:00,BETA/USDT,0.13946,0.14634,0.13699,0.1422,93964.7242,13292.782257671
1660003200,2022-08-09 00:00:00,BETA/USDT,0.14577,0.14812,0.13727,0.13946,57153.1312,8051.016221059
1659916800,2022-08-08 00:00:00,BETA/USDT,0.14349,0.15473,0.14304,0.14577,162274.1352,23989.473208764
1659830400,2022-08-07 00:00:00,BETA/USDT,0.13873,0.1464,0.13873,0.14275,85770.1655,12222.548818049
1659744000,2022-08-06 00:00:00,BETA/USDT,0.14206,0.14552,0.13873,0.13956,84733.8426,12014.907774653
1659657600,2022-08-05 00:00:00,BETA/USDT,0.13849,0.15,0.13708,0.142,188340.43,26635.6957416
1659571200,2022-08-04 00:00:00,BETA/USDT,0.14388,0.15433,0.1361,0.1384,383981.8391,54920.289554819
1659484800,2022-08-03 00:00:00,BETA/USDT,0.13115,0.15,0.12683,0.14468,312581.9085,43780.431581223
1659398400,2022-08-02 00:00:00,BETA/USDT,0.13544,0.13688,0.12561,0.13121,82460.2898,10788.289096048
1659312000,2022-08-01 00:00:00,BETA/USDT,0.14623,0.15398,0.13231,0.13569,390256.0297,54690.057233808
1659225600,2022-07-31 00:00:00,BETA/USDT,0.1325,0.18,0.1325,0.14654,855661.5216,130921.637047139
1659139200,2022-07-30 00:00:00,BETA/USDT,0.13753,0.14535,0.12187,0.13153,261272.3252,35734.210344516
1659052800,2022-07-29 00:00:00,BETA/USDT,0.12919,0.14159,0.12529,0.13754,165287.9874,22386.488771909
1658966400,2022-07-28 00:00:00,BETA/USDT,0.1207,0.13083,0.11927,0.12802,125582.7787,15634.579024553
1658880000,2022-07-27 00:00:00,BETA/USDT,0.11258,0.12113,0.11116,0.11988,159994.3249,18844.094064932
1658793600,2022-07-26 00:00:00,BETA/USDT,0.11224,0.11491,0.1088,0.11276,58086.1513,6458.503780034
1658707200,2022-07-25 00:00:00,BETA/USDT,0.1226,0.1226,0.11243,0.11243,71409.8432,8271.688580986
1658620800,2022-07-24 00:00:00,BETA/USDT,0.12253,0.12836,0.12126,0.12326,99727.6992,12503.668034524
1658534400,2022-07-23 00:00:00,BETA/USDT,0.11645,0.12364,0.11553,0.12211,105487.0816,12858.262902675
1658448000,2022-07-22 00:00:00,BETA/USDT,0.12071,0.129,0.11654,0.11682,251176.9474,30273.983944019
1658361600,2022-07-21 00:00:00,BETA/USDT,0.11493,0.12771,0.11109,0.12155,197631.2182,24037.329303926
1658275200,2022-07-20 00:00:00,BETA/USDT,0.12389,0.12923,0.11312,0.11493,281569.2682,34446.65210239
1658188800,2022-07-19 00:00:00,BETA/USDT,0.11841,0.13602,0.11318,0.12438,494172.001,62012.838030094
1658102400,2022-07-18 00:00:00,BETA/USDT,0.10609,0.11994,0.10601,0.11776,234678.2435,26361.878020431
1658016000,2022-07-17 00:00:00,BETA/USDT,0.11413,0.11649,0.10606,0.10651,196447.0886,22082.9119071472125
1657929600,2022-07-16 00:00:00,BETA/USDT,0.11203,0.12561,0.11,0.11389,369673.6595,42915.785877362
