https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAND,Volume BTC
1663459200,2022-09-18 00:00:00,BAND/BTC,0.0000647,0.0000647,0.00006441,0.0000646,3.4004,0.000219557015
1663372800,2022-09-17 00:00:00,BAND/BTC,0.00006251,0.00006518,0.00006226,0.00006457,319.3696,0.020439531688
1663286400,2022-09-16 00:00:00,BAND/BTC,0.00006098,0.00006352,0.00006034,0.00006209,1418.4901,0.088218433812
1663200000,2022-09-15 00:00:00,BAND/BTC,0.0000621,0.00006223,0.00006017,0.00006098,369.9261,0.022619046751
1663113600,2022-09-14 00:00:00,BAND/BTC,0.0000623,0.00006268,0.00006077,0.00006222,262.7105,0.016154590535
1663027200,2022-09-13 00:00:00,BAND/BTC,0.00005964,0.00006353,0.00005761,0.00006181,2146.9039,0.129915746426
1662940800,2022-09-12 00:00:00,BAND/BTC,0.00006261,0.00006451,0.0000599,0.00006042,4249.4821,0.262389993932
1662854400,2022-09-11 00:00:00,BAND/BTC,0.00006443,0.00006474,0.00006211,0.0000629,506.2172,0.032156005885
1662768000,2022-09-10 00:00:00,BAND/BTC,0.00006486,0.0000669,0.00006296,0.00006352,2510.0107,0.161536358239
1662681600,2022-09-09 00:00:00,BAND/BTC,0.00006621,0.0000669,0.00006359,0.00006439,1324.3783,0.087559992035
1662595200,2022-09-08 00:00:00,BAND/BTC,0.00006618,0.00006824,0.00006506,0.00006614,1156.3422,0.076770067784
1662508800,2022-09-07 00:00:00,BAND/BTC,0.00006323,0.00006673,0.00006293,0.00006619,1084.4709,0.070948579896
1662422400,2022-09-06 00:00:00,BAND/BTC,0.00006594,0.0000669,0.00006194,0.00006328,1159.4447,0.074943453996
1662336000,2022-09-05 00:00:00,BAND/BTC,0.00006711,0.00006761,0.00006487,0.0000663,165.9183,0.010957091193
1662249600,2022-09-04 00:00:00,BAND/BTC,0.00006674,0.00006754,0.00006616,0.00006659,436.8471,0.029074373455
1662163200,2022-09-03 00:00:00,BAND/BTC,0.0000654,0.00006735,0.0000651,0.00006654,4153.3011,0.27730807319
1662076800,2022-09-02 00:00:00,BAND/BTC,0.00006418,0.00006584,0.0000638,0.00006553,570.2024,0.037051194524
1661990400,2022-09-01 00:00:00,BAND/BTC,0.00006353,0.00006434,0.00006234,0.00006425,4482.9223,0.28575981304
1661904000,2022-08-31 00:00:00,BAND/BTC,0.00006251,0.00006584,0.00006202,0.00006351,1038.6495,0.066575363755
