https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume VIDT,Volume USDT
1663459200,2022-09-18 00:00:00,VIDT/USDT,0.3036,0.3036,0.2979,0.2979,5279.7643,1576.42367729
1663372800,2022-09-17 00:00:00,VIDT/USDT,0.2839,0.3078,0.2803,0.3042,115002.4938,34068.63618614
1663286400,2022-09-16 00:00:00,VIDT/USDT,0.2791,0.3126,0.2755,0.2838,476191.9118,139222.22338582
1663200000,2022-09-15 00:00:00,VIDT/USDT,0.3181,0.3251,0.2791,0.2795,359394.1536,104970.63762994
1663113600,2022-09-14 00:00:00,VIDT/USDT,0.2761,0.3555,0.2761,0.3201,1767125.8844,567803.34129338
1663027200,2022-09-13 00:00:00,VIDT/USDT,0.2924,0.3011,0.2681,0.2763,309209.6422,86530.62089561
1662940800,2022-09-12 00:00:00,VIDT/USDT,0.2789,0.3246,0.276,0.2939,758937.5251,231102.60317095
1662854400,2022-09-11 00:00:00,VIDT/USDT,0.2751,0.2899,0.271,0.2767,198524.7076,55826.30164889
1662768000,2022-09-10 00:00:00,VIDT/USDT,0.2733,0.2827,0.27,0.2751,59180.4704,16190.60082771
1662681600,2022-09-09 00:00:00,VIDT/USDT,0.2697,0.29,0.2663,0.2736,316654.783,87474.50213971
1662595200,2022-09-08 00:00:00,VIDT/USDT,0.2574,0.3049,0.2529,0.2673,463640.8694,128999.98554004
1662508800,2022-09-07 00:00:00,VIDT/USDT,0.2485,0.2618,0.2428,0.2579,72939.4942,18081.53253017
1662422400,2022-09-06 00:00:00,VIDT/USDT,0.2708,0.2742,0.2485,0.2485,105726.4856,27875.5042867
1662336000,2022-09-05 00:00:00,VIDT/USDT,0.2733,0.2774,0.2672,0.2692,45984.382,12443.48388314
1662249600,2022-09-04 00:00:00,VIDT/USDT,0.2725,0.2766,0.2687,0.2753,33703.8476,9210.96499561
1662163200,2022-09-03 00:00:00,VIDT/USDT,0.2853,0.2878,0.2699,0.2729,107454.8152,29617.32940617
1662076800,2022-09-02 00:00:00,VIDT/USDT,0.2691,0.2867,0.2658,0.2852,393592.9579,109788.9791334
1661990400,2022-09-01 00:00:00,VIDT/USDT,0.2668,0.2691,0.2592,0.2691,40660.1649,10738.94637672
1661904000,2022-08-31 00:00:00,VIDT/USDT,0.2687,0.2789,0.2647,0.2667,65270.53562785,17737.872212365145
1661817600,2022-08-30 00:00:00,VIDT/USDT,0.2708,0.2831,0.2656,0.2669,231902.50307205,63176.435667065625
1661731200,2022-08-29 00:00:00,VIDT/USDT,0.2612,0.274,0.2557,0.2717,122368.80550734,32381.924372103806
1661644800,2022-08-28 00:00:00,VIDT/USDT,0.2695,0.2747,0.258,0.2615,102693.07745906,27383.592791212566
