https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTCG,Volume USD
1663473600000,2022-09-18 04:00:00,BTCG/USD,20000.7,20526.94,19390.63,19490.29,6.30769571,122938.81861965591
1663387200000,2022-09-17 04:00:00,BTCG/USD,19898.9,20419.73,19518.88,20000.7,2.02869063,40575.232683441
1663300800000,2022-09-16 04:00:00,BTCG/USD,19762.27,20041.75,19364.5,19898.9,1.2288475,24452.713517750002
1663214400000,2022-09-15 04:00:00,BTCG/USD,20045.68,20475.06,19656.0,19762.27,6.18713961,122271.9235005147
1663128000000,2022-09-14 04:00:00,BTCG/USD,20343.29,20343.29,19666.0,20045.68,2.98248638,59785.967577838404
1663041600000,2022-09-13 04:00:00,BTCG/USD,22204.03,22722.96,19936.79,20343.29,15.56157948,316573.7242196892
1662955200000,2022-09-12 04:00:00,BTCG/USD,21575.42,22465.44,21575.42,22204.03,6.44245344,143048.4294553632
1662868800000,2022-09-11 04:00:00,BTCG/USD,21544.51,22333.0,20848.2,21575.42,6.56620307,141668.5890405394
1662782400000,2022-09-10 04:00:00,BTCG/USD,21352.32,21960.51,20253.61,21544.51,9.79451285,211017.9800419535
1662696000000,2022-09-09 04:00:00,BTCG/USD,19921.23,21638.04,19921.23,21352.32,23.40715003,499796.9577285696
1662609600000,2022-09-08 04:00:00,BTCG/USD,19232.76,19921.23,19062.13,19921.23,9.57201829,190686.3779192967
1662523200000,2022-09-07 04:00:00,BTCG/USD,18734.64,19422.51,18734.64,19232.76,3.88583464,74735.3250308064
1662436800000,2022-09-06 04:00:00,BTCG/USD,19781.83,19982.28,18550.0,18734.64,19.41421144,363718.2622122816
1662350400000,2022-09-05 04:00:00,BTCG/USD,19889.38,20146.98,19650.0,19781.83,6.36698689,125950.65227020871
1662264000000,2022-09-04 04:00:00,BTCG/USD,19800.53,20159.01,19613.58,19889.38,11.08690803,220511.72683372142
1662177600000,2022-09-03 04:00:00,BTCG/USD,19885.04,20458.49,19675.0,19800.53,1.51291898,29956.597651059397
1662091200000,2022-09-02 04:00:00,BTCG/USD,20199.12,20519.58,19786.12,19885.04,3.87676731,77089.67303004241
1662004800000,2022-09-01 04:00:00,BTCG/USD,19979.33,20200.0,19584.84,20199.12,7.36092958,148684.29989796958
1661918400000,2022-08-31 04:00:00,BTCG/USD,20381.47,20415.83,19942.45,19979.33,3.26521887,65236.885325957104
1661832000000,2022-08-30 04:00:00,BTCG/USD,20266.95,20554.0,19584.84,20381.47,8.29663163,169097.5486678961
1661745600000,2022-08-29 04:00:00,BTCG/USD,19862.83,20397.0,19796.97,20266.95,4.09652984,83024.165440788
1661659200000,2022-08-28 04:00:00,BTCG/USD,19990.0,20134.09,19547.44,19862.83,4.49132443,89210.4136279369
1661572800000,2022-08-27 04:00:00,BTCG/USD,20236.4,20279.72,19800.16,19990.0,6.80925073,136116.9220927
1661486400000,2022-08-26 04:00:00,BTCG/USD,21589.11,21808.0,20150.79,20236.4,30.67237813,620698.512789932
1661400000000,2022-08-25 04:00:00,BTCG/USD,21512.16,21791.06,21383.82,21589.11,3.17214382,68483.7618658002
1661313600000,2022-08-24 04:00:00,BTCG/USD,21243.85,21783.4,21243.85,21512.16,0.83016179,17858.5732523664
1661227200000,2022-08-23 04:00:00,BTCG/USD,21328.81,21641.29,20910.96,21243.85,4.36132467,92651.3270907795
1661140800000,2022-08-22 04:00:00,BTCG/USD,21459.28,21514.31,20236.0,21328.81,5.40797211,115345.60961948911
1661054400000,2022-08-21 04:00:00,BTCG/USD,21172.27,21777.0,20755.27,21459.28,3.9029047,83753.524770616
1660968000000,2022-08-20 04:00:00,BTCG/USD,21109.98,21431.73,20748.71,21172.27,3.1527994,66751.920152638
1660881600000,2022-08-19 04:00:00,BTCG/USD,22787.1,23090.05,20809.1,21109.98,19.0075407,401248.804026186
1660795200000,2022-08-18 04:00:00,BTCG/USD,23448.97,23569.03,22727.79,22787.1,3.12383273,71183.088801783
1660708800000,2022-08-17 04:00:00,BTCG/USD,24056.36,24423.11,23171.14,23448.97,6.24769232,146501.9497809104
1660622400000,2022-08-16 04:00:00,BTCG/USD,23991.27,24679.45,23647.43,24056.36,5.93216887,142706.3899175132
1660536000000,2022-08-15 04:00:00,BTCG/USD,24865.59,25120.0,22862.43,23991.27,7.92197417,190058.22124549592
1660449600000,2022-08-14 04:00:00,BTCG/USD,24606.71,25209.37,24229.9,24865.59,2.60698212,64824.1485332508
1660363200000,2022-08-13 04:00:00,BTCG/USD,24770.22,25220.0,24246.89,24606.71,1.69865359,41798.2762795889
1660276800000,2022-08-12 04:00:00,BTCG/USD,24031.12,24770.22,23626.81,24770.22,12.02515248,297865.6724631456
1660190400000,2022-08-11 04:00:00,BTCG/USD,24372.85,25058.5,23814.5,24031.12,3.02062355,72588.96700487599
1660104000000,2022-08-10 04:00:00,BTCG/USD,22919.26,24454.99,22874.99,24372.85,5.28398404,128785.75040931399
1660017600000,2022-08-09 04:00:00,BTCG/USD,23832.18,23883.99,22759.55,22919.26,2.52595215,57892.954073409
1659931200000,2022-08-08 04:00:00,BTCG/USD,23275.5,24198.93,23275.5,23832.18,6.56276023,156404.88309820142
1659844800000,2022-08-07 04:00:00,BTCG/USD,23016.39,23419.82,22845.39,23275.5,2.22004348,51672.62201874
1659758400000,2022-08-06 04:00:00,BTCG/USD,23274.08,23460.59,22878.0,23016.39,0.75181833,17304.1438924287
1659672000000,2022-08-05 04:00:00,BTCG/USD,23159.06,23385.64,22731.27,23274.08,4.55550321,106025.14614979681
1659585600000,2022-08-04 04:00:00,BTCG/USD,23157.81,23350.65,22467.03,23159.06,4.34667004,100664.79225656242
1659499200000,2022-08-03 04:00:00,BTCG/USD,22825.61,23544.18,22764.68,23157.81,1.67274903,38737.2042144243
1659412800000,2022-08-02 04:00:00,BTCG/USD,22913.61,23521.53,22684.3,22825.61,5.60678825,127978.3619470825
1659326400000,2022-08-01 04:00:00,BTCG/USD,23347.56,23489.73,22829.11,22913.61,13.11383676,300485.3411223036
1659240000000,2022-07-31 04:00:00,BTCG/USD,24422.49,24422.49,23285.96,23347.56,5.25718164,122742.3637707984
1659153600000,2022-07-30 04:00:00,BTCG/USD,23840.55,25110.0,23574.88,24422.49,2.19071736,53502.7728174264
1659067200000,2022-07-29 04:00:00,BTCG/USD,23793.17,25000.0,23471.96,23840.55,13.23586677,315550.3435235235
1658980800000,2022-07-28 04:00:00,BTCG/USD,23121.39,24143.06,23121.39,23793.17,5.88161476,139942.2598591892
1658894400000,2022-07-27 04:00:00,BTCG/USD,21111.07,23462.65,21088.34,23121.39,33.75707829,780510.5724036231
1658808000000,2022-07-26 04:00:00,BTCG/USD,21102.08,21259.0,20734.84,21111.07,5.68156174,119943.8476024618
1658721600000,2022-07-25 04:00:00,BTCG/USD,21858.13,22272.56,20994.0,21102.08,19.77272236,417245.56905850885
