https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUR,Volume EUT
1663545600000,2022-09-19 00:00:00,EUT/EUR,0.99928604,0.9996852,0.99756,0.99871,865.0097470043389,866.1270509
1663542000000,2022-09-18 23:00:00,EUT/EUR,0.99963006,0.99963006,0.99824,0.99888689,80.11463060976936,80.20390638
1663538400000,2022-09-18 22:00:00,EUT/EUR,0.99938108,0.99963006,0.99764,0.99914,425.46710222576326,425.83331888000004
1663534800000,2022-09-18 21:00:00,EUT/EUR,0.99877235,0.99917,0.99678554,0.99787,6105.099128498911,6118.13074699
1663531200000,2022-09-18 20:00:00,EUT/EUR,0.99837,0.99907186,0.9976342,0.9976342,408.2230097471545,409.19107399
1663527600000,2022-09-18 19:00:00,EUT/EUR,0.99878,0.99907186,0.99764,0.99836302,467.5714268983755,468.33808698
1663524000000,2022-09-18 18:00:00,EUT/EUR,0.99901,0.99907186,0.9981,0.99888,385.8638360533056,386.29648812
1663520400000,2022-09-18 17:00:00,EUT/EUR,0.99907,0.99907186,0.99733,0.99897202,115.14382994306193,115.26231729999999
1663516800000,2022-09-18 16:00:00,EUT/EUR,0.99907186,0.99907186,0.99776,0.99907186,358.32632026433896,358.65920622
1663513200000,2022-09-18 15:00:00,EUT/EUR,0.99815336,0.99907186,0.99777398,0.99907186,549.8364956915908,550.3472950299999
1663509600000,2022-09-18 14:00:00,EUT/EUR,0.99867,0.99887,0.99780393,0.99817333,198.2996473612366,198.66253826
1663506000000,2022-09-18 13:00:00,EUT/EUR,0.99808,0.99877,0.99781,0.99867,193.556661901317,193.8144351
1663502400000,2022-09-18 12:00:00,EUT/EUR,0.99812,0.99897,0.99788,0.99808,186.7990660324544,187.15841018
1663498800000,2022-09-18 11:00:00,EUT/EUR,0.99877,0.99897,0.99780393,0.99837,308.8001438449119,309.30430987
1663495200000,2022-09-18 10:00:00,EUT/EUR,0.99877,0.99897202,0.99770409,0.99877,573.396358519342,574.1025046
1663491600000,2022-09-18 09:00:00,EUT/EUR,0.99904,0.9991717,0.99797,0.99877,831.6858219919072,832.71005536
1663488000000,2022-09-18 08:00:00,EUT/EUR,0.99898,0.99927154,0.99831,0.99912,449.12873149465685,449.52431289000003
1663484400000,2022-09-18 07:00:00,EUT/EUR,0.99912,0.99927,0.99829,0.99831,102.17839364899261,102.35136746
1663480800000,2022-09-18 06:00:00,EUT/EUR,0.9991717,0.99927,0.99829,0.99835,94.6817435161265,94.83822659
1663477200000,2022-09-18 05:00:00,EUT/EUR,0.9991717,0.99933,0.99898,0.9991717,73.11877026561157,73.17938475
1663473600000,2022-09-18 04:00:00,EUT/EUR,0.99914,0.9991717,0.99818331,0.99833,87.35217438477821,87.49829654
1663470000000,2022-09-18 03:00:00,EUT/EUR,0.99897,0.9991717,0.99830311,0.99848,92.1198178791968,92.26005316
1663466400000,2022-09-18 02:00:00,EUT/EUR,0.99927154,0.99927154,0.99819,0.99897,81.35569320675091,81.43957597
1663462800000,2022-09-18 01:00:00,EUT/EUR,0.99917,0.99922,0.99798363,0.99915,88.1960989100355,88.27112937
1663459200000,2022-09-18 00:00:00,EUT/EUR,0.99917,0.99926,0.99829,0.99835,980.1852052966474,981.8051838499999
1663455600000,2022-09-17 23:00:00,EUT/EUR,0.9991717,0.9991717,0.99818331,0.9991717,426.1415354862241,426.49480113000004
1663452000000,2022-09-17 22:00:00,EUT/EUR,0.99937137,0.99937137,0.99828315,0.9991717,240.582617571897,240.78205735
1663448400000,2022-09-17 21:00:00,EUT/EUR,0.99915,0.99941,0.99828315,0.99913,153.24284865116257,153.37628601999998
1663444800000,2022-09-17 20:00:00,EUT/EUR,0.99877235,0.9991717,0.99747446,0.99831,84.1059383924955,84.24831805
1663441200000,2022-09-17 19:00:00,EUT/EUR,0.99877,0.99917,0.99797365,0.99896,94.70975435075839,94.80835504
