https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SHFT,Volume USDT
1663459200,2022-09-18 00:00:00,SHFT/USDT,0.0184,0.0188,0.0184,0.0186,29177.2123,547.18311454
1663372800,2022-09-17 00:00:00,SHFT/USDT,0.0178,0.019,0.0175,0.0184,413868.6173,7540.12553959
1663286400,2022-09-16 00:00:00,SHFT/USDT,0.0194,0.0195,0.0177,0.0178,465397.9983,8483.92381097
1663200000,2022-09-15 00:00:00,SHFT/USDT,0.0194,0.0202,0.0189,0.0195,956305.3095,18847.37297435
1663113600,2022-09-14 00:00:00,SHFT/USDT,0.0195,0.0204,0.0188,0.0194,1243155.6891,24342.89784092
1663027200,2022-09-13 00:00:00,SHFT/USDT,0.0208,0.0208,0.019,0.0196,1716830.4929,34025.95605785
1662940800,2022-09-12 00:00:00,SHFT/USDT,0.0226,0.0232,0.0207,0.0209,1557440.0738,34019.04536059
1662854400,2022-09-11 00:00:00,SHFT/USDT,0.0218,0.0241,0.0218,0.0227,960843.1881,22190.75224927
1662768000,2022-09-10 00:00:00,SHFT/USDT,0.0223,0.0231,0.0218,0.0219,503638.3634,11311.19973722
1662681600,2022-09-09 00:00:00,SHFT/USDT,0.022,0.0233,0.0218,0.0223,766180.8016,17246.51961962
1662595200,2022-09-08 00:00:00,SHFT/USDT,0.0231,0.0239,0.0219,0.022,896194.8572,20413.46956087
1662508800,2022-09-07 00:00:00,SHFT/USDT,0.0223,0.0242,0.0221,0.0232,709456.7837,16530.17484157
1662422400,2022-09-06 00:00:00,SHFT/USDT,0.0233,0.0244,0.0223,0.0223,424466.1759,9945.5645337
1662336000,2022-09-05 00:00:00,SHFT/USDT,0.0219,0.0239,0.0217,0.0234,445996.9254,10121.10504459
1662249600,2022-09-04 00:00:00,SHFT/USDT,0.0232,0.024,0.0218,0.022,198545.1101,4489.47242158
1662163200,2022-09-03 00:00:00,SHFT/USDT,0.0238,0.0251,0.0221,0.0232,1077726.0164,25336.12221163
1662076800,2022-09-02 00:00:00,SHFT/USDT,0.0205,0.0254,0.0204,0.0238,2332121.9072,54696.68108259
1661990400,2022-09-01 00:00:00,SHFT/USDT,0.0197,0.021,0.0196,0.0204,588579.5079,11852.26805668
1661904000,2022-08-31 00:00:00,SHFT/USDT,0.019,0.0209,0.0189,0.0196,725204.1201,14401.66266315
1661817600,2022-08-30 00:00:00,SHFT/USDT,0.0191,0.0205,0.018,0.019,1904197.4812,36597.97762896
1661731200,2022-08-29 00:00:00,SHFT/USDT,0.0184,0.0192,0.0172,0.019,1001953.622,18132.39671489
1661644800,2022-08-28 00:00:00,SHFT/USDT,0.0184,0.0193,0.0181,0.0183,637361.1926,11858.83155898
1661558400,2022-08-27 00:00:00,SHFT/USDT,0.0209,0.0212,0.0181,0.0184,1053879.9956,20441.95995489
1661472000,2022-08-26 00:00:00,SHFT/USDT,0.0231,0.0235,0.0207,0.021,1408544.367,30392.26745567
1661385600,2022-08-25 00:00:00,SHFT/USDT,0.0223,0.0239,0.0219,0.023,1827427.9935,42214.40768348
1661299200,2022-08-24 00:00:00,SHFT/USDT,0.0221,0.0224,0.0216,0.0223,355047.4767,7769.41378787
1661212800,2022-08-23 00:00:00,SHFT/USDT,0.0221,0.0231,0.022,0.0222,455412.2598,10200.45381888
1661126400,2022-08-22 00:00:00,SHFT/USDT,0.0232,0.0234,0.0221,0.0221,734970.0354,16500.71119578
1661040000,2022-08-21 00:00:00,SHFT/USDT,0.0232,0.0238,0.0229,0.0232,336733.7838,7859.23718162
1660953600,2022-08-20 00:00:00,SHFT/USDT,0.0232,0.0253,0.0229,0.0231,1376719.7677,32755.17978505
1660867200,2022-08-19 00:00:00,SHFT/USDT,0.0256,0.0256,0.023,0.0232,1779179.7256,42766.11343031
1660780800,2022-08-18 00:00:00,SHFT/USDT,0.0249,0.0289,0.0244,0.0256,4006205.8725,106691.28319507
1660694400,2022-08-17 00:00:00,SHFT/USDT,0.0261,0.028,0.0242,0.0249,2635764.2979,68321.46750907
1660608000,2022-08-16 00:00:00,SHFT/USDT,0.0254,0.0266,0.025,0.0262,1730687.9672,44518.04002732
1660521600,2022-08-15 00:00:00,SHFT/USDT,0.0248,0.0275,0.0234,0.0253,4886646.6807,126030.0928701
1660435200,2022-08-14 00:00:00,SHFT/USDT,0.0239,0.0253,0.0235,0.025,1356725.9987,33187.57621626
1660348800,2022-08-13 00:00:00,SHFT/USDT,0.0239,0.0246,0.0235,0.0239,370145.6168,8872.9706367
1660262400,2022-08-12 00:00:00,SHFT/USDT,0.0239,0.0248,0.0235,0.0239,1001851.9582,24073.16406481
1660176000,2022-08-11 00:00:00,SHFT/USDT,0.0248,0.0254,0.0234,0.0238,1367727.1966,33126.33350533
1660089600,2022-08-10 00:00:00,SHFT/USDT,0.0245,0.0259,0.0235,0.025,967492.7943,23931.88651756
1660003200,2022-08-09 00:00:00,SHFT/USDT,0.0251,0.0258,0.0235,0.0245,805176.28786437,19698.004619564191
1659916800,2022-08-08 00:00:00,SHFT/USDT,0.0262,0.0277,0.0246,0.0248,2093842.6485,54170.32111997
1659830400,2022-08-07 00:00:00,SHFT/USDT,0.0256,0.0316,0.0253,0.0264,5815993.6779,162193.33348025
1659744000,2022-08-06 00:00:00,SHFT/USDT,0.0265,0.0295,0.0244,0.0255,4408822.893,116306.72979959
1659657600,2022-08-05 00:00:00,SHFT/USDT,0.0232,0.029,0.0229,0.0264,7479479.317,193660.52296342
1659571200,2022-08-04 00:00:00,SHFT/USDT,0.0238,0.0255,0.0231,0.0233,3017384.2168,72844.56061165
1659484800,2022-08-03 00:00:00,SHFT/USDT,0.0232,0.0255,0.0228,0.0239,3085048.4281,75543.75290535
1659398400,2022-08-02 00:00:00,SHFT/USDT,0.0237,0.0246,0.0222,0.0231,3492158.2426,81466.4687396
1659312000,2022-08-01 00:00:00,SHFT/USDT,0.0244,0.0264,0.023,0.0237,5212877.612,127079.2872111
1659225600,2022-07-31 00:00:00,SHFT/USDT,0.0241,0.0263,0.0228,0.0243,7895570.797,193288.06116481
1659139200,2022-07-30 00:00:00,SHFT/USDT,0.025,0.0258,0.0229,0.0241,2976026.3082,72551.64491506
1659052800,2022-07-29 00:00:00,SHFT/USDT,0.0229,0.0254,0.0225,0.025,1874231.0289,44494.0247482
