https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BALBULL,Volume USDT
1663545600000.0,2022-09-19 00:00:00,BALBULL/USDT,2.718e-05,2.746e-05,2.7e-05,2.713e-05,0.0,0.0
1663459200000.0,2022-09-18 00:00:00,BALBULL/USDT,3.852e-05,3.942e-05,2.638e-05,2.718e-05,423333.3333333333,11.5062
1663372800000.0,2022-09-17 00:00:00,BALBULL/USDT,3.722e-05,3.881e-05,3.663e-05,3.852e-05,2953.2710280373835,0.11376
1663286400000.0,2022-09-16 00:00:00,BALBULL/USDT,3.9e-05,3.969e-05,3.562e-05,3.722e-05,178478371.03707683,6642.96497
1663200000000.0,2022-09-15 00:00:00,BALBULL/USDT,5.059e-05,5.099e-05,3.895e-05,3.9e-05,97953.33333333334,3.82018
1663113600000.0,2022-09-14 00:00:00,BALBULL/USDT,5.136e-05,5.393e-05,4.541e-05,5.059e-05,431551.8877248468,21.83221
1663027200000.0,2022-09-13 00:00:00,BALBULL/USDT,6.751e-05,7.104e-05,4.873e-05,5.136e-05,51121180.1012461,2625.58381
1662940800000.0,2022-09-12 00:00:00,BALBULL/USDT,8.096e-05,8.46e-05,6.465e-05,6.751e-05,10890684.194934085,735.23009
1662854400000.0,2022-09-11 00:00:00,BALBULL/USDT,8.33e-05,9.49e-05,7.775e-05,8.096e-05,0.0,0.0
1662768000000.0,2022-09-10 00:00:00,BALBULL/USDT,8.049e-05,8.939e-05,8.014e-05,8.33e-05,0.0,0.0
1662681600000.0,2022-09-09 00:00:00,BALBULL/USDT,7.62e-05,8.611e-05,7.402e-05,8.049e-05,7625637.718971302,613.78758
1662595200000.0,2022-09-08 00:00:00,BALBULL/USDT,6.639e-05,8.68e-05,6.267e-05,7.62e-05,94535.82677165355,7.20363
1662508800000.0,2022-09-07 00:00:00,BALBULL/USDT,6.057e-05,6.977e-05,5.59e-05,6.639e-05,138778.73173670733,9.21352
1662422400000.0,2022-09-06 00:00:00,BALBULL/USDT,7.725e-05,8.872e-05,6.018e-05,6.057e-05,8977173.683341587,543.74741
